,name,Gender,Eye color,Race,Hair color,Height,Publisher,Skin color,Alignment,Weight
76,Beetle,Male,-,-,-,-99,Marvel Comics,-,bad,-99
77,Ben 10,Male,-,-,-,-99,DC Comics,-,good,-99
78,Beta Ray Bill,Male,-,-,No Hair,201,Marvel Comics,-,good,216
81,Big Daddy,Male,-,-,-,-99,Icon Comics,-,good,-99
82,Big Man,Male,blue,-,Brown,165,Marvel Comics,-,bad,71
84,Billy Kincaid,Male,-,-,-,-99,Image Comics,-,bad,-99
85,Binary,Female,blue,-,Blond,180,Marvel Comics,-,good,54
87,Bird-Brain,-,-,-,-,-99,Marvel Comics,-,good,-99
93,Black Abbott,Male,red,-,Black,-99,Marvel Comics,-,bad,-99
94,Black Adam,Male,brown,-,Black,191,DC Comics,-,bad,113
100,Black Goliath,Male,-,-,-,-99,Marvel Comics,-,good,-99
102,Black Lightning,Male,brown,-,No Hair,185,DC Comics,-,good,90
103,Black Mamba,Female,green,-,Black,170,Marvel Comics,-,bad,52
107,Black Widow II,Female,blue,-,Blond,170,Marvel Comics,-,good,61
109,Blackwing,Male,blue,-,Black,185,Marvel Comics,-,bad,86
112,Blaquesmith,-,black,-,No Hair,-99,Marvel Comics,-,good,-99
113,Bling!,Female,-,-,-,168,Marvel Comics,-,good,68
115,Blizzard,Male,-,-,-,-99,Marvel Comics,-,bad,-99
116,Blizzard,Male,-,-,Brown,-99,Marvel Comics,-,bad,-99
117,Blizzard II,Male,brown,-,Brown,175,Marvel Comics,-,bad,77
118,Blob,Male,brown,-,Brown,178,Marvel Comics,-,bad,230
121,Bloodwraith,Male,white,-,No Hair,30.5,Marvel Comics,-,bad,-99
122,Blue Beetle,Male,blue,-,Brown,-99,DC Comics,-,good,-99
123,Blue Beetle,Male,-,-,-,-99,DC Comics,-,good,-99
124,Blue Beetle II,Male,blue,-,Brown,183,DC Comics,-,good,86
127,Bolt,Male,-,-,-,-99,Marvel Comics,-,good,-99
128,Bomb Queen,Female,-,-,-,-99,Image Comics,-,bad,-99
130,Boomer,Female,-,-,-,-99,Marvel Comics,-,good,-99
132,Box,Male,-,-,-,-99,Marvel Comics,-,good,-99
133,Box III,-,blue,-,Blond,193,Marvel Comics,-,good,110
134,Box IV,-,brown,-,Brown / Black,-99,Marvel Comics,-,good,-99
136,Brainiac 5,Male,green,-,Blond,170,DC Comics,-,good,61
142,Bumbleboy,Male,-,-,-,-99,Marvel Comics,-,good,-99
145,Callisto,Female,blue,-,Black,175,Marvel Comics,-,bad,74
147,Cannonball,Male,blue,-,Blond,183,Marvel Comics,-,good,81
152,Captain Epic,Male,blue,-,Brown,188,Team Epic TV,-,good,-99
154,Captain Mar-vell,Male,blue,-,Blond,188,Marvel Comics,-,good,108
162,Cat,Female,blue,-,Blond,173,Marvel Comics,-,good,61
163,Cat II,Female,-,-,-,-99,Marvel Comics,-,good,-99
165,Cecilia Reyes,-,brown,-,Brown,170,Marvel Comics,-,good,62
169,Chameleon,Male,-,-,-,-99,DC Comics,-,bad,-99
170,Changeling,Male,brown,-,Black,180,Marvel Comics,-,bad,81
174,Chromos,Male,brown,-,Red / Grey,185,Team Epic TV,-,bad,86
175,Chuck Norris,Male,-,-,-,178,,-,good,-99
177,Claire Bennet,Female,blue,-,Blond,-99,NBC - Heroes,-,good,-99
178,Clea,-,-,-,White,-99,Marvel Comics,-,good,-99
179,Cloak,Male,brown,-,black,226,Marvel Comics,-,good,70
181,Cogliostro,Male,-,-,-,-99,Image Comics,-,bad,-99
182,Colin Wagner,Male,grey,-,Brown,-99,HarperCollins,-,good,-99
183,Colossal Boy,Male,-,-,-,-99,DC Comics,-,good,-99
186,Corsair,Male,brown,-,Brown,191,Marvel Comics,-,good,79
188,Crimson Crusader,Male,blue,-,Strawberry Blond,-99,Marvel Comics,-,good,-99
189,Crimson Dynamo,Male,brown,-,No Hair,180,Marvel Comics,-,good,104
191,Curse,Male,-,-,-,-99,Image Comics,-,bad,-99
192,Cy-Gor,Male,-,-,-,-99,Image Comics,-,bad,-99
196,Cypher,-,blue,-,Blond,175,Marvel Comics,-,good,68
197,Dagger,Female,blue,-,Blond,165,Marvel Comics,-,good,52
198,Danny Cooper,Male,brown,-,Blond,-99,HarperCollins,-,good,-99
199,Daphne Powell,Female,-,-,-,-99,ABC Studios,-,good,-99
202,Darkman,Male,-,-,-,-99,Universal Studios,-,good,-99
204,Darkside,-,-,-,-,-99,,-,bad,-99
217,Destroyer,Male,-,-,-,188,Marvel Comics,-,bad,383
219,DL Hawkins,Male,-,-,-,-99,NBC - Heroes,-,good,-99
222,Doctor Doom II,Male,brown,-,Brown,201,Marvel Comics,-,bad,132
230,Doppelganger,Male,white,-,No Hair,196,Marvel Comics,-,bad,104
231,Dormammu,Male,yellow,-,No Hair,185,Marvel Comics,-,bad,-99
234,Ego,-,-,-,-,-99,Marvel Comics,-,bad,-99
238,Elle Bishop,Female,blue,-,Blond,-99,NBC - Heroes,-,bad,-99
239,Elongated Man,Male,blue,-,Red,185,DC Comics,-,good,80
240,Emma Frost,Female,blue,-,Blond,178,Marvel Comics,-,good,65
242,Energy,Female,-,-,-,-99,HarperCollins,-,good,-99
243,ERG-1,Male,-,-,-,-99,DC Comics,-,good,-99
249,Fabian Cortez,-,blue,-,Brown,196,Marvel Comics,-,bad,96
251,Fallen One II,Male,black,-,Blue,-99,Marvel Comics,-,bad,-99
253,Feral,-,yellow (without irises),-,Orange / White,175,Marvel Comics,-,good,50
254,Fighting Spirit,Female,-,-,Red,-99,DC Comics,-,good,-99
256,Firebird,Female,brown,-,Black,165,Marvel Comics,-,good,56
257,Firelord,-,white,-,Yellow,193,Marvel Comics,-,good,99
259,Firestorm,Male,brown,-,Black,-99,DC Comics,-,good,-99
261,Fixer,-,red,-,No Hair,-99,Marvel Comics,-,bad,-99
263,Flash Gordon,Male,-,-,-,-99,,-,good,-99
267,Forge,-,brown,-,Black,183,Marvel Comics,-,good,81
269,Franklin Storm,-,blue,-,Grey,188,Marvel Comics,-,good,92
270,Frenzy,Female,brown,-,Black,211,Marvel Comics,-,bad,104
271,Frigga,Female,blue,-,White,180,Marvel Comics,-,good,167
278,Genesis,Male,blue,-,Blond,185,Marvel Comics,-,good,86
280,Ghost Rider II,-,-,-,-,-99,Marvel Comics,-,good,-99
282,Giant-Man II,Male,-,-,-,-99,Marvel Comics,-,good,-99
283,Giganta,Female,green,-,Red,62.5,DC Comics,-,bad,630
285,Goblin Queen,Female,green,-,Red,168,Marvel Comics,-,bad,50
287,Gog,Male,-,-,-,-99,DC Comics,-,bad,-99
289,Goliath,Male,-,-,-,-99,Marvel Comics,-,good,-99
292,Goliath IV,Male,brown,-,Black,183,Marvel Comics,-,good,90
294,Granny Goodness,Female,blue,-,White,178,DC Comics,-,bad,115
299,Green Goblin II,Male,blue,-,Auburn,178,Marvel Comics,-,bad,77
300,Green Goblin III,Male,-,-,-,183,Marvel Comics,-,good,88
301,Green Goblin IV,Male,green,-,Brown,178,Marvel Comics,-,good,79
311,Hawk,Male,red,-,Brown,185,DC Comics,-,good,89
314,Hawkgirl,Female,green,-,Red,175,DC Comics,-,good,61
315,Hawkman,Male,blue,-,Brown,185,DC Comics,-,good,88
316,Hawkwoman,Female,green,-,Red,175,DC Comics,-,good,54
317,Hawkwoman II,Female,-,-,-,-99,DC Comics,-,good,-99
318,Hawkwoman III,Female,blue,-,Red,170,DC Comics,-,good,65
323,Hellstorm,Male,red,-,Red,185,Marvel Comics,-,good,81
325,Hiro Nakamura,Male,-,-,-,-99,NBC - Heroes,-,good,-99
327,Hobgoblin,Male,blue,-,Grey,180,Marvel Comics,-,bad,83
328,Hollow,Female,blue,-,Red,170,Marvel Comics,-,good,-99
329,Hope Summers,Female,green,-,Red,168,Marvel Comics,-,good,48
330,Howard the Duck,Male,brown,-,Yellow,79,Marvel Comics,-,good,18
333,Huntress,Female,blue,-,Black,180,DC Comics,-,good,59
336,Hydro-Man,Male,brown,-,Brown,188,Marvel Comics,-,bad,119
346,Iron Monger,Male,blue,-,No Hair,-99,Marvel Comics,-,bad,2
347,Isis,Female,-,-,-,-99,DC Comics,-,good,-99
348,Jack Bauer,Male,-,-,-,-99,,-,good,-99
357,Jennifer Kale,Female,blue,-,Blond,168,Marvel Comics,-,good,55
361,Jessica Sanders,Female,-,-,-,-99,NBC - Heroes,-,good,-99
362,Jigsaw,Male,blue,-,Black,188,Marvel Comics,-,bad,113
363,Jim Powell,Male,-,-,-,-99,ABC Studios,-,good,-99
364,JJ Powell,Male,-,-,-,-99,ABC Studios,-,good,-99
365,Johann Krauss,Male,-,-,-,-99,Dark Horse Comics,-,good,-99
368,John Wraith,Male,brown,-,Black,183,Marvel Comics,-,good,88
370,Jolt,Female,blue,-,Black,165,Marvel Comics,-,good,49
378,Kang,Male,brown,-,Brown,191,Marvel Comics,-,bad,104
385,Kid Flash II,Male,-,-,-,-99,DC Comics,-,good,-99
393,Kool-Aid Man,Male,black,-,No Hair,-99,,red,good,-99
399,Lady Bullseye,Female,-,-,Black,-99,Marvel Comics,-,bad,-99
401,Leader,Male,green,-,No Hair,178,Marvel Comics,-,bad,63
402,Leech,Male,-,-,-,-99,Marvel Comics,-,good,-99
406,Light Lass,Female,blue,-,Red,165,DC Comics,-,good,54
407,Lightning Lad,Male,blue,-,Red,155,DC Comics,-,good,65
408,Lightning Lord,Male,blue,-,Red,191,DC Comics,-,bad,95
409,Living Brain,-,yellow,-,-,198,Marvel Comics,-,bad,360
411,Liz Sherman,Female,-,-,-,-99,Dark Horse Comics,-,good,-99
417,Luke Campbell,Male,-,-,-,-99,NBC - Heroes,-,bad,-99
420,Lyja,Female,green,-,Green,-99,Marvel Comics,-,good,-99
421,Mach-IV,Male,brown,-,Brown,180,Marvel Comics,-,bad,79
422,Machine Man,-,red,-,Black,183,Marvel Comics,-,good,383
424,Magog,Male,blue,-,Blond,-99,DC Comics,-,good,-99
425,Magus,Male,black,-,-,183,Marvel Comics,-,bad,-99
428,Man-Thing,Male,red,-,No Hair,213,Marvel Comics,green,good,225
429,Man-Wolf,Male,brown,-,Auburn,188,Marvel Comics,-,good,90
433,Marvel Girl,Female,green,-,Red,170,Marvel Comics,-,good,56
434,Master Brood,Male,blue,-,Black,183,Team Epic TV,-,good,81
436,Match,Male,black,-,Black,-99,DC Comics,-,bad,-99
437,Matt Parkman,Male,-,-,-,-99,NBC - Heroes,-,good,-99
438,Maverick,Male,blue,-,Black,193,Marvel Comics,-,good,110
439,Maxima,Female,brown,-,Red,180,DC Comics,-,bad,72
440,Maya Herrera,Female,-,-,-,-99,NBC - Heroes,-,good,-99
442,Meltdown,Female,blue,-,Blond,165,Marvel Comics,-,good,54
443,Mephisto,Male,white,-,Black,198,Marvel Comics,-,bad,140
446,Metamorpho,Male,black,-,No Hair,185,DC Comics,-,good,90
447,Meteorite,Female,-,-,-,-99,Marvel Comics,-,good,-99
448,Metron,Male,blue,-,Black,185,DC Comics,-,good,86
449,Micah Sanders,Male,brown,-,Black,-99,NBC - Heroes,-,good,-99
451,Micro Lad,Male,grey,-,Brown,183,DC Comics,-,good,77
452,Mimic,Male,brown,-,Brown,188,Marvel Comics,-,good,101
453,Minna Murray,Female,-,-,-,-99,Wildstorm,-,good,-99
454,Misfit,Female,blue,-,Red,-99,DC Comics,-,good,-99
455,Miss Martian,Female,red,-,Red,178,DC Comics,-,good,61
465,Mohinder Suresh,Male,-,-,-,-99,NBC - Heroes,-,good,-99
466,Moloch,Male,-,-,-,-99,DC Comics,-,bad,-99
467,Molten Man,Male,gold,-,Gold,196,Marvel Comics,-,bad,248
468,Monarch,Male,blue,-,White,193,DC Comics,-,good,90
469,Monica Dawson,Female,-,-,-,-99,NBC - Heroes,-,good,-99
471,Moonstone,Female,blue,-,Blond,180,Marvel Comics,-,bad,59
472,Morlun,Male,white / red,-,Black,188,Marvel Comics,-,bad,79
473,Morph,Male,white,-,No Hair,178,Marvel Comics,-,good,79
474,Moses Magnum,Male,brown,-,Black,175,Marvel Comics,-,bad,72
477,Ms Marvel II,Female,blue,-,Red,173,Marvel Comics,-,good,61
478,Multiple Man,Male,blue,-,Brown,180,Marvel Comics,-,good,70
481,Namor,Male,-,-,-,-99,Marvel Comics,-,good,-99
483,Namora,Female,blue,-,Blond,180,Marvel Comics,-,good,85
484,Namorita,Female,blue,-,Blond,168,Marvel Comics,-,good,101
486,Nathan Petrelli,Male,brown,-,-,-99,NBC - Heroes,-,good,-99
490,Nightcrawler,Male,yellow,-,Indigo,175,Marvel Comics,-,good,88
492,Niki Sanders,Female,blue,-,Blond,-99,NBC - Heroes,-,good,-99
494,Nite Owl II,Male,-,-,-,-99,DC Comics,-,good,-99
495,Northstar,Male,blue,-,Black,180,Marvel Comics,-,good,83
499,Offspring,Male,-,-,-,-99,DC Comics,-,good,-99
500,Omega Red,Male,red,-,Blond,211,Marvel Comics,-,bad,191
501,Omniscient,Male,brown,-,Black,180,Team Epic TV,-,good,65
506,Osiris,Male,brown,-,Brown,-99,DC Comics,-,good,-99
507,Overtkill,Male,-,-,-,-99,Image Comics,-,bad,-99
511,Penance,-,-,-,-,-99,Marvel Comics,-,good,-99
512,Penance I,Female,-,-,-,-99,Marvel Comics,-,good,-99
513,Penance II,Male,blue,-,Blond,183,Marvel Comics,-,good,89
515,Peter Petrelli,Male,-,-,-,-99,NBC - Heroes,-,good,-99
516,Phantom,Male,-,-,-,-99,DC Comics,-,good,-99
517,Phantom Girl,Female,blue,-,Black,168,DC Comics,-,good,54
520,Plastic Lad,Male,-,-,-,-99,DC Comics,-,good,-99
522,Plastique,Female,blue,-,Red,168,DC Comics,-,bad,55
530,Proto-Goblin,Male,green,-,Blond,-99,Marvel Comics,-,bad,-99
534,Pyro,Male,blue,-,Blond,178,Marvel Comics,-,bad,68
536,Quantum,Male,-,-,-,-99,HarperCollins,-,good,-99
539,Quill,Male,brown,-,Brown,163,Marvel Comics,-,good,56
546,Razor-Fist II,Male,blue,-,No Hair,191,Marvel Comics,-,bad,117
550,Red Mist,Male,-,-,-,-99,Icon Comics,-,bad,-99
552,Red Skull,Male,blue,-,No Hair,188,Marvel Comics,-,bad,108
554,Redeemer II,Male,-,-,-,-99,Image Comics,-,bad,-99
555,Redeemer III,Male,-,-,-,-99,Image Comics,-,bad,-99
556,Renata Soliz,Female,-,-,-,-99,HarperCollins,-,good,-99
559,Rick Flag,Male,blue,-,Brown,185,DC Comics,-,bad,85
560,Riddler,Male,-,-,-,-99,DC Comics,-,bad,-99
562,Ripcord,Female,green,-,Black,180,Marvel Comics,-,good,72
569,Rogue,Female,green,-,Brown / White,173,Marvel Comics,-,good,54
573,Sage,Female,blue,-,Black,170,Marvel Comics,-,good,61
575,Sasquatch,Male,red,-,Orange,305,Marvel Comics,-,good,900
577,Savage Dragon,Male,-,-,-,-99,Image Comics,-,good,-99
582,Scorpia,Female,green,-,Red,-99,Marvel Comics,-,bad,-99
586,Shadow King,-,red,-,-,185,Marvel Comics,-,good,149
590,Shatterstar,Male,brown,-,Red,191,Marvel Comics,-,good,88
594,Shriek,Female,yellow / blue,-,Black,173,Marvel Comics,-,good,52
595,Shrinking Violet,Female,-,-,-,-99,DC Comics,-,good,-99
598,Silk Spectre,Female,-,-,-,-99,DC Comics,-,good,-99
599,Silk Spectre II,Female,-,-,-,-99,DC Comics,-,good,-99
601,Silverclaw,Female,brown,-,Black,157,Marvel Comics,-,good,50
605,Siren II,Female,black,-,-,-99,DC Comics,-,bad,-99
606,Siryn,Female,blue,-,Strawberry Blond,168,Marvel Comics,-,bad,52
607,Skaar,Male,green,-,Black,198,Marvel Comics,-,good,180
609,Snowbird,Female,white,-,Blond,178,Marvel Comics,-,good,49
610,Sobek,Male,white,-,No Hair,-99,DC Comics,-,good,-99
612,Songbird,Female,green,-,Red / White,165,Marvel Comics,-,good,65
616,Speedball,Male,-,-,-,-99,Marvel Comics,-,good,-99
626,Spider-Woman II,Female,-,-,-,-99,Marvel Comics,-,good,-99
627,Spider-Woman III,Female,brown,-,Brown,173,Marvel Comics,-,good,55
628,Spider-Woman IV,Female,red,-,White,178,Marvel Comics,-,bad,58
631,Stacy X,Female,-,-,-,-99,Marvel Comics,-,good,-99
633,Stardust,Male,-,-,-,-99,Marvel Comics,-,good,-99
637,Steel,Male,brown,-,No Hair,201,DC Comics,-,good,131
638,Stephanie Powell,Female,-,-,Blond,-99,ABC Studios,-,good,-99
643,Superboy,Male,blue,-,Black,170,DC Comics,-,good,68
649,Sylar,Male,-,-,-,-99,NBC - Heroes,-,bad,-99
650,Synch,Male,brown,-,Black,180,Marvel Comics,-,good,74
656,Tempest,Female,brown,-,Black,163,Marvel Comics,-,good,54
658,The Cape,Male,-,-,-,-99,,-,good,-99
663,Thunderbird,Male,brown,-,Black,185,Marvel Comics,-,good,101
664,Thunderbird II,Male,-,-,-,-99,Marvel Comics,-,good,-99
665,Thunderbird III,Male,brown,-,Black,175,Marvel Comics,-,good,74
666,Thunderstrike,Male,blue,-,Blond,198,Marvel Comics,-,good,288
667,Thundra,Female,green,-,Red,218,Marvel Comics,-,good,158
669,Tigra,Female,green,-,Auburn,178,Marvel Comics,-,good,81
670,Tinkerer,Male,brown,-,White,163,Marvel Comics,-,bad,54
671,Titan,Male,-,-,-,-99,HarperCollins,-,good,-99
675,Tracy Strauss,Female,-,-,-,-99,NBC - Heroes,-,good,-99
678,Triplicate Girl,Female,purple,-,Brown,168,DC Comics,-,good,59
680,Two-Face,Male,-,-,-,183,DC Comics,-,bad,82
681,Ultragirl,Female,blue,-,Blond,168,Marvel Comics,-,good,105
684,Vagabond,Female,blue,-,Strawberry Blond,168,Marvel Comics,-,good,54
685,Valerie Hart,Female,hazel,-,Black,175,Team Epic TV,-,good,56
686,Valkyrie,Female,blue,-,Blond,191,Marvel Comics,-,good,214
687,Vanisher,Male,green,-,No Hair,165,Marvel Comics,-,bad,79
690,Venom II,Male,brown,-,Black,175,Marvel Comics,-,bad,50
693,Vertigo II,Female,blue,-,Silver,168,Marvel Comics,-,good,52
696,Vindicator,Male,-,-,-,-99,Marvel Comics,-,good,-99
697,Violator,Male,-,-,-,-99,Image Comics,-,bad,-99
700,Vision II,-,red,-,No Hair,191,Marvel Comics,-,good,135
702,Vulcan,Male,black,-,Black,-99,Marvel Comics,-,good,-99
706,Warbird,Female,blue,-,Blond,180,Marvel Comics,-,good,54
707,Warlock,Male,red,-,Blond,188,Marvel Comics,-,good,108
708,Warp,Male,brown,-,Black,173,DC Comics,-,bad,67
711,Watcher,Male,-,-,-,-99,Marvel Comics,-,good,-99
712,Weapon XI,Male,-,-,-,-99,Marvel Comics,-,bad,-99
714,White Queen,Female,blue,-,Blond,178,Marvel Comics,-,good,65
715,Wildfire,Male,-,-,-,-99,DC Comics,-,good,-99
717,Wiz Kid,-,brown,-,Black,140,Marvel Comics,-,good,39
718,Wolfsbane,Female,green,-,Auburn,366,Marvel Comics,-,good,473
721,Wonder Man,Male,red,-,Black,188,Marvel Comics,-,good,171
723,Wondra,Female,-,-,-,-99,Marvel Comics,-,good,-99
724,Wyatt Wingfoot,Male,brown,-,Black,196,Marvel Comics,-,good,117
726,X-Man,Male,blue,-,Brown,175,Marvel Comics,-,good,61
727,Yellow Claw,Male,blue,-,No Hair,188,Marvel Comics,-,bad,95
733,Zoom,Male,red,-,Brown,185,DC Comics,-,bad,81
41,Ardina,Female,white,Alien,Orange,193,Marvel Comics,gold,good,98
110,Blackwulf,Male,red,Alien,White,188,Marvel Comics,-,-,88
166,Century,Male,white,Alien,White,201,Marvel Comics,grey,good,97
229,Doomsday,Male,red,Alien,White,244,DC Comics,-,bad,412
247,Evilhawk,Male,red,Alien,Black,191,Marvel Comics,green,bad,106
341,Indigo,Female,-,Alien,Purple,-99,DC Comics,-,neutral,-99
600,Silver Surfer,Male,white,Alien,No Hair,193,Marvel Comics,silver,good,101
83,Bill Harken,Male,-,Alpha,-,-99,SyFy,-,good,-99
146,Cameron Hicks,Male,-,Alpha,-,-99,SyFy,-,good,-99
276,Gary Bell,Male,-,Alpha,-,-99,SyFy,-,good,-99
493,Nina Theroux,Female,-,Alpha,-,-99,SyFy,-,good,-99
541,Rachel Pirzad,Female,-,Alpha,-,-99,SyFy,-,good,-99
228,Donna Troy,Female,blue,Amazon,Black,175,DC Comics,-,good,63
722,Wonder Woman,Female,blue,Amazon,Black,183,DC Comics,-,good,74
19,Amazo,Male,red,Android,-,257,DC Comics,-,bad,173
135,Brainiac,Male,green,Android,No Hair,198,DC Comics,green,bad,135
209,Data,Male,yellow,Android,Brown,-99,Star Trek,-,good,-99
377,K-2SO,Male,white,Android,No Hair,213,George Lucas,gray,good,-99
445,Metallo,Male,green,Android,Brown,196,DC Comics,-,bad,90
553,Red Tornado,Male,green,Android,No Hair,185,DC Comics,-,good,146
651,T-1000,Male,-,Android,-,183,Dark Horse Comics,silver,bad,146
682,Ultron,Male,red,Android,-,206,Marvel Comics,silver,bad,331
699,Vision,Male,gold,Android,No Hair,191,Marvel Comics,red,good,135
389,King Kong,Male,yellow,Animal,Black,30.5,,-,good,
390,King Shark,Male,black,Animal,No Hair,-99,DC Comics,-,bad,-99
568,Rocket Raccoon,Male,brown,Animal,Brown,122,Marvel Comics,-,good,25
608,Snake-Eyes,Male,-,Animal,-,-99,Marvel Comics,-,bad,-99
320,Hela,Female,green,Asgardian,Black,213,Marvel Comics,-,bad,225
414,Loki,Male,green,Asgardian,Black,193,Marvel Comics,-,bad,236
596,Sif,Female,blue,Asgardian,Black,188,Marvel Comics,-,good,191
661,Thor,Male,blue,Asgardian,Blond,198,Marvel Comics,-,good,288
662,Thor Girl,Female,blue,Asgardian,Blond,175,Marvel Comics,-,good,143
36,Aqualad,Male,blue,Atlantean,Black,178,DC Comics,-,good,106
37,Aquaman,Male,blue,Atlantean,Blond,185,DC Comics,-,good,146
444,Mera,Female,blue,Atlantean,Red,175,DC Comics,-,good,72
482,Namor,Male,grey,Atlantean,Black,188,Marvel Comics,-,good,125
604,Siren,Female,blue,Atlantean,Purple,175,DC Comics,-,bad,72
92,Bizarro,Male,black,Bizarro,Black,191,DC Comics,white,neutral,155
388,Kilowog,Male,red,Bolovaxian,No Hair,234,DC Comics,pink,good,324
580,Scarlet Spider II,Male,brown,Clone,Brown,193,Marvel Comics,-,good,113
4,Abraxas,Male,blue,Cosmic Entity,Black,-99,Marvel Comics,-,bad,-99
272,Galactus,Male,black,Cosmic Entity,Black,876,Marvel Comics,-,neutral,16
410,Living Tribunal,-,blue,Cosmic Entity,No Hair,-99,Marvel Comics,gold,neutral,-99
503,One-Above-All,-,-,Cosmic Entity,-,-99,Marvel Comics,-,neutral,-99
12,Ajax,Male,brown,Cyborg,Black,193,Marvel Comics,-,bad,90
86,Bionic Woman,Female,blue,Cyborg,Black,-99,,-,good,-99
193,Cyborg,Male,brown,Cyborg,Black,198,DC Comics,-,good,173
194,Cyborg Superman,Male,blue,Cyborg,Black,-99,DC Comics,-,bad,-99
207,Darth Vader,Male,yellow,Cyborg,No Hair,198,George Lucas,-,bad,135
214,Deathlok,Male,brown,Cyborg,Grey,193,Marvel Comics,-,good,178
400,Lady Deathstrike,Female,brown,Cyborg,Black,175,Marvel Comics,-,bad,58
463,MODOK,Male,white,Cyborg,Brownn,366,Marvel Comics,-,bad,338
652,T-800,Male,red,Cyborg,-,-99,Dark Horse Comics,-,bad,176
653,T-850,Male,red,Cyborg,-,-99,Dark Horse Comics,-,bad,198
654,T-X,Female,-,Cyborg,-,-99,Dark Horse Comics,silver,bad,149
413,Lobo,Male,red,Czarnian,Black,229,DC Comics,blue-white,neutral,288
206,Darth Maul,Male,yellow / red,Dathomirian Zabrak,-,170,George Lucas,red / black,bad,-99
324,Hercules,Male,blue,Demi-God,Brown,196,Marvel Comics,-,good,146
720,Wonder Girl,Female,blue,Demi-God,Blond,165,DC Comics,-,good,51
108,Blackout,Male,red,Demon,White,191,Marvel Comics,white,bad,104
216,Demogoblin,Male,red,Demon,No Hair,185,Marvel Comics,-,bad,95
245,Etrigan,Male,red,Demon,No Hair,193,DC Comics,yellow,neutral,203
279,Ghost Rider,Male,red,Demon,No Hair,188,Marvel Comics,-,good,99
321,Hellboy,Male,gold,Demon,Black,259,Dark Horse Comics,-,good,158
614,Spawn,Male,brown,Demon,Black,211,Image Comics,-,good,405
337,Hyperion,Male,blue,Eternal,Red,183,Marvel Comics,-,good,207
657,Thanos,Male,red,Eternal,No Hair,201,Marvel Comics,purple,bad,443
302,Groot,Male,yellow,Flora Colossus,-,701,Marvel Comics,-,good,4
683,Utgard-Loki,Male,blue,Frost Giant,White,15.2,Marvel Comics,-,bad,58
730,Ymir,Male,white,Frost Giant,No Hair,304.8,Marvel Comics,white,good,-99
31,Anti-Monitor,Male,yellow,God / Eternal,No Hair,61,DC Comics,-,bad,-99
48,Atlas,Male,blue,God / Eternal,Brown,198,DC Comics,-,bad,126
79,Beyonder,Male,-,God / Eternal,-,-99,Marvel Comics,-,good,-99
90,Birdman,Male,-,God / Eternal,-,-99,Hanna-Barbera,-,good,-99
99,Black Flash,Male,-,God / Eternal,-,-99,DC Comics,-,neutral,-99
159,Captain Planet,Male,red,God / Eternal,Green,-99,Marvel Comics,-,good,-99
160,Captain Universe,-,-,God / Eternal,-,-99,Marvel Comics,-,good,-99
426,Man of Miracles,-,blue,God / Eternal,Silver,-99,Image Comics,-,-,-99
459,Mister Mxyzptlk,Male,-,God / Eternal,-,-99,DC Comics,-,bad,-99
