,state,colonies_number,yield_per_colony,production,stocks,average_price,value_of_production,year
86,Wisconsin,69000,78,5382000,2422000,83.0,4467000,1996
87,Wyoming,40000,73,2920000,526000,91.0,2657000,1996
88,Alabama,14000,66,924000,92000,81.0,748000,1997
89,Arizona,32000,80,2560000,1024000,72.0,1843000,1997
90,Arkansas,40000,95,3800000,2774000,70.0,2660000,1997
91,California,400000,75,30000000,9000000,70.0,21000000,1997
92,Colorado,35000,55,1925000,982000,82.0,1579000,1997
93,Florida,240000,67,16080000,2734000,73.0,11738000,1997
94,Georgia,75000,46,3450000,587000,79.0,2726000,1997
95,Hawaii,9000,146,1314000,158000,86.0,1130000,1997
96,Idaho,120000,64,7680000,2304000,72.0,5530000,1997
97,Illinois,7000,69,483000,222000,127.0,613000,1997
98,Indiana,8000,71,568000,352000,113.0,642000,1997
99,Iowa,51000,74,3774000,2000000,86.0,3246000,1997
100,Kansas,17000,71,1207000,688000,81.0,978000,1997
101,Kentucky,3000,60,180000,54000,148.0,266000,1997
102,Louisiana,38000,115,4370000,656000,70.0,3059000,1997
103,Maine,8000,19,152000,9000,70.0,106000,1997
104,Maryland,6000,40,240000,65000,159.0,382000,1997
105,Michigan,85000,70,5950000,3273000,77.0,4582000,1997
106,Minnesota,145000,73,10585000,2011000,74.0,7833000,1997
107,Mississippi,19000,73,1387000,777000,73.0,1013000,1997
108,Missouri,24000,77,1848000,517000,78.0,1441000,1997
109,Montana,107000,120,12840000,4237000,74.0,9502000,1997
110,Nebraska,61000,67,4087000,2738000,77.0,3147000,1997
111,Nevada,14000,61,854000,171000,114.0,974000,1997
112,NewJersey,8000,49,392000,161000,104.0,408000,1997
113,NewMexico,15000,60,900000,396000,87.0,783000,1997
114,NewYork,72000,60,4320000,2246000,85.0,3672000,1997
115,NorthCarolina,8000,58,464000,139000,119.0,552000,1997
116,NorthDakota,245000,100,24500000,7350000,74.0,18130000,1997
117,Ohio,22000,80,1760000,827000,85.0,1496000,1997
118,Oklahoma,4000,58,232000,97000,137.0,318000,1997
119,Oregon,47000,53,2491000,1445000,79.0,1968000,1997
120,Pennsylvania,22000,48,1056000,528000,100.0,1056000,1997
121,SouthDakota,240000,65,15600000,8736000,74.0,11544000,1997
122,Tennessee,6000,62,372000,126000,147.0,547000,1997
123,Texas,94000,106,9964000,3188000,75.0,7473000,1997
124,Utah,32000,52,1664000,699000,75.0,1248000,1997
125,Vermont,5000,63,315000,249000,83.0,261000,1997
126,Virginia,8000,53,424000,157000,145.0,615000,1997
127,Washington,54000,52,2808000,1348000,76.0,2134000,1997
128,WestVirginia,8000,70,560000,280000,111.0,622000,1997
129,Wisconsin,79000,60,4740000,2797000,90.0,4266000,1997
130,Wyoming,38000,62,2356000,660000,75.0,1767000,1997
131,Alabama,16000,71,1136000,159000,72.0,818000,1998
132,Arizona,55000,60,3300000,1485000,64.0,2112000,1998
133,Arkansas,53000,65,3445000,1688000,59.0,2033000,1998
134,California,450000,83,37350000,12326000,62.0,23157000,1998
135,Colorado,27000,72,1944000,1594000,70.0,1361000,1998
136,Florida,230000,98,22540000,4508000,64.0,14426000,1998
137,Georgia,75000,56,4200000,307000,69.0,2898000,1998
138,Hawaii,8000,118,944000,66000,75.0,708000,1998
139,Idaho,120000,50,6000000,2220000,65.0,3900000,1998
140,Illinois,9000,71,639000,204000,119.0,760000,1998
141,Indiana,9000,92,828000,489000,85.0,704000,1998
142,Iowa,50000,78,3900000,2301000,70.0,2730000,1998
143,Kansas,16000,46,736000,390000,87.0,640000,1998
144,Kentucky,3000,50,150000,51000,140.0,210000,1998
145,Louisiana,41000,111,4551000,865000,59.0,2685000,1998
146,Maine,10000,26,260000,117000,69.0,179000,1998
147,Maryland,7000,44,308000,92000,110.0,339000,1998
148,Michigan,80000,85,6800000,3672000,66.0,4488000,1998
149,Minnesota,140000,79,11060000,2765000,65.0,7189000,1998
150,Mississippi,18000,86,1548000,898000,58.0,898000,1998
151,Missouri,23000,66,1518000,455000,76.0,1154000,1998
152,Montana,115000,122,14030000,5472000,64.0,8979000,1998
153,Nebraska,64000,70,4480000,2240000,86.0,3853000,1998
154,Nevada,10000,46,460000,175000,165.0,759000,1998
155,NewJersey,11000,49,539000,167000,76.0,410000,1998
156,NewMexico,14000,55,770000,470000,76.0,585000,1998
157,NewYork,65000,80,5200000,2444000,70.0,3640000,1998
158,NorthCarolina,8000,59,472000,151000,138.0,651000,1998
159,NorthDakota,230000,128,29440000,8832000,63.0,18547000,1998
160,Ohio,18000,78,1404000,702000,83.0,1165000,1998
161,Oklahoma,4000,51,204000,63000,124.0,253000,1998
162,Oregon,50000,45,2250000,1620000,90.0,2025000,1998
163,Pennsylvania,23000,66,1518000,698000,80.0,1214000,1998
164,SouthDakota,225000,95,21375000,10901000,64.0,13680000,1998
165,Tennessee,7000,64,448000,121000,132.0,591000,1998
166,Texas,91000,77,7007000,1612000,62.0,4344000,1998
167,Utah,30000,58,1740000,557000,65.0,1131000,1998
168,Vermont,6000,64,384000,207000,107.0,411000,1998
169,Virginia,8000,37,296000,86000,133.0,394000,1998
170,Washington,58000,51,2958000,1361000,64.0,1893000,1998
171,WestVirginia,6000,55,330000,155000,114.0,376000,1998
172,Wisconsin,89000,91,8099000,5264000,72.0,5831000,1998
173,Wyoming,46000,60,2760000,524000,68.0,1877000,1998
174,Alabama,17000,68,1156000,185000,56.0,647000,1999
175,Arizona,52000,62,3224000,1548000,62.0,1999000,1999
176,Arkansas,52000,89,4628000,2592000,53.0,2453000,1999
177,California,505000,60,30300000,10302000,53.0,16059000,1999
178,Colorado,27000,76,2052000,1436000,68.0,1395000,1999
179,Florida,228000,102,23256000,4186000,53.0,12326000,1999
180,Georgia,65000,51,3315000,497000,64.0,2122000,1999
181,Hawaii,8000,80,640000,32000,78.0,499000,1999
182,Idaho,120000,48,5760000,3110000,59.0,3398000,1999
183,Illinois,9000,66,594000,327000,115.0,683000,1999
184,Indiana,10000,81,810000,437000,90.0,729000,1999
185,Iowa,40000,65,2600000,2028000,65.0,1690000,1999
186,Kansas,13000,67,871000,854000,111.0,967000,1999
187,Kentucky,3000,50,150000,12000,124.0,186000,1999
188,Louisiana,48000,114,5472000,821000,49.0,2681000,1999
189,Maine,14000,22,308000,89000,83.0,256000,1999
190,Maryland,6000,46,276000,50000,164.0,453000,1999
191,Michigan,73000,85,6205000,3475000,66.0,4095000,1999
192,Minnesota,145000,82,11890000,3210000,61.0,7253000,1999
193,Mississippi,18000,73,1314000,591000,54.0,710000,1999
194,Missouri,24000,65,1560000,437000,68.0,1061000,1999
195,Montana,122000,70,8540000,2135000,60.0,5124000,1999
196,Nebraska,58000,77,4466000,1965000,61.0,2724000,1999
197,Nevada,9000,45,383000,257000,154.0,590000,1999
198,NewJersey,10000,44,440000,154000,57.0,251000,1999
199,NewMexico,15000,52,780000,476000,77.0,601000,1999
200,NewYork,69000,70,4830000,2077000,66.0,3188000,1999
201,NorthCarolina,9000,46,414000,104000,162.0,671000,1999
202,NorthDakota,255000,105,26775000,8836000,59.0,15797000,1999
203,Ohio,20000,74,1480000,784000,72.0,1066000,1999
204,Oklahoma,6000,45,270000,49000,134.0,362000,1999
205,Oregon,45000,57,2565000,2026000,80.0,2052000,1999
206,Pennsylvania,25000,60,1500000,705000,76.0,1140000,1999
207,SouthDakota,224000,104,23296000,13046000,60.0,13978000,1999
208,Tennessee,8000,51,408000,106000,130.0,530000,1999
209,Texas,108000,81,8748000,2799000,64.0,5599000,1999
210,Utah,26000,45,1170000,433000,68.0,796000,1999
211,Vermont,6000,66,396000,222000,63.0,249000,1999
212,Virginia,7000,35,245000,86000,117.0,287000,1999
213,Washington,52000,50,2600000,1170000,60.0,1560000,1999
214,WestVirginia,6000,39,234000,152000,109.0,255000,1999
215,Wisconsin,80000,75,6000000,4560000,68.0,4080000,1999
216,Wyoming,37000,72,2664000,746000,61.0,1625000,1999
217,Alabama,16000,78,1248000,187000,59.0,736000,2000
218,Arizona,40000,59,2360000,1322000,73.0,1723000,2000
219,Arkansas,55000,93,5115000,3529000,57.0,2916000,2000
220,California,440000,70,30800000,11396000,58.0,17864000,2000
221,Colorado,29000,60,1740000,957000,62.0,1079000,2000
222,Florida,232000,105,24360000,2923000,54.0,13154000,2000
223,Georgia,55000,57,3135000,376000,63.0,1975000,2000
224,Hawaii,7000,112,784000,125000,81.0,635000,2000
225,Idaho,100000,47,4700000,2679000,52.0,2444000,2000
226,Illinois,8000,61,488000,146000,117.0,571000,2000
227,Indiana,8000,65,520000,286000,103.0,536000,2000
228,Iowa,30000,67,2010000,1206000,67.0,1347000,2000
229,Kansas,15000,68,1020000,520000,91.0,928000,2000
230,Kentucky,3000,48,144000,40000,135.0,194000,2000
231,Louisiana,43000,94,4042000,1334000,52.0,2102000,2000
232,Maine,11000,21,231000,143000,75.0,173000,2000
233,Maryland,6000,46,276000,52000,114.0,315000,2000
234,Michigan,72000,75,5400000,2970000,60.0,3240000,2000
235,Minnesota,150000,90,13500000,3105000,57.0,7695000,2000
236,Mississippi,17000,72,1224000,649000,69.0,845000,2000
237,Missouri,23000,75,1725000,362000,60.0,1035000,2000
238,Montana,148000,86,12728000,5982000,59.0,7510000,2000
239,Nebraska,50000,87,4350000,2610000,59.0,2567000,2000
240,Nevada,10000,35,350000,95000,145.0,508000,2000
241,NewJersey,11000,35,385000,200000,61.0,235000,2000
242,NewMexico,15000,64,960000,739000,72.0,691000,2000
243,NewYork,58000,80,4640000,2274000,55.0,2552000,2000
244,NorthCarolina,11000,49,539000,243000,143.0,771000,2000
245,NorthDakota,290000,115,33350000,13340000,56.0,18676000,2000
246,Ohio,18000,65,1170000,585000,79.0,924000,2000
247,Oklahoma,7000,35,245000,64000,126.0,309000,2000
248,Oregon,48000,51,2448000,1665000,66.0,1616000,2000
249,Pennsylvania,22000,45,990000,554000,76.0,752000,2000
250,SouthDakota,235000,121,28435000,12796000,57.0,16208000,2000
251,Tennessee,9000,61,549000,104000,143.0,785000,2000
252,Texas,105000,79,8295000,2986000,57.0,4728000,2000
253,Utah,24000,41,984000,462000,60.0,590000,2000
254,Vermont,7000,59,413000,211000,68.0,281000,2000
255,Virginia,7000,42,294000,103000,150.0,441000,2000
256,Washington,52000,54,2808000,1151000,58.0,1629000,2000
257,WestVirginia,7000,54,378000,234000,122.0,461000,2000
258,Wisconsin,84000,90,7560000,4385000,68.0,5141000,2000
259,Wyoming,39000,93,3627000,798000,59.0,2140000,2000
260,Alabama,14000,73,1022000,235000,71.0,726000,2001
261,Arizona,43000,59,2537000,1142000,78.0,1979000,2001
262,Arkansas,58000,98,5655000,1872000,66.0,3732000,2001
263,California,425000,65,27625000,7735000,67.0,18509000,2001
264,Colorado,26000,55,1430000,529000,70.0,1001000,2001
265,Florida,220000,100,22000000,3432000,62.0,13640000,2001
266,Georgia,55000,57,3135000,188000,70.0,2195000,2001
267,Hawaii,8000,87,696000,84000,85.0,592000,2001
268,Idaho,100000,46,4600000,1610000,66.0,3036000,2001
269,Illinois,6000,76,456000,251000,172.0,784000,2001
270,Indiana,8000,76,608000,213000,86.0,523000,2001
271,Iowa,33000,51,1683000,875000,73.0,1229000,2001
272,Kansas,13000,51,663000,530000,85.0,564000,2001
273,Kentucky,3000,78,234000,94000,131.0,307000,2001
274,Louisiana,45000,106,4770000,572000,60.0,2862000,2001
275,Maine,11000,20,220000,106000,70.0,154000,2001
276,Maryland,4000,46,184000,55000,172.0,316000,2001
277,Michigan,76000,60,4560000,2827000,78.0,3557000,2001
278,Minnesota,135000,81,10935000,1859000,63.0,6889000,2001
279,Mississippi,17000,66,1122000,224000,60.0,673000,2001
280,Missouri,25000,61,1525000,381000,68.0,1037000,2001
281,Montana,136000,102,13872000,4578000,65.0,9017000,2001
282,Nebraska,43000,48,2064000,1115000,66.0,1362000,2001
283,Nevada,11000,50,550000,44000,201.0,1106000,2001
284,NewJersey,11000,34,374000,71000,82.0,307000,2001
285,NewMexico,15000,70,1050000,525000,65.0,683000,2001
286,NewYork,53000,70,3710000,1781000,68.0,2523000,2001
287,NorthCarolina,11000,44,484000,145000,158.0,765000,2001
288,NorthDakota,280000,96,26880000,9408000,65.0,17472000,2001
289,Ohio,16000,81,1296000,505000,85.0,1102000,2001
290,Oklahoma,4000,47,188000,105000,141.0,265000,2001
291,Oregon,44000,44,1936000,1200000,69.0,1336000,2001
292,Pennsylvania,17000,57,969000,514000,87.0,843000,2001
293,SouthDakota,235000,65,15275000,12220000,64.0,9776000,2001
294,Tennessee,9000,59,531000,147000,137.0,727000,2001
295,Texas,97000,79,7663000,1533000,64.0,4904000,2001
296,Utah,23000,38,874000,315000,65.0,568000,2001
297,Vermont,7000,81,567000,249000,91.0,516000,2001
298,Virginia,9000,52,468000,94000,117.0,548000,2001
299,Washington,42000,52,2184000,917000,67.0,1463000,2001
300,WestVirginia,7000,65,455000,410000,155.0,705000,2001
301,Wisconsin,67000,81,5427000,3419000,76.0,4125000,2001
302,Wyoming,38000,77,2926000,468000,63.0,1843000,2001
303,Alabama,12000,86,1032000,103000,111.0,1146000,2002
304,Arizona,38000,63,2394000,1197000,110.0,2633000,2002
305,Arkansas,55000,88,4840000,1065000,124.0,6002000,2002
306,California,440000,53,23320000,3498000,129.0,30083000,2002
307,Colorado,24000,60,1440000,576000,122.0,1757000,2002
308,Florida,220000,93,20460000,2026000,112.0,22915000,2002
309,Georgia,50000,52,2600000,52000,110.0,2860000,2002
310,Hawaii,7000,136,952000,29000,110.0,1047000,2002
311,Idaho,100000,57,5700000,1653000,135.0,7695000,2002
312,Illinois,9000,80,720000,130000,142.0,1022000,2002
313,Indiana,8000,62,496000,233000,114.0,565000,2002
314,Iowa,33000,70,2310000,901000,137.0,3165000,2002
315,Kansas,17000,52,884000,407000,156.0,1379000,2002
316,Kentucky,3000,54,162000,47000,165.0,267000,2002
317,Louisiana,35000,124,4340000,347000,114.0,4948000,2002
318,Maine,11000,41,451000,266000,121.0,546000,2002
319,Maryland,3000,46,138000,21000,175.0,242000,2002
320,Michigan,72000,77,5544000,1885000,134.0,7429000,2002
321,Minnesota,117000,73,8541000,1110000,142.0,12128000,2002
322,Mississippi,18000,78,1404000,281000,118.0,1657000,2002
323,Missouri,18000,53,954000,200000,137.0,1307000,2002
324,Montana,134000,63,8442000,1097000,135.0,11397000,2002
325,Nebraska,43000,75,3225000,1161000,145.0,4676000,2002
326,Nevada,9000,62,558000,61000,227.0,1267000,2002
327,NewJersey,10000,35,350000,74000,98.0,343000,2002
328,NewMexico,11000,44,484000,252000,109.0,528000,2002
329,NewYork,60000,98,5880000,2470000,117.0,6880000,2002
330,NorthCarolina,14000,51,714000,86000,136.0,971000,2002
331,NorthDakota,320000,75,24000000,8160000,142.0,34080000,2002
332,Ohio,16000,81,1296000,518000,140.0,1814000,2002
333,Oklahoma,3000,53,159000,51000,160.0,254000,2002
334,Oregon,39000,49,1911000,803000,128.0,2446000,2002
335,Pennsylvania,18000,57,1026000,513000,130.0,1334000,2002
336,SouthCarolina,5000,94,470000,14000,125.0,588000,2002
337,SouthDakota,225000,51,11475000,2410000,140.0,16065000,2002
338,Tennessee,8000,61,488000,137000,137.0,669000,2002
339,Texas,114000,67,7638000,985000,109.0,8325000,2002
340,Utah,22000,59,1298000,208000,129.0,1674000,2002
341,Vermont,7000,89,623000,274000,119.0,741000,2002
342,Virginia,7000,38,266000,69000,186.0,495000,2002
343,Washington,44000,51,2244000,494000,125.0,2805000,2002
344,WestVirginia,9000,51,459000,151000,137.0,629000,2002
345,Wisconsin,70000,95,6650000,2461000,130.0,8645000,2002
346,Wyoming,38000,63,2394000,383000,139.0,3328000,2002
347,Alabama,13000,82,1066000,43000,126.0,1343000,2003
348,Arizona,40000,72,2880000,1123000,138.0,3974000,2003
349,Arkansas,40000,75,3000000,810000,127.0,3810000,2003
350,California,480000,67,32160000,6432000,142.0,45667000,2003
351,Colorado,24000,86,2064000,722000,138.0,2848000,2003
352,Florida,210000,71,14910000,1491000,135.0,20129000,2003
353,Georgia,52000,65,3380000,270000,128.0,4326000,2003
354,Hawaii,7000,113,791000,43000,143.0,1131000,2003
355,Idaho,100000,46,4600000,1380000,135.0,6210000,2003
356,Illinois,7000,60,420000,252000,173.0,727000,2003
357,Indiana,5000,56,280000,78000,159.0,445000,2003
358,Iowa,32000,59,1888000,868000,145.0,2738000,2003
359,Kansas,16000,57,912000,447000,158.0,1441000,2003
360,Kentucky,5000,48,240000,14000,164.0,394000,2003
361,Louisiana,34000,90,3060000,275000,124.0,3794000,2003
362,Maine,8000,33,264000,145000,140.0,370000,2003
363,Maryland,2000,42,84000,21000,191.0,160000,2003
364,Michigan,65000,74,4810000,1732000,147.0,7071000,2003
365,Minnesota,120000,83,9960000,1892000,146.0,14542000,2003
366,Mississippi,21000,69,1449000,246000,128.0,1855000,2003
367,Missouri,17000,53,901000,189000,141.0,1270000,2003
368,Montana,145000,66,9570000,1914000,148.0,14164000,2003
369,Nebraska,45000,74,3330000,1299000,143.0,4762000,2003
370,Nevada,6000,64,384000,46000,241.0,925000,2003
371,NewJersey,10000,19,190000,101000,157.0,298000,2003
372,NewMexico,6000,41,246000,108000,116.0,285000,2003
373,NewYork,67000,72,4824000,1640000,140.0,6754000,2003
374,NorthCarolina,10000,44,440000,79000,190.0,836000,2003
375,NorthDakota,340000,87,29580000,6803000,136.0,40229000,2003
376,Ohio,15000,50,750000,278000,143.0,1073000,2003
377,Oklahoma,3000,47,141000,69000,183.0,258000,2003
378,Oregon,42000,51,2142000,964000,126.0,2699000,2003
379,Pennsylvania,27000,50,1350000,419000,132.0,1782000,2003
380,SouthCarolina,6000,70,420000,13000,195.0,819000,2003
381,SouthDakota,200000,70,14000000,2520000,146.0,20440000,2003
382,Tennessee,7000,40,280000,53000,153.0,428000,2003
383,Texas,140000,67,9380000,1126000,142.0,13320000,2003
384,Utah,23000,57,1311000,144000,130.0,1704000,2003
385,Vermont,7000,83,581000,163000,192.0,1116000,2003
386,Virginia,6000,37,222000,69000,169.0,375000,2003
387,Washington,58000,56,3248000,942000,152.0,4937000,2003
388,WestVirginia,8000,47,376000,194000,201.0,756000,2003
389,Wisconsin,74000,77,5698000,2678000,144.0,8205000,2003
390,Wyoming,39000,81,3159000,474000,140.0,4423000,2003
391,Alabama,12000,87,1044000,282000,140.0,1462000,2004
392,Arizona,32000,55,1760000,774000,115.0,2024000,2004
393,Arkansas,40000,57,2280000,388000,90.0,2052000,2004
394,California,390000,45,17550000,5792000,101.0,17726000,2004
395,Colorado,23000,80,1840000,791000,148.0,2723000,2004
396,Florida,205000,98,20090000,2009000,100.0,20090000,2004
397,Georgia,63000,49,3087000,648000,118.0,3643000,2004
398,Hawaii,8000,96,768000,77000,141.0,1083000,2004
399,Idaho,100000,63,6300000,2520000,101.0,6363000,2004
400,Illinois,7000,55,385000,193000,193.0,743000,2004
401,Indiana,7000,59,413000,145000,158.0,653000,2004
402,Iowa,35000,67,2345000,1337000,128.0,3002000,2004
403,Kansas,14000,80,1120000,683000,123.0,1378000,2004
404,Louisiana,35000,98,3430000,240000,79.0,2710000,2004
405,Maine,7000,31,217000,37000,127.0,276000,2004
406,Michigan,65000,67,4355000,2439000,117.0,5095000,2004
407,Minnesota,135000,75,10125000,1924000,104.0,10530000,2004
408,Mississippi,18000,65,1170000,421000,80.0,936000,2004
409,Missouri,16000,41,656000,151000,137.0,899000,2004
410,Montana,140000,77,10780000,3773000,106.0,11427000,2004
411,Nebraska,51000,89,4539000,2043000,107.0,4857000,2004
412,Nevada,14000,55,770000,316000,330.0,2541000,2004
413,NewJersey,12000,27,324000,45000,138.0,447000,2004
414,NewMexico,8000,44,352000,127000,122.0,429000,2004
415,NewYork,64000,67,4288000,1887000,133.0,5703000,2004
416,NorthCarolina,9000,40,360000,72000,218.0,785000,2004
417,NorthDakota,390000,78,30420000,9126000,105.0,31941000,2004
418,Ohio,16000,58,928000,353000,150.0,1392000,2004
419,Oregon,42000,54,2268000,1111000,124.0,2812000,2004
420,Pennsylvania,30000,54,1620000,810000,138.0,2236000,2004
421,SouthDakota,215000,105,22575000,13545000,106.0,23930000,2004
422,Tennessee,6000,54,324000,91000,172.0,557000,2004
423,Texas,116000,76,8816000,1411000,96.0,8463000,2004
424,Utah,23000,70,1610000,531000,104.0,1674000,2004
425,Vermont,6000,68,408000,192000,145.0,592000,2004
426,Virginia,7000,38,266000,69000,213.0,567000,2004
427,Washington,56000,63,3528000,1376000,103.0,3634000,2004
428,WestVirginia,9000,55,495000,183000,142.0,703000,2004
429,Wisconsin,68000,86,5848000,2632000,133.0,7778000,2004
430,Wyoming,39000,75,2925000,380000,109.0,3188000,2004
431,Alabama,13000,66,858000,266000,128.0,1098000,2005
432,Arizona,36000,50,1800000,720000,97.0,1746000,2005
433,Arkansas,36000,69,2484000,571000,95.0,2360000,2005
434,California,400000,75,30000000,9300000,84.0,25200000,2005
435,Colorado,26000,70,1820000,837000,104.0,1893000,2005
436,Florida,160000,86,13760000,2477000,87.0,11971000,2005
437,Georgia,59000,49,2891000,434000,84.0,2428000,2005
438,Hawaii,9000,131,1179000,283000,134.0,1580000,2005
439,Idaho,95000,37,3515000,1793000,80.0,2812000,2005
440,Illinois,8000,85,680000,408000,162.0,1102000,2005
441,Indiana,8000,64,512000,189000,119.0,609000,2005
442,Iowa,28000,88,2464000,1232000,98.0,2415000,2005
443,Kansas,16000,50,800000,328000,124.0,992000,2005
444,Kentucky,5000,50,250000,40000,212.0,530000,2005
445,Louisiana,35000,97,3395000,611000,71.0,2410000,2005
446,Maine,8000,26,208000,193000,187.0,389000,2005
447,Michigan,65000,68,4420000,2519000,99.0,4376000,2005
448,Minnesota,120000,74,8880000,1598000,83.0,7370000,2005
449,Mississippi,16000,80,1280000,346000,66.0,845000,2005
450,Missouri,15000,50,750000,180000,121.0,908000,2005
451,Montana,130000,67,8710000,3136000,80.0,6968000,2005
452,Nebraska,40000,68,2720000,2530000,89.0,2421000,2005
453,Nevada,12000,46,552000,442000,209.0,1154000,2005
454,NewJersey,12000,32,384000,104000,118.0,453000,2005
455,NewMexico,7000,49,343000,113000,102.0,350000,2005
456,NewYork,60000,73,4380000,2321000,122.0,5344000,2005
457,NorthCarolina,10000,54,540000,146000,194.0,1048000,2005
458,NorthDakota,370000,91,33670000,8418000,81.0,27273000,2005
459,Ohio,15000,69,1035000,580000,141.0,1459000,2005
460,Oregon,39000,42,1638000,557000,108.0,1769000,2005
461,Pennsylvania,28000,56,1568000,800000,105.0,1646000,2005
462,SouthDakota,220000,79,17380000,11818000,76.0,13209000,2005
