Product_Collection,Vertical_Segment,Processor_Number,Status,Launch_Date,Lithography,Recommended_Customer_Price,nb_of_Cores,nb_of_Threads,Processor_Base_Frequency,Max_Turbo_Frequency,Cache,Bus_Speed,TDP,Embedded_Options_Available,Conflict_Free,Max_Memory_Size,Memory_Types,Max_nb_of_Memory_Channels,Max_Memory_Bandwidth,ECC_Memory_Supported,Processor_Graphics_,Graphics_Base_Frequency,Graphics_Max_Dynamic_Frequency,Graphics_Video_Max_Memory,Graphics_Output,Support_4k,Max_Resolution_HDMI,Max_Resolution_DP,Max_Resolution_eDP_Integrated_Flat_Panel,DirectX_Support,OpenGL_Support,PCI_Express_Revision,PCI_Express_Configurations_,Max_nb_of_PCI_Express_Lanes,T,Intel_Hyper_Threading_Technology_,Intel_Virtualization_Technology_VTx_,Intel_64_,Instruction_Set,Instruction_Set_Extensions,Idle_States,Thermal_Monitoring_Technologies,Secure_Key,Execute_Disable_Bit
Intel® Pentium® Processor 4000 Series,Mobile,4405U,Launched,Q3'15,14 nm,$161.00 ,2,4,2.10 GHz,,2 MB SmartCache,4 GT/s OPI,15 W,No,Yes,32 GB,"DDR4-1866/2133, LPDDR3-1600/1866",2,34.1 GB/s,No,,300 MHz,950 MHz,32 GB,eDP/DP/HDMI/DVI,,4096x2304@24Hz,4096x2304@60Hz,4096x2304@60Hz,12,,2,"1x4, 2x2, 1x2+2x1 and 4x1",10,100°C,Yes,Yes,Yes,64-bit,SSE4.1/4.2,Yes,Yes,Yes,Yes
Intel® Pentium® Processor N Series,Mobile,N3710,Launched,Q1'16,14 nm,$161.00 ,4,4,1.60 GHz,,2 MB L2,,6 W,Yes,Yes,8 GB,DDR3L-1600,2,,No,,400 MHz,,8 GB,eDP/DP/HDMI,,,,,Yes,,2,1x4/2x2/1x2 + 2x1/4x1,4,90°C ,No,Yes,Yes,64-bit,,Yes,Yes,Yes,Yes
Intel® Quark™ SE C1000 Microcontroller Series,Embedded,C1000,Launched,Q4'15,,$7.75 ,1,1,32 MHz,,8 KB,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,32-bit,,,,,
Intel® Pentium® Processor J Series,Desktop,J2850,Launched,Q3'13,22 nm,$94.00 ,4,4,2.41 GHz,,2 MB L2,,10 W,No,Yes,8 GB,DDR3L 1333,2,,No,,688 MHz,854 MHz,,,,,,,,,2,"X4, X2, X1",4,100°C ,No,Yes,Yes,64-bit,,,,,Yes
Intel® Pentium® Processor J Series,Desktop,J2900,Launched,Q4'13,22 nm,$94.00 ,4,4,2.41 GHz,,2 MB L2,,10 W,No,Yes,8 GB,DDR3L 1333,2,21.3 GB/s,No,,688 MHz,896 MHz,,,,,,,11.2,,2,"X4, X2, X1",4,  105°C ,No,Yes,Yes,64-bit,,Yes,,,Yes
Intel® Pentium® Processor J Series,Desktop,J3710,Launched,Q1'16,14 nm,N/A,4,4,1.60 GHz,,2 MB L2,,6.5 W,No,Yes,8 GB,DDR3L-1600,2,,No,,400 MHz,,8 GB,eDP/DP/HDMI,,,,,Yes,,2,1x4/2x2/1x2 + 2x1/4x1,4,90°C ,No,Yes,Yes,64-bit,,,Yes,Yes,Yes
Intel® Pentium® Processor J Series,Desktop,J4205,Launched,,14 nm,$161.00 ,4,4,1.50 GHz,,2 MB,,10 W,No,Yes,8 GB,DDR3L/LPDDR3 up to 1866 MT/s; LPDDR4 up to 2400 MT/s,2,,No,,250 MHz,,8 GB,eDP/DP/HDMI/MIPI-DSI,,,,,Yes,,2,1x4 + 1x2 or 4x1 or 2x1+1x2 + 1x2,6,105,No,Yes,Yes,64-bit,,Yes,Yes,Yes,Yes
Intel® Pentium® Processor N Series,Mobile,N3700,Launched,Q1'15,14 nm,$161.00 ,4,4,1.60 GHz,,2 MB L2,,6 W,No,Yes,8 GB,DDR3L-1600,2,,No,,400 MHz,,8 GB,eDP/DP/HDMI,,,,,Yes,,2,1x4/2x2/1x2 + 2x1/4x1,4,90°C ,No,Yes,Yes,64-bit,,Yes,Yes,Yes,Yes
Intel® Pentium® Processor N Series,Mobile,N3510,Launched,Q3'13,22 nm,N/A,4,4,2.00 GHz,,2 MB,,7.5 W,No,Yes,8 GB,DDR3L 1333,2,,,,313 MHz,750 MHz,,,,,,,,,2,1x4,4,100°C,No,Yes,Yes,64-bit,,Yes,,Yes,Yes
Intel® Pentium® Processor N Series,Mobile,N3520,Launched,Q4'13,22 nm,$161.00 ,4,4,2.17 GHz,,2 MB,,7.5 W,No,Yes,8 GB,DDR3L 1333,2,,,,313 MHz,854 MHz,,,,,,,,,2,,4,105°C,No,Yes,Yes,64-bit,,Yes,,Yes,Yes
Intel® Pentium® Processor N Series,Mobile,N3530,Launched,Q1'14,22 nm,$161.00 ,4,4,2.16 GHz,,2 MB,,7.5 W,No,Yes,8 GB,DDR3L 1333,2,,,,313 MHz,896 MHz,,,,,,,,,2,1x4,4,100°C,No,Yes,Yes,64-bit,,Yes,,Yes,Yes
Intel® Pentium® Processor N Series,Mobile,N3540,Launched,Q3'14,22 nm,$161.00 ,4,4,2.16 GHz,,2 MB L2,,7.5 W,No,Yes,8 GB,DDR3L 1333,2,21.32 GB/s,No,,313 MHz,896 MHz,,,,,,,11.2,,2,1x4,4,100°C,No,Yes,Yes,64-bit,,Yes,,Yes,Yes
Intel® Pentium® Processor N Series,Mobile,N4200,Launched,Q3'16,14 nm,$161.00 ,4,4,1.10 GHz,,2 MB L2,,6 W,Yes,Yes,8 GB,"DDR3L/LPDDR3 up to 1866 MT/s; ,LPDDR4 up to 2400 MT/s",2,,No,,200 MHz,,8 GB,eDP/DP/HDMI/MIPI-DSI,,,,,Yes,,2,1x4 + 1x2 or 4x1 or 2x1+1x2 + 1x2,6,105°C,No,Yes,Yes,64-bit,,Yes,Yes,Yes,Yes
Intel® Pentium® Processor 4000 Series,Mobile,4405Y,Launched,Q3'15,14 nm,$161.00 ,2,4,1.50 GHz,,2 MB SmartCache,4 GT/s OPI,6 W,No,Yes,16 GB,"LPDDR3-1866, DDR3L-1600",2,29.8 GB/s,No,,300 MHz,800 MHz,16 GB,eDP/DP/HDMI/DVI,,4096x2304@24Hz ,3840x2160@60Hz,3840x2160@60Hz,12,,3,"1x4, 2x2, 1x2+2x1 and 4x1",10,100°C,Yes,Yes,Yes,64-bit,SSE4.1/4.2,Yes,Yes,Yes,Yes
Intel® Pentium® Processor 4000 Series,Mobile,4415Y,Launched,Q2'17,14 nm,$161.00 ,2,4,1.60 GHz,,2 MB SmartCache,4 GT/s OPI,6 W,No,Yes,16 GB,"LPDDR3-1866, DDR3L-1600",2,29.8 GB/s,No,,300 MHz,850 MHz,16 GB,eDP/DP/HDMI/DVI,,4096x2304@24Hz,4096x2304@60Hz,4096x2304@60Hz,12,,3,"1x4, 2x2, 1x2+2x1 and 4x1",10,100°C,Yes,Yes,Yes,64-bit,SSE4.1/4.2,Yes,Yes,Yes,Yes
Intel® Pentium® Processor 4000 Series,Mobile,4410Y,Launched,Q1'17,14 nm,$161.00 ,2,4,1.50 GHz,,2 MB SmartCache,4 GT/s OPI,6 W,No,Yes,16 GB,"LPDDR3-1866, DDR3L-1600",2,29.8 GB/s,No,,300 MHz,850 MHz,16 GB,eDP/DP/HDMI/DVI,,4096x2304@24Hz,4096x2304@60Hz,4096x2304@60Hz,12,,3,"1x4, 2x2, 1x2+2x1 and 4x1",10,100°C,Yes,Yes,Yes,64-bit,SSE4.1/4.2,Yes,Yes,Yes,Yes
Intel® Pentium® Processor 4000 Series,Mobile,4415U,Launched,Q1'17,14 nm,$161.00 ,2,4,2.30 GHz,,2 MB SmartCache,4 GT/s OPI,15 W,No,Yes,32 GB,"DDR4-2133, LPDDR3-1866, DDR3L-1600",2,34.1 GB/s,No,,300 MHz,950 MHz,32 GB,eDP/DP/HDMI/DVI,,4096x2304@24Hz,4096x2304@60Hz,4096x2304@60Hz,12,,2,"1x4, 2x2, 1x2+2x1 and 4x1",10,100°C,Yes,Yes,Yes,64-bit,SSE4.1/4.2,Yes,Yes,Yes,Yes
Intel® Pentium® Processor 3000 Series,Mobile,3805U,Launched,Q1'15,14 nm,$161.00 ,2,2,1.90 GHz,,2 MB,5 GT/s DMI2,15 W,No,Yes,16 GB,DDR3L 1333/1600 LPDDR3 1333/1600,2,25.6 GB/s,,,100 MHz,800 MHz,,eDP/DP/HDMI,,,,,11.2/12,,2,4x1 2x4,12,105°C,No,Yes,Yes,64-bit,SSE4.1/4.2,Yes,Yes,Yes,Yes
Intel® Pentium® Processor 3000 Series,Mobile,3561Y,Launched,Q4'13,22 nm,$161.00 ,2,2,1.20 GHz,,2 MB SmartCache,5 GT/s DMI2,11.5 W,No,Yes,16 GB,"DDR3L 1333/1600, LPDDR3 1333/1600",2,25.6 GB/s,No,,200 MHz,850 MHz,,eDP/DP/HDMI,,,,,,,2,"4x1, 2x4",12,100°C,No,Yes,Yes,64-bit,SSE4.1/4.2,Yes,Yes,Yes,Yes
Intel® Pentium® Processor 3000 Series,Mobile,3560M,Launched,Q2'14,22 nm,$134.00 ,2,2,2.40 GHz,,2 MB,5 GT/s DMI2,37 W,No,Yes,32 GB,DDR3L 1333/1600,2,25.6 GB/s,No,,400 MHz,1.10 GHz,,eDP/DP/HDMI/VGA ,,,,,,,2,1x16 or 2x8 or 1x8 2x4,16,100°C,No,Yes,Yes,64-bit,SSE4.1/4.2,,Yes,Yes,Yes
Intel® Pentium® Processor 3000 Series,Mobile,3560Y,Launched,Q3'13,22 nm,N/A,2,2,1.20 GHz,,2 MB SmartCache,5 GT/s DMI2,11.5 W,No,Yes,16 GB,"DDR3L 1333/1600, LPDDR3 1333/1600",2,25.6 GB/s,No,,200 MHz,850 MHz,,eDP/DP/HDMI,,,,,,,2,"4x1, 2x4",12,100°C,No,Yes,Yes,64-bit,SSE4.1/4.2,Yes,Yes,Yes,Yes
Intel® Pentium® Processor 3000 Series,Mobile,3558U,Launched,Q4'13,22 nm,$161.00 ,2,2,1.70 GHz,,2 MB SmartCache,5 GT/s DMI2,15 W,No,Yes,16 GB,"DDR3L 1333/1600, LPDDR3 1333/1600",2,25.6 GB/s,No,,200 MHz,1.00 GHz,,eDP/DP/HDMI,,,,,,,2,"4x1, 1x4, 1x2",10,100°C,No,Yes,Yes,64-bit,SSE4.1/4.2,Yes,Yes,Yes,Yes
Intel® Pentium® Processor 3000 Series,Mobile,3556U,Launched,Q3'13,22 nm,N/A,2,2,1.70 GHz,,2 MB SmartCache,5 GT/s DMI2,15 W,No,Yes,16 GB,"DDR3L 1333/1600, LPDDR3 1333/1600",2,25.6 GB/s,No,,200 MHz,1.00 GHz,,eDP/DP/HDMI,,,,,,,2,"4x1, 1x4, 1x2",10,100°C,No,Yes,Yes,64-bit,SSE4.1/4.2,Yes,Yes,Yes,Yes
Intel® Pentium® Processor 3000 Series,Mobile,3550M,Launched,Q4'13,22 nm,$134.00 ,2,2,2.30 GHz,,2 MB SmartCache,5 GT/s DMI2,37 W,No,Yes,32 GB,DDR3L 1333/1600,2,25.6 GB/s,No,,400 MHz,1.10 GHz,,eDP/DP/HDMI/VGA ,,,,,,,2,1x16 or 2x8 or 1x8 2x4,16,100°C,No,Yes,Yes,64-bit,SSE4.1/4.2,,Yes,Yes,Yes
Intel® Pentium® Processor 2000 Series,Mobile,2117U,Launched,Q3'12,22 nm,$134.00 ,2,2,1.80 GHz,,2 MB SmartCache,5 GT/s DMI,17 W,No,Yes,32 GB,DDR3/L/-RS 1333/1600,2,25.6 GB/s,No,,350 MHz,1.00 GHz,,eDP/DP/HDMI/SDVO/CRT,,,,,,,2,"1x16, 2x8, 1x8 2x4",1,105 C,No,Yes,Yes,64-bit,SSE4.x,Yes,Yes,,Yes
Intel® Pentium® Processor 2000 Series,Mobile,2030M,Launched,Q1'13,22 nm,$134.00 ,2,2,2.50 GHz,,2 MB SmartCache,5 GT/s DMI,35 W,No,Yes,32 GB,DDR3/L/-RS 1333/1600,2,25.6 GB/s,No,,650 MHz,1.10 GHz,,eDP/DP/HDMI/SDVO/CRT,,,,,,,2,"1x16, 2x8, 1x8 2x4",1,90 C,No,Yes,Yes,64-bit,SSE4.x,Yes,Yes,,Yes
Intel® Pentium® Processor 2000 Series,Mobile,2127U,Launched,Q3'13,22 nm,$134.00 ,2,2,1.90 GHz,,2 MB SmartCache,5 GT/s DMI,17 W,No,Yes,32 GB,"DDR3/L/-RS 1333/1600	",2,25.6 GB/s,No,,350 MHz,1.10 GHz,,eDP/DP/HDMI/SDVO/CRT,,,,,,,2,"1x16, 2x8, 1x8 2x4",1,105 C,No,Yes,Yes,64-bit,SSE4.x,Yes,Yes,,Yes
Intel® Pentium® Processor 2000 Series,Mobile,2129Y,Launched,Q1'13,22 nm,N/A,2,2,1.10 GHz,,2 MB SmartCache,5 GT/s DMI,10 W,No,Yes,32 GB,DDR3/L/-RS 1333/1600,2,25.6 GB/s,No,,350 MHz,850 MHz,,eDP/DP/HDMI/SDVO/CRT,,,,,,,,,,105 C,No,Yes,Yes,64-bit,SSE4.x,Yes,Yes,,Yes
Legacy Intel® Pentium® Processor,Mobile,753,End of Interactive Support,,90 nm,N/A,1,,1.20 GHz,,2 MB L2,400 MHz FSB,5.5 W,No,,,,,,No,,,,,,,,,,,,,,,100°C,No,No,No,32-bit,,No,,,Yes
Legacy Intel® Pentium® Processor,Mobile,733,End of Interactive Support,,90 nm,N/A,1,,1.10 GHz,,2 MB L2,400 MHz FSB,5 W,No,,,,,,No,,,,,,,,,,,,,,,100°C,No,No,No,32-bit,,No,,,Yes
Legacy Intel® Pentium® Processor,Mobile,723,End of Interactive Support,,90 nm,N/A,1,,1.00 GHz,,2 MB L2,400 MHz FSB,5 W,No,,,,,,No,,,,,,,,,,,,,,,100°C,No,No,No,32-bit,,No,,,No
Legacy Intel® Pentium® Processor,Mobile,713,End of Interactive Support,,130 nm,N/A,1,,1.10 GHz,,1 MB L2,400 MHz FSB,7 W,No,,,,,,No,,,,,,,,,,,,,,,100°C,No,No,No,32-bit,,No,,,No
Legacy Intel® Pentium® Processor,Mobile,778,End of Interactive Support,,90 nm,N/A,1,,1.60 GHz,,2 MB L2,400 MHz FSB,7.5 W,No,,,,,,No,,,,,,,,,,,,,,,100°C,No,No,No,32-bit,,No,,,Yes
Legacy Intel® Pentium® Processor,Mobile,738,End of Interactive Support,Q2'04,90 nm,N/A,1,,1.40 GHz,,2 MB L2,400 MHz FSB,7.5 W,Yes,,,,,,No,,,,,,,,,,,,,,,100°C,No,No,No,32-bit,,No,,,Yes
Legacy Intel® Pentium® Processor,Mobile,758,End of Interactive Support,,90 nm,N/A,1,,1.50 GHz,,2 MB L2,400 MHz FSB,7.5 W,No,,,,,,No,,,,,,,,,,,,,,,100°C,No,No,No,32-bit,,No,,,Yes
Legacy Intel® Pentium® Processor,Desktop,571,End of Interactive Support,Q3'05,90 nm,N/A,1,,3.80 GHz,,1 MB L2,800 MHz FSB,115 W,No,,,,,,,,,,,,,,,,,,,,,72.8°C,Yes,No,Yes,64-bit,,Yes,Yes,,Yes
Legacy Intel® Pentium® Processor,Mobile,,End of Interactive Support,,,N/A,1,,800 MHz,,512 KB L2,100 MHz FSB,5.9 W,Yes,,,,,,,,,,,,,,,,,,,,,100°C,,No,,32-bit,,,,,
Legacy Intel® Pentium® Processor,Mobile,718,End of Interactive Support,,130 nm,N/A,1,,1.30 GHz,,1 MB L2,400 MHz FSB,12 W,No,,,,,,No,,,,,,,,,,,,,,,100°C,No,No,No,32-bit,,No,,,No
Legacy Intel® Pentium® Processor,Desktop,570,End of Interactive Support,Q4'04,90 nm,N/A,1,,3.80 GHz,,1 MB L2,800 MHz FSB,115 W,No,,,,,,,,,,,,,,,,,,,,,72.8°C,Yes,No,No,32-bit,,Yes,Yes,,Yes
Legacy Intel® Pentium® Processor,Mobile,,End of Interactive Support,,,N/A,1,,750 MHz,,512 KB L2,100 MHz FSB,24.6 W,Yes,,,,,,,,,,,,,,,,,,,,,100°C,,No,,32-bit,,,,,
Legacy Intel® Pentium® Processor,Mobile,780,End of Interactive Support,,90 nm,N/A,1,,2.26 GHz,,2 MB L2,533 MHz FSB,27 W,No,,,,,,No,,,,,,,,,,,,,,,100°C,No,No,No,32-bit,,No,,,Yes
Legacy Intel® Pentium® Processor,Desktop,561,End of Interactive Support,Q3'05,90 nm,N/A,1,,3.60 GHz,,1 MB L2,800 MHz FSB,115 W,No,,,,,,,,,,,,,,,,,,,,,72.8°C,Yes,No,Yes,64-bit,,Yes,Yes,,Yes
Legacy Intel® Pentium® Processor,Mobile,,End of Interactive Support,,,N/A,1,,700 MHz,,512 KB L2,100 MHz FSB,7 W,Yes,,,,,,,,,,,,,,,,,,,,,100°C,,No,,32-bit,,,,,
Legacy Intel® Pentium® Processor,Server,,End of Interactive Support,Q4'01,130 nm,N/A,1,,800 MHz,,512 KB L2,133 MHz FSB,10.63 W,Yes,,,,,,,,,,,,,,,,,,,,,100°C,,No,,32-bit,,,,,
Legacy Intel® Pentium® Processor,Mobile,770,End of Interactive Support,,90 nm,N/A,1,,2.13 GHz,,2 MB L2,533 MHz FSB,27 W,No,,,,,,No,,,,,,,,,,,,,,,100°C,No,No,No,32-bit,,No,,,Yes
Legacy Intel® Pentium® Processor,Desktop,560J,End of Interactive Support,,90 nm,N/A,1,,3.60 GHz,,1 MB L2,800 MHz FSB,115 W,Yes,,,,,,,,,,,,,,,,,,,,,72.8°C,Yes,No,,32-bit,,Yes,Yes,,Yes
Legacy Intel® Pentium® Processor,Mobile,,End of Interactive Support,,,N/A,1,,400 MHz,,256 KB L2,100 MHz FSB,10.1 W,Yes,,,,,,,,,,,,,,,,,,,,,100°C,,No,,32-bit,,,,,
Legacy Intel® Pentium® Processor,Server,,End of Interactive Support,Q4'01,130 nm,N/A,1,,933 MHz,,512 KB L2,133 MHz FSB,11.61 W,Yes,,,,,,,,,,,,,,,,,,,,,100°C,,No,,32-bit,,,,,
Legacy Intel® Pentium® Processor,Mobile,765,End of Interactive Support,,90 nm,N/A,1,,2.10 GHz,,2 MB L2,400 MHz FSB,7.5 W,No,,,,,,No,,,,,,,,,,,,,,,100°C,No,No,No,32-bit,,No,,,Yes
Legacy Intel® Pentium® Processor,Desktop,560,End of Interactive Support,,90 nm,N/A,1,,3.60 GHz,,1 MB L2,800 MHz FSB,115 W,No,,,,,,,,,,,,,,,,,,,,,72.8°C,Yes,No,No,32-bit,,No,Yes,,No
Legacy Intel® Pentium® Processor,Mobile,760,End of Interactive Support,Q2'04,90 nm,N/A,1,,2.00 GHz,,2 MB L2,533 MHz FSB,27 W,Yes,,,,,,No,,,,,,,,,,,,,,,100°C,No,No,No,32-bit,,No,,,Yes
Legacy Intel® Pentium® Processor,Server,,End of Interactive Support,,130 nm,N/A,1,,1.13 GHz,,512 KB L2,133 MHz FSB,28.7 W,Yes,,,,,,,,,,,,,,,,,,,,,69°C,,No,,32-bit,,,,,
Legacy Intel® Pentium® Processor,Desktop,,End of Interactive Support,,90 nm,N/A,1,,4.00 GHz,,2 MB,1066 MHz FSB,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Legacy Intel® Pentium® Processor,Desktop,551,End of Interactive Support,Q2'05,90 nm,N/A,1,,3.40 GHz,,1 MB L2,800 MHz FSB,84 W,Yes,,,,,,,,,,,,,,,,,,,,,67.7°C,Yes,No,Yes,64-bit,,Yes,,,Yes
Legacy Intel® Pentium® Processor,Desktop,,End of Interactive Support,,130 nm,N/A,1,,2.80 GHz,,512 KB L2,400 MHz FSB,68.4 W,Yes,,,,,,,,,,,,,,,,,,,,,75°C,,No,,32-bit,,,,,
Legacy Intel® Pentium® Processor,Mobile,755,End of Interactive Support,,90 nm,N/A,1,,2.00 GHz,,2 MB L2,400 MHz FSB,7.5 W,No,,,,,,No,,,,,,,,,,,,,,,100°C,No,No,No,32-bit,,No,,,No
Legacy Intel® Pentium® Processor,Server,,End of Interactive Support,Q4'01,130 nm,N/A,1,,1.26 GHz,,512 KB L2,133 MHz FSB,30.4 W,Yes,,,,,,,,,,,,,,,,,,,,,69°C,,No,,32-bit,,,,,
Legacy Intel® Pentium® Processor,Desktop,550,End of Interactive Support,Q4'04,90 nm,N/A,1,,3.40 GHz,,1 MB L2,800 MHz FSB,84 W,Yes,,,,,,,,,,,,,,,,,,,,,67.7°C,Yes,No,,32-bit,,Yes,,,Yes
Legacy Intel® Pentium® Processor,Desktop,,End of Interactive Support,Q1'02,130 nm,N/A,1,,2.60 GHz,,512 KB L2,400 MHz FSB,62.6 W,Yes,,,,,,,,,,,,,,,,,,,,,70°C,No,No,No,32-bit,,No,,,No
Legacy Intel® Pentium® Processor,Desktop,550J,End of Interactive Support,,90 nm,N/A,1,,3.40 GHz,,1 MB L2,800 MHz FSB,84 W,No,,,,,,,,,,,,,,,,,,,,,67.7°C,Yes,No,,32-bit,,Yes,,,Yes
Legacy Intel® Pentium® Processor,Mobile,750,End of Interactive Support,,90 nm,N/A,1,,1.86 GHz,,2 MB L2,533 MHz FSB,27 W,No,,,,,,No,,,,,,,,,,,,,,,100°C,No,No,No,32-bit,,No,,,Yes
