"","term","loan_status","Date","home_ownership"
"154"," 36 months","Charged Off","12/1/2011","RENT"
"155"," 36 months","Fully Paid","12/1/2011","RENT"
"156"," 36 months","Fully Paid","12/1/2011","RENT"
"157"," 60 months","Current","12/1/2011","RENT"
"158"," 36 months","Fully Paid","12/1/2011","RENT"
"159"," 36 months","Fully Paid","12/1/2011","OWN"
"160"," 36 months","Charged Off","12/1/2011","RENT"
"161"," 36 months","Fully Paid","12/1/2011","RENT"
"162"," 36 months","Fully Paid","12/1/2011","RENT"
"163"," 36 months","Charged Off","12/1/2011","RENT"
"164"," 36 months","Fully Paid","12/1/2011","RENT"
"165"," 36 months","Fully Paid","12/1/2011","RENT"
"166"," 60 months","Fully Paid","12/1/2011","RENT"
"167"," 36 months","Fully Paid","12/1/2011","RENT"
"168"," 60 months","Charged Off","12/1/2011","RENT"
"169"," 36 months","Fully Paid","12/1/2011","RENT"
"170"," 36 months","Fully Paid","12/1/2011","RENT"
"171"," 36 months","Fully Paid","12/1/2011","RENT"
"172"," 36 months","Fully Paid","12/1/2011","RENT"
"173"," 36 months","Fully Paid","12/1/2011","RENT"
"174"," 36 months","Fully Paid","12/1/2011","RENT"
"175"," 60 months","Fully Paid","12/1/2011","RENT"
"176"," 36 months","Charged Off","12/1/2011","RENT"
"177"," 36 months","Fully Paid","12/1/2011","OWN"
"178"," 36 months","Fully Paid","12/1/2011","RENT"
"179"," 36 months","Charged Off","12/1/2011","RENT"
"180"," 36 months","Fully Paid","12/1/2011","RENT"
"181"," 60 months","Fully Paid","12/1/2011","OWN"
"182"," 36 months","Fully Paid","12/1/2011","OWN"
"183"," 36 months","Fully Paid","12/1/2011","RENT"
"184"," 36 months","Fully Paid","12/1/2011","RENT"
"185"," 36 months","Charged Off","12/1/2011","RENT"
"186"," 36 months","Fully Paid","12/1/2011","RENT"
"187"," 36 months","Fully Paid","12/1/2011","RENT"
"188"," 60 months","Charged Off","12/1/2011","RENT"
"189"," 36 months","Fully Paid","12/1/2011","RENT"
"190"," 36 months","Fully Paid","12/1/2011","RENT"
"191"," 60 months","Charged Off","12/1/2011","RENT"
"192"," 36 months","Fully Paid","12/1/2011","RENT"
"193"," 36 months","Fully Paid","12/1/2011","RENT"
"194"," 36 months","Fully Paid","12/1/2011","RENT"
"195"," 36 months","Charged Off","12/1/2011","OWN"
"196"," 36 months","Fully Paid","12/1/2011","RENT"
"197"," 36 months","Fully Paid","12/1/2011","RENT"
"198"," 36 months","Fully Paid","12/1/2011","RENT"
"199"," 36 months","Fully Paid","12/1/2011","RENT"
"200"," 36 months","Fully Paid","12/1/2011","RENT"
"201"," 36 months","Fully Paid","12/1/2011","OWN"
"202"," 36 months","Fully Paid","12/1/2011","RENT"
"203"," 36 months","Fully Paid","12/1/2011","RENT"
"204"," 36 months","Fully Paid","12/1/2011","RENT"
"205"," 36 months","Fully Paid","12/1/2011","RENT"
"206"," 36 months","Fully Paid","12/1/2011","RENT"
"207"," 36 months","Fully Paid","12/1/2011","RENT"
"208"," 36 months","Fully Paid","12/1/2011","RENT"
"209"," 36 months","Charged Off","12/1/2011","RENT"
"210"," 60 months","Charged Off","12/1/2011","RENT"
"211"," 60 months","Charged Off","12/1/2011","OWN"
"212"," 36 months","Fully Paid","12/1/2011","OWN"
"213"," 36 months","Fully Paid","12/1/2011","RENT"
"214"," 60 months","Charged Off","12/1/2011","OWN"
"215"," 36 months","Fully Paid","12/1/2011","RENT"
"216"," 60 months","Fully Paid","12/1/2011","RENT"
"217"," 36 months","Fully Paid","12/1/2011","RENT"
"218"," 36 months","Fully Paid","12/1/2011","RENT"
"219"," 36 months","Fully Paid","12/1/2011","RENT"
"220"," 36 months","Fully Paid","12/1/2011","RENT"
"221"," 36 months","Fully Paid","12/1/2011","RENT"
"222"," 36 months","Fully Paid","12/1/2011","RENT"
"223"," 60 months","Charged Off","12/1/2011","RENT"
"224"," 60 months","Charged Off","12/1/2011","RENT"
"225"," 36 months","Fully Paid","12/1/2011","RENT"
"226"," 36 months","Fully Paid","12/1/2011","RENT"
"227"," 60 months","Charged Off","12/1/2011","OWN"
"228"," 36 months","Fully Paid","12/1/2011","RENT"
"229"," 36 months","Fully Paid","12/1/2011","RENT"
"230"," 36 months","Fully Paid","12/1/2011","RENT"
"231"," 36 months","Charged Off","12/1/2011","RENT"
"232"," 36 months","Fully Paid","12/1/2011","RENT"
"233"," 60 months","Current","12/1/2011","RENT"
"234"," 60 months","Current","12/1/2011","RENT"
"235"," 36 months","Charged Off","12/1/2011","RENT"
"236"," 36 months","Fully Paid","12/1/2011","RENT"
"237"," 36 months","Fully Paid","12/1/2011","OWN"
"238"," 36 months","Fully Paid","12/1/2011","RENT"
"239"," 60 months","Current","12/1/2011","RENT"
"240"," 60 months","Current","12/1/2011","OWN"
"241"," 36 months","Charged Off","12/1/2011","RENT"
"242"," 36 months","Fully Paid","12/1/2011","RENT"
"243"," 36 months","Charged Off","12/1/2011","RENT"
"244"," 36 months","Charged Off","12/1/2011","RENT"
"245"," 36 months","Fully Paid","12/1/2011","RENT"
"246"," 36 months","Fully Paid","12/1/2011","RENT"
"247"," 60 months","Fully Paid","12/1/2011","OWN"
"248"," 36 months","Fully Paid","12/1/2011","RENT"
"249"," 36 months","Fully Paid","12/1/2011","OWN"
"250"," 36 months","Charged Off","12/1/2011","RENT"
"251"," 36 months","Fully Paid","12/1/2011","RENT"
"252"," 36 months","Fully Paid","12/1/2011","RENT"
"253"," 60 months","Current","12/1/2011","RENT"
"254"," 60 months","Charged Off","12/1/2011","RENT"
"255"," 36 months","Fully Paid","12/1/2011","OWN"
"256"," 36 months","Fully Paid","12/1/2011","RENT"
"257"," 36 months","Fully Paid","12/1/2011","RENT"
"258"," 60 months","Current","12/1/2011","RENT"
"259"," 36 months","Fully Paid","12/1/2011","RENT"
"260"," 36 months","Fully Paid","12/1/2011","OWN"
"261"," 36 months","Fully Paid","12/1/2011","RENT"
"262"," 36 months","Fully Paid","12/1/2011","RENT"
"263"," 36 months","Fully Paid","12/1/2011","RENT"
"264"," 36 months","Fully Paid","12/1/2011","RENT"
"265"," 36 months","Fully Paid","12/1/2011","RENT"
"266"," 36 months","Charged Off","12/1/2011","RENT"
"267"," 36 months","Fully Paid","12/1/2011","OWN"
"268"," 36 months","Fully Paid","12/1/2011","RENT"
"269"," 60 months","Charged Off","12/1/2011","OWN"
"270"," 36 months","Charged Off","12/1/2011","RENT"
"271"," 36 months","Fully Paid","12/1/2011","RENT"
"272"," 36 months","Fully Paid","12/1/2011","RENT"
"273"," 36 months","Fully Paid","12/1/2011","RENT"
"274"," 36 months","Fully Paid","12/1/2011","RENT"
"275"," 36 months","Fully Paid","12/1/2011","RENT"
"276"," 60 months","Charged Off","12/1/2011","RENT"
"277"," 36 months","Fully Paid","12/1/2011","RENT"
"278"," 36 months","Fully Paid","12/1/2011","RENT"
"279"," 36 months","Fully Paid","12/1/2011","RENT"
"280"," 36 months","Fully Paid","12/1/2011","RENT"
"281"," 36 months","Fully Paid","12/1/2011","RENT"
"282"," 36 months","Fully Paid","12/1/2011","RENT"
"283"," 36 months","Fully Paid","12/1/2011","RENT"
"284"," 36 months","Fully Paid","12/1/2011","RENT"
"285"," 36 months","Fully Paid","12/1/2011","RENT"
"286"," 36 months","Fully Paid","12/1/2011","OWN"
"287"," 36 months","Fully Paid","12/1/2011","RENT"
"288"," 36 months","Charged Off","12/1/2011","RENT"
"289"," 36 months","Fully Paid","12/1/2011","RENT"
"290"," 60 months","Charged Off","12/1/2011","RENT"
"291"," 36 months","Fully Paid","12/1/2011","RENT"
"292"," 36 months","Fully Paid","12/1/2011","RENT"
"293"," 36 months","Charged Off","12/1/2011","RENT"
"294"," 36 months","Fully Paid","12/1/2011","RENT"
"295"," 36 months","Charged Off","12/1/2011","RENT"
"296"," 60 months","Fully Paid","12/1/2011","RENT"
"297"," 60 months","Current","12/1/2011","RENT"
"298"," 36 months","Fully Paid","12/1/2011","RENT"
"299"," 60 months","Charged Off","12/1/2011","RENT"
"300"," 60 months","Charged Off","12/1/2011","RENT"
"301"," 60 months","Current","12/1/2011","RENT"
"302"," 36 months","Fully Paid","12/1/2011","RENT"
"303"," 36 months","Fully Paid","12/1/2011","RENT"
"304"," 36 months","Fully Paid","12/1/2011","RENT"
"305"," 36 months","Fully Paid","12/1/2011","RENT"
"306"," 60 months","Fully Paid","12/1/2011","RENT"
"307"," 36 months","Fully Paid","12/1/2011","RENT"
"308"," 36 months","Fully Paid","12/1/2011","OWN"
"309"," 36 months","Fully Paid","12/1/2011","RENT"
"310"," 36 months","Charged Off","12/1/2011","RENT"
"311"," 36 months","Fully Paid","12/1/2011","OWN"
"312"," 36 months","Fully Paid","12/1/2011","RENT"
"313"," 60 months","Charged Off","12/1/2011","RENT"
"314"," 36 months","Charged Off","12/1/2011","RENT"
"315"," 36 months","Fully Paid","12/1/2011","RENT"
"316"," 36 months","Fully Paid","12/1/2011","RENT"
"317"," 36 months","Fully Paid","12/1/2011","RENT"
"318"," 36 months","Fully Paid","12/1/2011","RENT"
"319"," 60 months","Fully Paid","12/1/2011","RENT"
"320"," 36 months","Charged Off","12/1/2011","RENT"
"321"," 36 months","Fully Paid","12/1/2011","RENT"
"322"," 60 months","Fully Paid","12/1/2011","RENT"
"323"," 36 months","Charged Off","12/1/2011","RENT"
"324"," 36 months","Fully Paid","12/1/2011","RENT"
"325"," 36 months","Fully Paid","12/1/2011","RENT"
"326"," 36 months","Charged Off","12/1/2011","OWN"
"327"," 60 months","Current","12/1/2011","RENT"
"328"," 60 months","Current","12/1/2011","RENT"
"329"," 60 months","Charged Off","12/1/2011","RENT"
"330"," 36 months","Fully Paid","12/1/2011","RENT"
"331"," 60 months","Fully Paid","12/1/2011","RENT"
"332"," 36 months","Fully Paid","12/1/2011","OWN"
"333"," 60 months","Charged Off","12/1/2011","OWN"
"334"," 36 months","Fully Paid","12/1/2011","RENT"
"335"," 36 months","Fully Paid","12/1/2011","RENT"
"336"," 60 months","Fully Paid","12/1/2011","OWN"
"337"," 36 months","Fully Paid","12/1/2011","RENT"
"338"," 36 months","Fully Paid","12/1/2011","RENT"
"339"," 36 months","Fully Paid","12/1/2011","RENT"
"340"," 60 months","Charged Off","12/1/2011","RENT"
"341"," 36 months","Fully Paid","12/1/2011","RENT"
"342"," 36 months","Fully Paid","12/1/2011","RENT"
"343"," 60 months","Fully Paid","12/1/2011","RENT"
"344"," 36 months","Fully Paid","12/1/2011","RENT"
"345"," 36 months","Fully Paid","12/1/2011","RENT"
"346"," 36 months","Charged Off","12/1/2011","RENT"
"347"," 36 months","Fully Paid","12/1/2011","OWN"
"348"," 36 months","Fully Paid","12/1/2011","RENT"
"349"," 36 months","Fully Paid","12/1/2011","RENT"
"350"," 60 months","Fully Paid","12/1/2011","RENT"
"351"," 36 months","Fully Paid","12/1/2011","RENT"
"352"," 60 months","Fully Paid","12/1/2011","OWN"
"353"," 36 months","Charged Off","12/1/2011","RENT"
"354"," 60 months","Fully Paid","12/1/2011","RENT"
"355"," 36 months","Fully Paid","12/1/2011","RENT"
"356"," 36 months","Charged Off","12/1/2011","RENT"
"357"," 36 months","Fully Paid","12/1/2011","OWN"
"358"," 36 months","Fully Paid","12/1/2011","RENT"
"359"," 60 months","Charged Off","12/1/2011","RENT"
"360"," 36 months","Fully Paid","12/1/2011","RENT"
"361"," 36 months","Fully Paid","12/1/2011","RENT"
"362"," 36 months","Charged Off","12/1/2011","RENT"
"363"," 60 months","Charged Off","12/1/2011","RENT"
"364"," 60 months","Current","12/1/2011","RENT"
"365"," 36 months","Charged Off","12/1/2011","RENT"
"366"," 60 months","Fully Paid","12/1/2011","OWN"
"367"," 36 months","Fully Paid","12/1/2011","RENT"
"368"," 60 months","Fully Paid","12/1/2011","RENT"
"369"," 60 months","Charged Off","12/1/2011","RENT"
"370"," 36 months","Charged Off","12/1/2011","RENT"
"371"," 36 months","Fully Paid","12/1/2011","RENT"
"372"," 36 months","Fully Paid","12/1/2011","RENT"
"373"," 60 months","Fully Paid","12/1/2011","RENT"
"374"," 36 months","Fully Paid","12/1/2011","RENT"
"375"," 36 months","Fully Paid","12/1/2011","RENT"
"376"," 36 months","Fully Paid","12/1/2011","RENT"
"377"," 36 months","Fully Paid","12/1/2011","RENT"
"378"," 36 months","Charged Off","12/1/2011","RENT"
"379"," 36 months","Fully Paid","12/1/2011","RENT"
"380"," 36 months","Fully Paid","12/1/2011","RENT"
"381"," 60 months","Current","12/1/2011","RENT"
"382"," 60 months","Current","12/1/2011","RENT"
"383"," 36 months","Fully Paid","12/1/2011","RENT"
"384"," 36 months","Fully Paid","12/1/2011","RENT"
"385"," 36 months","Fully Paid","12/1/2011","RENT"
"386"," 36 months","Fully Paid","12/1/2011","RENT"
"387"," 36 months","Fully Paid","12/1/2011","OWN"
"388"," 36 months","Charged Off","12/1/2011","OWN"
"389"," 36 months","Fully Paid","12/1/2011","RENT"
"390"," 36 months","Fully Paid","12/1/2011","RENT"
"391"," 36 months","Fully Paid","12/1/2011","RENT"
"392"," 36 months","Charged Off","12/1/2011","RENT"
"393"," 36 months","Fully Paid","12/1/2011","OWN"
"394"," 36 months","Fully Paid","12/1/2011","OWN"
"395"," 60 months","Charged Off","12/1/2011","RENT"
"396"," 36 months","Fully Paid","12/1/2011","RENT"
"397"," 36 months","Charged Off","12/1/2011","RENT"
"398"," 60 months","Fully Paid","12/1/2011","RENT"
"399"," 36 months","Charged Off","12/1/2011","RENT"
"400"," 36 months","Fully Paid","12/1/2011","RENT"
"401"," 60 months","Charged Off","12/1/2011","RENT"
"402"," 36 months","Fully Paid","12/1/2011","RENT"
"403"," 36 months","Fully Paid","12/1/2011","RENT"
"404"," 36 months","Fully Paid","12/1/2011","RENT"
"405"," 36 months","Fully Paid","12/1/2011","RENT"
"406"," 60 months","Fully Paid","12/1/2011","RENT"
"407"," 36 months","Fully Paid","12/1/2011","RENT"
"408"," 60 months","Current","12/1/2011","RENT"
"409"," 36 months","Charged Off","12/1/2011","RENT"
"410"," 60 months","Charged Off","12/1/2011","RENT"
"411"," 36 months","Fully Paid","12/1/2011","RENT"
"412"," 36 months","Charged Off","12/1/2011","RENT"
"413"," 60 months","Current","12/1/2011","RENT"
"414"," 36 months","Fully Paid","12/1/2011","RENT"
"415"," 36 months","Charged Off","12/1/2011","RENT"
"416"," 60 months","Current","12/1/2011","RENT"
"417"," 60 months","Charged Off","12/1/2011","RENT"
"418"," 36 months","Fully Paid","12/1/2011","RENT"
"419"," 60 months","Fully Paid","12/1/2011","RENT"
"420"," 36 months","Fully Paid","12/1/2011","RENT"
"421"," 60 months","Charged Off","12/1/2011","RENT"
"422"," 36 months","Fully Paid","12/1/2011","RENT"
"423"," 60 months","Current","12/1/2011","RENT"
"424"," 60 months","Charged Off","12/1/2011","RENT"
"425"," 36 months","Fully Paid","12/1/2011","RENT"
"426"," 36 months","Fully Paid","12/1/2011","RENT"
"427"," 36 months","Fully Paid","12/1/2011","RENT"
"428"," 60 months","Fully Paid","12/1/2011","RENT"
"429"," 36 months","Fully Paid","12/1/2011","RENT"
"430"," 36 months","Fully Paid","12/1/2011","RENT"
"431"," 36 months","Fully Paid","12/1/2011","RENT"
"432"," 36 months","Fully Paid","12/1/2011","RENT"
"433"," 36 months","Charged Off","12/1/2011","RENT"
"434"," 36 months","Fully Paid","12/1/2011","RENT"
"435"," 60 months","Fully Paid","12/1/2011","RENT"
"436"," 36 months","Fully Paid","12/1/2011","RENT"
"437"," 60 months","Current","12/1/2011","RENT"
"438"," 60 months","Fully Paid","12/1/2011","RENT"
"439"," 60 months","Fully Paid","12/1/2011","RENT"
"440"," 60 months","Current","12/1/2011","OWN"
"441"," 36 months","Fully Paid","12/1/2011","RENT"
"442"," 36 months","Fully Paid","12/1/2011","RENT"
"443"," 36 months","Fully Paid","12/1/2011","RENT"
"444"," 36 months","Fully Paid","12/1/2011","OWN"
"445"," 36 months","Fully Paid","12/1/2011","RENT"
"446"," 60 months","Fully Paid","12/1/2011","RENT"
"447"," 36 months","Fully Paid","12/1/2011","RENT"
"448"," 36 months","Fully Paid","12/1/2011","RENT"
"449"," 36 months","Fully Paid","12/1/2011","RENT"
"450"," 60 months","Fully Paid","12/1/2011","RENT"
"451"," 60 months","Fully Paid","12/1/2011","RENT"
"452"," 60 months","Fully Paid","12/1/2011","RENT"
"453"," 36 months","Fully Paid","12/1/2011","RENT"
"454"," 36 months","Fully Paid","12/1/2011","RENT"
"455"," 36 months","Fully Paid","12/1/2011","RENT"
"456"," 36 months","Fully Paid","12/1/2011","RENT"
"457"," 36 months","Fully Paid","12/1/2011","RENT"
"458"," 60 months","Current","12/1/2011","RENT"
"459"," 36 months","Fully Paid","12/1/2011","OWN"
"460"," 36 months","Fully Paid","12/1/2011","RENT"
"461"," 36 months","Fully Paid","12/1/2011","RENT"
"462"," 60 months","Current","12/1/2011","RENT"
"463"," 36 months","Fully Paid","12/1/2011","RENT"
"464"," 36 months","Fully Paid","12/1/2011","RENT"
"465"," 60 months","Fully Paid","12/1/2011","RENT"
"466"," 36 months","Fully Paid","12/1/2011","RENT"
"467"," 60 months","Charged Off","12/1/2011","RENT"
"468"," 36 months","Fully Paid","12/1/2011","RENT"
"469"," 36 months","Fully Paid","12/1/2011","RENT"
"470"," 36 months","Charged Off","12/1/2011","RENT"
"471"," 36 months","Charged Off","12/1/2011","RENT"
"472"," 36 months","Fully Paid","12/1/2011","RENT"
"473"," 60 months","Fully Paid","12/1/2011","RENT"
"474"," 36 months","Fully Paid","12/1/2011","RENT"
"475"," 36 months","Fully Paid","12/1/2011","RENT"
"476"," 36 months","Charged Off","12/1/2011","OWN"
"477"," 36 months","Fully Paid","12/1/2011","RENT"
"478"," 60 months","Current","12/1/2011","RENT"
"479"," 60 months","Fully Paid","12/1/2011","RENT"
"480"," 36 months","Fully Paid","12/1/2011","OWN"
"481"," 60 months","Fully Paid","12/1/2011","OWN"
"482"," 36 months","Fully Paid","12/1/2011","RENT"
"483"," 36 months","Fully Paid","12/1/2011","RENT"
"484"," 36 months","Fully Paid","12/1/2011","OWN"
"485"," 60 months","Current","12/1/2011","RENT"
"486"," 36 months","Fully Paid","12/1/2011","RENT"
"487"," 60 months","Current","12/1/2011","RENT"
"488"," 36 months","Fully Paid","12/1/2011","RENT"
"489"," 36 months","Fully Paid","12/1/2011","RENT"
"490"," 36 months","Fully Paid","12/1/2011","RENT"
"491"," 36 months","Fully Paid","12/1/2011","RENT"
"492"," 36 months","Fully Paid","12/1/2011","RENT"
"493"," 36 months","Fully Paid","12/1/2011","RENT"
"494"," 36 months","Fully Paid","12/1/2011","RENT"
"495"," 36 months","Charged Off","12/1/2011","RENT"
"496"," 36 months","Fully Paid","12/1/2011","RENT"
"497"," 36 months","Charged Off","12/1/2011","RENT"
"498"," 36 months","Fully Paid","12/1/2011","RENT"
"499"," 36 months","Charged Off","12/1/2011","RENT"
"500"," 36 months","Fully Paid","12/1/2011","RENT"
"501"," 60 months","Fully Paid","12/1/2011","RENT"
"502"," 60 months","Fully Paid","12/1/2011","RENT"
"503"," 36 months","Fully Paid","12/1/2011","RENT"
"504"," 36 months","Fully Paid","12/1/2011","RENT"
"505"," 60 months","Fully Paid","12/1/2011","RENT"
"506"," 36 months","Fully Paid","12/1/2011","RENT"
"507"," 36 months","Fully Paid","12/1/2011","RENT"
