" Cloud Service Provider"," Cloud Service Offering"," Type"," Service Model"," Leveraged A T O"," Authorization Date"," Announcement Date"," Agency"," Subagency"," Independent Assessor"," Package Id"
"Acumen, LLC","SkyShaper Technologies ",Agency,SaaS,No,,,Department of Health and Human Services,,"Coalfire Systems, Inc.",FR2212874638
Adobe,Adobe Acrobat Sign for Government,Agency,SaaS,No,03/09/2022,05/25/2022,Department of Energy,,"Coalfire Systems, Inc.",FR2108360349
Adobe,Adobe Acrobat Sign for Government,Agency,SaaS,Yes,,,Department of Agriculture,,,FR2108360349
Adobe,Adobe Acrobat Sign for Government,Agency,SaaS,Yes,,,Defense Nuclear Facilities Safety Board,,,FR2108360349
Adobe,Adobe Acrobat Sign for Government,Agency,SaaS,Yes,,,Federal Trade Commission,,,FR2108360349
Adobe,Adobe Acrobat Sign for Government,Agency,SaaS,Yes,,,Department of the Interior,,,FR2108360349
Adobe,Adobe Analytics,Agency,SaaS,No,12/31/2020,09/18/2019,Department of Health and Human Services,,"Coalfire Systems, Inc.",FR1832869359
Adobe,Adobe Analytics,Agency,SaaS,Yes,,,Department of Homeland Security,Immigration and Customs Enforcement,,FR1832869359
Adobe,Adobe Campaign,Agency,SaaS,No,06/27/2022,09/03/2019,Department of Health and Human Services,,"Coalfire Systems, Inc.",FR1907354404
Adobe,Adobe Connect Managed Services (ACMS-GC),JAB,SaaS,No,06/27/2019,06/27/2019,JAB Authorization,,"Coalfire Systems, Inc.",F1509037236
Adobe,Adobe Connect Managed Services (ACMS-GC),JAB,SaaS,Yes,,,Department of the Treasury,Office of the Comptroller of the Currency,,F1509037236
Adobe,Adobe Connect Managed Services (ACMS-GC),JAB,SaaS,Yes,,,Corporation for National & Community Service (CNCS),,,F1509037236
Adobe,Adobe Connect Managed Services (ACMS-GC),JAB,SaaS,Yes,,,Department of Veterans Affairs,,,F1509037236
Adobe,Adobe Creative Cloud for Enterprise,Agency,SaaS,No,05/13/2021,05/14/2018,United States Agency for Global Media,,"Coalfire Systems, Inc.",FR1820435960
Adobe,Adobe Creative Cloud for Enterprise,Agency,SaaS,Yes,,,Tennessee Valley Authority,,,FR1820435960
Adobe,Adobe Creative Cloud for Enterprise,Agency,SaaS,Yes,,,National Science Foundation,,,FR1820435960
Adobe,Adobe Creative Cloud for Enterprise,Agency,SaaS,Yes,,,Department of the Treasury,,,FR1820435960
Adobe,Adobe Creative Cloud for Enterprise,Agency,SaaS,Yes,,,Federal Trade Commission,,,FR1820435960
Adobe,Adobe Creative Cloud for Enterprise,Agency,SaaS,Yes,,,Federal Deposit Insurance Corporation,,,FR1820435960
Adobe,Adobe Creative Cloud for Enterprise,Agency,SaaS,Yes,,,Department of Agriculture,,,FR1820435960
Adobe,Adobe Creative Cloud for Enterprise,Agency,SaaS,Yes,,,Department of Education,,,FR1820435960
Adobe,Adobe Document Cloud (PDF Services & Adobe Sign),Agency,SaaS,No,05/13/2021,05/14/2018,United States Agency for Global Media,,"Coalfire Systems, Inc.",FR1820435961
Adobe,Adobe Document Cloud (PDF Services & Adobe Sign),Agency,SaaS,Yes,,,Tennessee Valley Authority,,,FR1820435961
Adobe,Adobe Document Cloud (PDF Services & Adobe Sign),Agency,SaaS,Yes,,,Nuclear Regulatory Commission,,,FR1820435961
Adobe,Adobe Document Cloud (PDF Services & Adobe Sign),Agency,SaaS,Yes,,,Department of Veterans Affairs,,,FR1820435961
Adobe,Adobe Document Cloud (PDF Services & Adobe Sign),Agency,SaaS,Yes,,,Social Security Administration,,,FR1820435961
Adobe,Adobe Document Cloud (PDF Services & Adobe Sign),Agency,SaaS,Yes,,,National Science Foundation,,,FR1820435961
Adobe,Adobe Document Cloud (PDF Services & Adobe Sign),Agency,SaaS,Yes,,,Department of Agriculture,,,FR1820435961
Adobe,Adobe Experience Manager Managed Services (AEMMS-GC),JAB,SaaS,No,06/27/2019,06/27/2019,JAB Authorization,,"Coalfire Systems, Inc.",F1509037239
Adobe,Adobe Experience Manager Managed Services (AEMMS-GC),JAB,SaaS,Yes,,,Federal Deposit Insurance Corporation,,,F1509037239
Adobe,Adobe Experience Manager Managed Services (AEMMS-GC),JAB,SaaS,Yes,,,Department of Commerce,United States Census Bureau,,F1509037239
Adobe,Adobe Experience Manager Managed Services (AEMMS-GC),JAB,SaaS,Yes,,,Department of Homeland Security,Immigration and Customs Enforcement,,F1509037239
Adobe,Adobe Experience Manager Managed Services (AEMMS-GC),JAB,SaaS,Yes,,,Department of Homeland Security,Transportation Security Administration,,F1509037239
Adobe,Adobe Experience Manager Managed Services (AEMMS-GC),JAB,SaaS,Yes,,,Department of Energy,,,F1509037239
Adobe,Adobe Experience Manager Managed Services (AEMMS-GC),JAB,SaaS,Yes,,,Department of the Interior,,,F1509037239
Adobe,Adobe Experience Manager Managed Services (AEMMS-GC),JAB,SaaS,Yes,,,Department of Agriculture,,,F1509037239
Adobe,Adobe Experience Manager Managed Services (AEMMS-GC),JAB,SaaS,Yes,,,Department of Veterans Affairs,,,F1509037239
Adobe,Adobe Learning Manager,Agency,SaaS,No,08/31/2022,10/11/2019,Department of Veterans Affairs,,"Coalfire Systems, Inc.",FR1832870021
Adobe,Adobe Learning Manager,Agency,SaaS,Yes,,,United States Agency for International Development,,,FR1832870021
AINS,eCase,Agency,"PaaS, SaaS",No,09/01/2020,02/21/2014,Department of Housing and Urban Development,,"Fortreum, LLC",AGENCYHUDSAAS
AINS,eCase,Agency,"PaaS, SaaS",Yes,,,Federal Trade Commission,,,AGENCYHUDSAAS
AINS,eCase,Agency,"PaaS, SaaS",Yes,,,Department of the Treasury,Office of the Comptroller of the Currency,,AGENCYHUDSAAS
AINS,eCase,Agency,"PaaS, SaaS",Yes,,,Department of Justice,Office of Justice Programs,,AGENCYHUDSAAS
AINS,eCase,Agency,"PaaS, SaaS",Yes,,,Department of Education,DoED Office of the Inspector General,,AGENCYHUDSAAS
AINS,eCase,Agency,"PaaS, SaaS",Yes,,,Consumer Financial Protection Bureau,,,AGENCYHUDSAAS
AINS,eCase,Agency,"PaaS, SaaS",Yes,,,Department of the Treasury,Internal Revenue Service,,AGENCYHUDSAAS
AINS,eCase,Agency,"PaaS, SaaS",Yes,,,Tennessee Valley Authority,,,AGENCYHUDSAAS
AINS,eCase,Agency,"PaaS, SaaS",Yes,,,Federal Housing Finance Agency,FHFA Office of the Inspector General,,AGENCYHUDSAAS
AINS,eCase,Agency,"PaaS, SaaS",Yes,,,Court Services and Offender Supervision Agency,,,AGENCYHUDSAAS
AINS,eCase,Agency,"PaaS, SaaS",Yes,,,United States Trade and Development Agency,,,AGENCYHUDSAAS
AINS,eCase,Agency,"PaaS, SaaS",Yes,,,Department of Labor,,,AGENCYHUDSAAS
AINS,eCase,Agency,"PaaS, SaaS",Yes,,,Department of Health and Human Services,Food and Drug Administration,,AGENCYHUDSAAS
AINS,eCase,Agency,"PaaS, SaaS",Yes,,,Peace Corps,,,AGENCYHUDSAAS
AINS,eCase,Agency,"PaaS, SaaS",Yes,,,Federal Reserve System,,,AGENCYHUDSAAS
AINS,eCase,Agency,"PaaS, SaaS",Yes,,,Department of Justice,Executive Office for United States Attourneys,,AGENCYHUDSAAS
AINS,eCase,Agency,"PaaS, SaaS",Yes,,,United States Equal Employment Opportunity Commission,,,AGENCYHUDSAAS
AINS,eCase,Agency,"PaaS, SaaS",Yes,,,Department of Agriculture,,,AGENCYHUDSAAS
AINS,eCase,Agency,"PaaS, SaaS",Yes,,,Federal Deposit Insurance Corporation,,,AGENCYHUDSAAS
AINS,eCase,Agency,"PaaS, SaaS",Yes,,,Department of Justice,United States Marshals Service,,AGENCYHUDSAAS
AINS,eCase,Agency,"PaaS, SaaS",Yes,,,U.S. International Development Finance Corporation,,,AGENCYHUDSAAS
AINS,eCase,Agency,"PaaS, SaaS",Yes,,,Nuclear Regulatory Commission,,,AGENCYHUDSAAS
AINS,eCase,Agency,"PaaS, SaaS",Yes,,,Department of State,State Office of the Inspector General,,AGENCYHUDSAAS
AINS,eCase,Agency,"PaaS, SaaS",Yes,,,Department of Commerce,United States Patent and Trademark Office,,AGENCYHUDSAAS
AINS,eCase,Agency,"PaaS, SaaS",Yes,,,United States Agency for International Development,,,AGENCYHUDSAAS
AINS,eCase,Agency,"PaaS, SaaS",Yes,,,Environmental Protection Agency,,,AGENCYHUDSAAS
AINS,eCase,Agency,"PaaS, SaaS",Yes,,,Department of Housing and Urban Development,HUD Office of the Inspector General,,AGENCYHUDSAAS
AINS,eCase,Agency,"PaaS, SaaS",Yes,,,Department of Health and Human Services,National Institutes of Health,,AGENCYHUDSAAS
AINS,eCase,Agency,"PaaS, SaaS",Yes,,,Department of Education,,,AGENCYHUDSAAS
AINS,eCase,Agency,"PaaS, SaaS",Yes,,,Department of Veterans Affairs,,,AGENCYHUDSAAS
Akamai,Content Delivery Services,JAB,IaaS,No,08/23/2013,08/23/2013,JAB Authorization,,"Coalfire Systems, Inc.",F1206061353
Akamai,Content Delivery Services,JAB,IaaS,Yes,,,Department of Homeland Security,,,F1206061353
Akamai,Content Delivery Services,JAB,IaaS,Yes,,,Department of Commerce,United States Census Bureau,,F1206061353
Akamai,Content Delivery Services,JAB,IaaS,Yes,,,General Services Administration,,,F1206061353
Akamai,Content Delivery Services,JAB,IaaS,Yes,,,Department of Education,Federal Student Aid,,F1206061353
Akamai,Content Delivery Services,JAB,IaaS,Yes,,,Department of the Treasury,Internal Revenue Service,,F1206061353
Akamai,Content Delivery Services,JAB,IaaS,Yes,,,Department of Housing and Urban Development,,,F1206061353
Akamai,Content Delivery Services,JAB,IaaS,Yes,,,Department of Defense,Defense Information Systems Agency,,F1206061353
Akamai,Content Delivery Services,JAB,IaaS,Yes,,,National Science Foundation,,,F1206061353
Akamai,Content Delivery Services,JAB,IaaS,Yes,,,Department of the Interior,,,F1206061353
Akamai,Content Delivery Services,JAB,IaaS,Yes,,,Federal Deposit Insurance Corporation,,,F1206061353
Akamai,Content Delivery Services,JAB,IaaS,Yes,,,Corporation for National & Community Service (CNCS),,,F1206061353
Akamai,Content Delivery Services,JAB,IaaS,Yes,,,Department of State,State Office of the Inspector General,,F1206061353
Akamai,Content Delivery Services,JAB,IaaS,Yes,,,Nuclear Regulatory Commission,,,F1206061353
Akamai,Content Delivery Services,JAB,IaaS,Yes,,,Department of Health and Human Services,Centers for Medicare & Medicaid Services,,F1206061353
Akamai,Content Delivery Services,JAB,IaaS,Yes,,,Department of Labor,,,F1206061353
Akamai,Content Delivery Services,JAB,IaaS,Yes,,,United States Agency for International Development,,,F1206061353
Akamai,Content Delivery Services,JAB,IaaS,Yes,,,Council of the Inspectors General on Integrity and Efficiency,,,F1206061353
Akamai,Content Delivery Services,JAB,IaaS,Yes,,,Social Security Administration,,,F1206061353
Akamai,Content Delivery Services,JAB,IaaS,Yes,,,United States Agency for Global Media,,,F1206061353
Akamai,Content Delivery Services,JAB,IaaS,Yes,,,Department of Agriculture,,,F1206061353
Akamai,Content Delivery Services,JAB,IaaS,Yes,,,Office of Personnel Management,,,F1206061353
Akamai,Content Delivery Services,JAB,IaaS,Yes,,,Environmental Protection Agency,,,F1206061353
Akamai,Content Delivery Services,JAB,IaaS,Yes,,,Department of Education,,,F1206061353
Amazon,AWS GovCloud,JAB,"IaaS, PaaS, SaaS",No,06/21/2016,06/21/2016,JAB Authorization,,"Coalfire Systems, Inc.",F1603047866
Amazon,AWS GovCloud,JAB,"IaaS, PaaS, SaaS",Yes,,,Department of Health and Human Services,,,F1603047866
Amazon,AWS GovCloud,JAB,"IaaS, PaaS, SaaS",Yes,,,National Labor Relations Board,,,F1603047866
Amazon,AWS GovCloud,JAB,"IaaS, PaaS, SaaS",Yes,,,National Science Foundation,,,F1603047866
Amazon,AWS GovCloud,JAB,"IaaS, PaaS, SaaS",Yes,,,Department of Commerce,,,F1603047866
Amazon,AWS GovCloud,JAB,"IaaS, PaaS, SaaS",Yes,,,Department of Defense,Defense Health Agency,,F1603047866
Amazon,AWS GovCloud,JAB,"IaaS, PaaS, SaaS",Yes,,,Department of Commerce,United States Census Bureau,,F1603047866
Amazon,AWS GovCloud,JAB,"IaaS, PaaS, SaaS",Yes,,,Millennium Challenge Corporation,,,F1603047866
Amazon,AWS GovCloud,JAB,"IaaS, PaaS, SaaS",Yes,,,General Services Administration,,,F1603047866
Amazon,AWS GovCloud,JAB,"IaaS, PaaS, SaaS",Yes,,,Department of Commerce,United States Census Bureau,,F1603047866
Amazon,AWS GovCloud,JAB,"IaaS, PaaS, SaaS",Yes,,,Department of Veterans Affairs,,,F1603047866
Amazon,AWS GovCloud,JAB,"IaaS, PaaS, SaaS",Yes,,,Department of the Treasury,Internal Revenue Service,,F1603047866
Amazon,AWS GovCloud,JAB,"IaaS, PaaS, SaaS",Yes,,,Department of Transportation,Federal Aviation Administration,,F1603047866
Amazon,AWS GovCloud,JAB,"IaaS, PaaS, SaaS",Yes,,,Department of Agriculture,,,F1603047866
Amazon,AWS GovCloud,JAB,"IaaS, PaaS, SaaS",Yes,,,Council of the Inspectors General on Integrity and Efficiency,,,F1603047866
Amazon,AWS GovCloud,JAB,"IaaS, PaaS, SaaS",Yes,,,Department of Homeland Security,Federal Law Enforcement Training Centers,,F1603047866
Amazon,AWS GovCloud,JAB,"IaaS, PaaS, SaaS",Yes,,,Department of the Interior,,,F1603047866
Amazon,AWS GovCloud,JAB,"IaaS, PaaS, SaaS",Yes,,,Corporation for National & Community Service (CNCS),,,F1603047866
Amazon,AWS GovCloud,JAB,"IaaS, PaaS, SaaS",Yes,,,Department of the Treasury,Office of the Comptroller of the Currency,,F1603047866
Amazon,AWS GovCloud,JAB,"IaaS, PaaS, SaaS",Yes,,,Department of Energy,National Nuclear Security Administration / Lawrence Livermore National Laboratory,,F1603047866
Amazon,AWS GovCloud,JAB,"IaaS, PaaS, SaaS",Yes,,,Department of Justice,Office of Justice Programs,,F1603047866
Amazon,AWS GovCloud,JAB,"IaaS, PaaS, SaaS",Yes,,,Department of Energy,Federal Energy Regulatory Commission,,F1603047866
Amazon,AWS GovCloud,JAB,"IaaS, PaaS, SaaS",Yes,,,Department of the Treasury,Bureau of the Fiscal Service,,F1603047866
Amazon,AWS GovCloud,JAB,"IaaS, PaaS, SaaS",Yes,,,Nuclear Regulatory Commission,,,F1603047866
Amazon,AWS GovCloud,JAB,"IaaS, PaaS, SaaS",Yes,,,Department of Defense,Defense Logistics Agency,,F1603047866
Amazon,AWS GovCloud,JAB,"IaaS, PaaS, SaaS",Yes,,,Department of Energy,National Nuclear Security Administration / Kansas City Field Office,,F1603047866
Amazon,AWS GovCloud,JAB,"IaaS, PaaS, SaaS",Yes,,,Department of Energy,,,F1603047866
Amazon,AWS GovCloud,JAB,"IaaS, PaaS, SaaS",Yes,,,Department of Defense,Department of the Navy,,F1603047866
Amazon,AWS GovCloud,JAB,"IaaS, PaaS, SaaS",Yes,,,Department of Homeland Security,Federal Emergency Management Agency,,F1603047866
Amazon,AWS GovCloud,JAB,"IaaS, PaaS, SaaS",Yes,,,National Aeronautics and Space Administration,,,F1603047866
Amazon,AWS GovCloud,JAB,"IaaS, PaaS, SaaS",Yes,,,Department of State,,,F1603047866
Amazon,AWS GovCloud,JAB,"IaaS, PaaS, SaaS",Yes,,,Department of Defense,Defense Human Resource Activity,,F1603047866
Amazon,AWS GovCloud,JAB,"IaaS, PaaS, SaaS",Yes,,,Department of Energy,National Nuclear Security Administration,,F1603047866
Amazon,AWS GovCloud,JAB,"IaaS, PaaS, SaaS",Yes,,,Department of Homeland Security,Federal Emergency Management Agency,,F1603047866
Amazon,AWS GovCloud,JAB,"IaaS, PaaS, SaaS",Yes,,,Department of Homeland Security,Federal Emergency Management Agency,,F1603047866
Amazon,AWS GovCloud,JAB,"IaaS, PaaS, SaaS",Yes,,,Office of Personnel Management,,,F1603047866
Amazon,AWS GovCloud,JAB,"IaaS, PaaS, SaaS",Yes,,,Department of Commerce,United States Census Bureau,,F1603047866
Amazon,AWS GovCloud,JAB,"IaaS, PaaS, SaaS",Yes,,,Department of Health and Human Services,Centers for Medicare & Medicaid Services,,F1603047866
Amazon,AWS GovCloud,JAB,"IaaS, PaaS, SaaS",Yes,,,Department of Commerce,,,F1603047866
Amazon,AWS GovCloud,JAB,"IaaS, PaaS, SaaS",Yes,,,Department of Defense,,,F1603047866
Amazon,AWS GovCloud,JAB,"IaaS, PaaS, SaaS",Yes,,,Department of Housing and Urban Development,Ginnie Mae,,F1603047866
Amazon,AWS GovCloud,JAB,"IaaS, PaaS, SaaS",Yes,,,Department of Health and Human Services,Food and Drug Administration,,F1603047866
Amazon,AWS GovCloud,JAB,"IaaS, PaaS, SaaS",Yes,,,Department of Homeland Security,Federal Law Enforcement Training Centers,,F1603047866
Amazon,AWS GovCloud,JAB,"IaaS, PaaS, SaaS",Yes,,,Department of Education,,,F1603047866
Amazon,AWS GovCloud,JAB,"IaaS, PaaS, SaaS",Yes,,,Tennessee Valley Authority,,,F1603047866
Amazon,AWS GovCloud,JAB,"IaaS, PaaS, SaaS",Yes,,,Federal Retirement Thrift Investment Board,,,F1603047866
Amazon,AWS GovCloud,JAB,"IaaS, PaaS, SaaS",Yes,,,Department of Defense,Defense Information Systems Agency,,F1603047866
Amazon,AWS US East/West,JAB,"IaaS, PaaS, SaaS",No,11/13/2017,05/01/2013,JAB Authorization,,"Coalfire Systems, Inc.",AGENCYAMAZONEW
Amazon,AWS US East/West,JAB,"IaaS, PaaS, SaaS",Yes,,,Department of Housing and Urban Development,,,AGENCYAMAZONEW
Amazon,AWS US East/West,JAB,"IaaS, PaaS, SaaS",Yes,,,General Services Administration,,,AGENCYAMAZONEW
