catalog_name,hyperlink,info
Department of Defense's (DoD) Defense Technical Information Center (DTIC),https://discover.dtic.mil/,"This website provides access to data related to defense research and development, including data on weapons systems, military technology, and scientific research."
Department of Homeland Security's (DHS) Homeland Security Digital Library (HSDL),https://www.hsdl.org/c/,"This website provides access to data related to homeland security, including data on emergency management, cybersecurity, and border security."
National Aeronautics and Space Administration's (NASA) Earth Observing System Data and Information System (EOSDIS),https://www.earthdata.nasa.gov/eosdis,"This website provides access to data related to Earth science research, including data on climate change, atmospheric chemistry, and land use."
National Archives and Records Administration's (NARA) Archives.gov,https://www.archives.gov/,"This website provides access to historical records and government documents, including data on military records, genealogy, and presidential libraries."
Department of the Interior's (DOI) Bureau of Land Management (BLM) Data Services,https://www.blm.gov/services/geospatial/GISData,"This website provides access to data related to public lands and natural resources, including data on land ownership, minerals, and wildlife."
Department of Transportation's (DOT) Bureau of Transportation Statistics (BTS),https://www.bts.gov/,"This website provides access to data related to transportation, including data on air travel, freight transportation, and traffic congestion."
Environmental Protection Agency's (EPA) Enforcement and Compliance History Online (ECHO),https://echo.epa.gov/,"This website provides access to data related to environmental enforcement, including data on environmental violations, inspections, and enforcement actions."
Department of Education's (ED) Common Core of Data (CCD),https://nces.ed.gov/ccd/,"This website provides access to data related to education, including data on school districts, student enrollment, and educational expenditures."
Department of Labor's (DOL) ONET OnLine,https://www.onetonline.org/,"This website provides access to data related to occupations, including data on job duties, skills, and education requirements."
Food and Drug Administration's (FDA) OpenFDA,https://open.fda.gov/,"This website provides access to data related to drugs, medical devices, and food safety, including data on adverse events, product recalls, and labeling."
Department of Housing and Urban Development's (HUD) Picture of Subsidized Households,https://www.huduser.gov/portal/pdrdatas_landing.html,"This website provides access to data related to affordable housing, including data on tenant demographics, housing units, and rental assistance programs."
Small Business Administration's (SBA) Office of Advocacy,https://advocacy.sba.gov/category/research/,"This website provides access to data related to small business, including data on business demographics, employment, and entrepreneurship."
Department of Commerce's National Institute of Standards and Technology (NIST) Manufacturing Extension Partnership (MEP) National Network,https://www.nist.gov/mep/mep-national-network,"This website provides access to data related to manufacturing, including data on productivity, innovation, and workforce development."
Federal Emergency Management Agency (FEMA) Open Datasets,https://www.fema.gov/about/openfema/data-sets,"This website is intended to be a one stop shop for OpenFEMA—FEMA’s data delivery platform which provides datasets to the public in open, industry standard, machine-readable formats. Datasets are available in multiple formats, including downloadable files and through an easily digestible Application Programming Interface (API). Each page includes information about the specific dataset, links to downloadable files, a data dictionary describing each field, and an endpoint link (if applicable for those datasets available via the API)."
