Game,Team,Opp,W/L,R,RA,D/N,Att,Team,HR Count
12,NYY,STL,W,9,3,N,31706,NYY,2
12,PHI,WSN,L,4,6,D,29774,PHI,1
12,PIT,CHC,W,6,1,D,39422,PIT,1
13,SDP,ATL,L,2,9,D,37147,SD,1
13,SEA,TEX,W,8,7,D,19678,SEA,2
14,SFG,COL,L,3,4,D,41455,SF,0
12,STL,NYY,L,3,9,N,31706,STL,1
13,TBR,BOS,L,5,7,D,36209,TB,2
12,TEX,SEA,L,7,8,D,19678,TEX,2
12,TOR,BAL,L,4,11,D,38188,TOR,1
12,WSN,PHI,W,6,4,D,29774,WSH,2
14,ARI,LAD,W,4,2,N,35448,ARI,1
12,ATL,SDP,W,5,4,N,24516,ATL,2
13,BOS,TBR,W,4,3,D,37318,BOS,0
13,CHC,MIL,L,3,6,N,38636,CHC,0
12,CHW,NYY,L,4,7,N,28181,CHW,1
13,CLE,MIN,W,3,1,N,16961,CLE,1
13,HOU,LAA,W,3,0,N,23501,HOU,0
14,LAA,HOU,L,0,3,N,23501,LAA,0
14,LAD,ARI,L,2,4,N,35448,LAD,1
13,MIA,SEA,L,1,6,N,16990,MIA,1
14,MIL,CHC,W,6,3,N,38636,MIL,3
13,MIN,CLE,L,1,3,N,16961,MIN,0
13,NYY,CHW,W,7,4,N,28181,NYY,2
13,OAK,TEX,L,0,7,N,10406,OAK,0
13,PIT,STL,L,1,2,N,40172,PIT,0
14,SDP,ATL,L,4,5,N,24516,SD,2
14,SEA,MIA,W,6,1,N,16990,SEA,3
13,STL,PIT,W,2,1,N,40172,STL,1
14,TBR,BOS,L,3,4,D,37318,TB,0
13,TEX,OAK,W,7,0,N,10406,TEX,0
15,ARI,SDP,W,11,2,N,19869,ARI,2
13,ATL,WSN,L,1,3,N,21834,ATL,0
12,BAL,CIN,L,3,9,N,16018,BAL,1
14,BOS,TOR,W,8,7,N,29281,BOS,1
14,CHC,MIL,W,9,7,N,39026,CHC,2
13,CHW,NYY,W,4,1,N,30075,CHW,2
14,CIN,BAL,W,9,3,N,16018,CIN,2
14,CLE,MIN,W,11,4,N,16553,CLE,2
15,COL,LAD,W,4,3,N,37960,COL,3
13,DET,TBR,L,1,5,N,16265,DET,1
14,HOU,LAA,L,2,5,N,21760,HOU,2
13,KCR,SFG,L,1,2,N,20863,KC,1
15,LAA,HOU,W,5,2,N,21760,LAA,2
15,LAD,COL,L,3,4,N,37960,LAD,0
14,MIA,SEA,W,5,0,N,16126,MIA,1
15,MIL,CHC,L,7,9,N,39026,MIL,2
14,MIN,CLE,L,4,11,N,16553,MIN,1
14,NYM,PHI,L,2,6,N,23536,NYM,0
14,NYY,CHW,L,1,4,N,30075,NYY,0
14,OAK,TEX,W,4,2,N,12091,OAK,1
13,PHI,NYM,W,6,2,N,23536,PHI,1
14,PIT,STL,L,1,2,N,38806,PIT,0
15,SDP,ARI,L,2,11,N,19869,SD,0
15,SEA,MIA,L,0,5,N,16126,SEA,0
15,SFG,KCR,W,2,1,N,20863,SF,0
14,STL,PIT,W,2,1,N,38806,STL,0
15,TBR,DET,W,5,1,N,16265,TB,1
14,TEX,OAK,L,2,4,N,12091,TEX,0
13,TOR,BOS,L,7,8,N,29281,TOR,3
13,WSN,ATL,W,3,1,N,21834,WSH,0
16,ARI,SDP,L,0,1,N,17089,ARI,0
14,ATL,WSN,L,4,14,N,22101,ATL,1
13,BAL,CIN,W,2,0,N,15083,BAL,0
15,BOS,TOR,L,0,3,N,30842,BOS,0
15,CHC,MIL,W,7,4,D,34864,CHC,2
14,CHW,NYY,L,1,9,N,30014,CHW,0
15,CIN,BAL,L,0,2,N,15083,CIN,0
16,COL,LAD,L,2,4,N,45474,COL,0
14,DET,TBR,L,7,8,N,12281,DET,0
15,HOU,LAA,W,5,1,N,24028,HOU,1
14,KCR,SFG,W,2,0,N,24402,KC,0
16,LAA,HOU,L,1,5,N,24028,LAA,0
16,LAD,COL,W,4,2,N,45474,LAD,1
15,MIA,SEA,L,5,10,D,27147,MIA,3
16,MIL,CHC,L,4,7,D,34864,MIL,2
15,NYM,PHI,W,5,4,N,22243,NYM,2
15,NYY,CHW,W,9,1,N,30014,NYY,4
15,OAK,TEX,W,9,1,D,14031,OAK,3
14,PHI,NYM,L,4,5,N,22243,PHI,0
15,PIT,STL,L,1,2,D,40182,PIT,1
16,SDP,ARI,W,1,0,N,17089,SD,1
16,SEA,MIA,W,10,5,D,27147,SEA,0
16,SFG,KCR,L,0,2,N,24402,SF,0
15,STL,PIT,W,2,1,D,40182,STL,2
16,TBR,DET,W,8,7,N,12281,TB,0
15,TEX,OAK,L,1,9,D,14031,TEX,1
14,TOR,BOS,W,3,0,N,30842,TOR,0
14,WSN,ATL,W,14,4,N,22101,WSH,3
17,ARI,SDP,L,1,4,N,17831,ARI,0
15,ATL,WSN,L,2,3,N,27498,ATL,0
14,BAL,CIN,W,2,1,N,11910,BAL,1
16,BOS,TOR,W,4,1,D,44283,BOS,0
16,CIN,BAL,L,1,2,N,11910,CIN,1
15,CLE,MIN,W,6,2,D,17339,CLE,0
15,DET,TBR,L,1,8,D,13267,DET,1
16,HOU,LAA,W,2,1,D,23173,HOU,2
15,KCR,TEX,L,0,1,N,26898,KC,0
17,LAA,HOU,L,1,2,D,23173,LAA,1
17,MIL,STL,W,7,5,N,26451,MIL,3
15,MIN,CLE,L,2,6,D,17339,MIN,0
16,NYM,PHI,L,4,6,N,24656,NYM,1
16,OAK,SEA,W,9,6,N,10707,OAK,1
15,PHI,NYM,W,6,4,N,24656,PHI,1
17,SDP,ARI,W,4,1,N,17831,SD,2
17,SEA,OAK,L,6,9,N,10707,SEA,1
16,STL,MIL,L,5,7,N,26451,STL,2
17,TBR,DET,W,8,1,D,13267,TB,3
16,TEX,KCR,W,1,0,N,26898,TEX,0
15,TOR,BOS,L,1,4,D,44283,TOR,1
15,WSN,ATL,W,3,2,N,27498,WSH,1
18,ARI,LAD,W,13,5,N,27018,ARI,1
16,ATL,PHI,L,3,4,N,24189,ATL,2
15,BAL,BOS,W,2,0,N,34442,BAL,1
17,BOS,BAL,L,0,2,N,34442,BOS,0
16,CHC,CIN,W,6,5,N,29350,CHC,3
15,CHW,CLE,L,0,3,N,18159,CHW,0
17,CIN,CHC,L,5,6,N,29350,CIN,1
16,CLE,CHW,W,3,0,N,18159,CLE,1
17,COL,SFG,W,6,5,N,27663,COL,2
16,DET,MIN,L,3,6,N,22647,DET,1
17,HOU,TBR,W,6,3,N,17683,HOU,1
16,KCR,TEX,L,2,6,N,31320,KC,0
18,LAA,TOR,L,7,8,N,40176,LAA,1
17,LAD,ARI,L,5,13,N,27018,LAD,2
16,MIA,SDP,L,3,5,N,30413,MIA,2
18,MIL,STL,L,3,6,N,23126,MIL,1
16,MIN,DET,W,6,3,N,22647,MIN,1
17,NYM,WSN,L,3,4,N,34773,NYM,2
16,NYY,PIT,L,3,6,N,30565,NYY,0
17,OAK,SEA,W,3,1,N,15255,OAK,2
16,PHI,ATL,W,4,3,N,24189,PHI,0
16,PIT,NYY,W,6,3,N,30565,PIT,2
18,SDP,MIA,W,5,3,N,30413,SD,1
18,SEA,OAK,L,1,3,N,15255,SEA,0
17,SFG,COL,L,5,6,N,27663,SF,1
17,STL,MIL,W,6,3,N,23126,STL,1
18,TBR,HOU,L,3,6,N,17683,TB,3
17,TEX,KCR,W,6,2,N,31320,TEX,4
16,TOR,LAA,W,8,7,N,40176,TOR,1
16,WSN,NYM,W,4,3,N,34773,WSH,2
19,ARI,LAD,W,11,5,N,36294,ARI,4
17,ATL,PHI,L,3,4,N,31334,ATL,1
16,BAL,BOS,W,4,2,N,35457,BAL,2
18,BOS,BAL,L,2,4,N,35457,BOS,1
17,CHC,CIN,W,12,8,D,27189,CHC,3
16,CHW,CLE,L,0,7,N,32044,CHW,0
18,CIN,CHC,L,8,12,D,27189,CIN,3
17,CLE,CHW,W,7,0,N,32044,CLE,3
18,COL,SFG,W,12,3,N,39239,COL,3
17,DET,MIN,W,5,4,D,25719,DET,2
18,HOU,TBR,L,3,6,N,17008,HOU,2
17,KCR,TEX,L,1,2,N,41446,KC,0
19,LAA,TOR,W,5,4,N,41345,LAA,1
18,LAD,ARI,L,5,11,N,36294,LAD,1
17,MIA,SDP,W,6,3,N,39319,MIA,3
19,MIL,STL,L,1,4,N,30865,MIL,0
17,MIN,DET,L,4,5,D,25719,MIN,1
18,NYM,WSN,L,1,3,D,42145,NYM,0
17,NYY,PIT,W,11,5,D,36140,NYY,3
18,OAK,SEA,W,4,3,D,20722,OAK,2
17,PHI,ATL,W,4,3,N,31334,PHI,0
17,PIT,NYY,L,5,11,D,36140,PIT,2
19,SDP,MIA,L,3,6,N,39319,SD,1
19,SEA,OAK,L,3,4,D,20722,SEA,1
