"","nmr1"
"751",-1.6602
"752",1.2091
"753",-3.993
"754",-1.3323
"755",-2.2037
"756",0.99354
"757",-0.91191
"758",-0.072184
"759",-1.5284
"760",-1.6983
"761",0.7927
"762",0.58808
"763",-0.062142
"764",3.3373
"765",2.6508
"766",2.1144
"767",3.0045
"768",5.1205
"769",5.0622
"770",7.9288
"771",5.6825
"772",1.7925
"773",3.1693
"774",5.5976
"775",6.4031
"776",5.4324
"777",3.5938
"778",1.7695
"779",1.6298
"780",3.0838
"781",-0.5941
"782",-0.30366
"783",-1.6414
"784",-1.8099
"785",1.9878
"786",-2.6841
"787",-6.0318
"788",-1.4028
"789",-3.0325
"790",0.27169
"791",-0.77163
"792",-5.3437
"793",-8.2562
"794",-5.4537
"795",-6.7689
"796",-5.4489
"797",-3.896
"798",-7.4015
"799",-8.052
"800",-5.8313
"801",-1.7578
"802",-5.4311
"803",-9.2922
"804",-11.864
"805",-5.7334
"806",-5.7141
"807",-6.3784
"808",-4.6334
"809",-7.0074
"810",-9.6043
"811",-9.8616
"812",-6.3027
"813",-9.1354
"814",-8.5072
"815",-9.4966
"816",-4.856
"817",-3.5614
"818",-8.7343
"819",-4.6377
"820",-7.6154
"821",-6.3234
"822",-9.9063
"823",-9.2133
"824",-4.2982
"825",-6.3258
"826",-8.7183
"827",-11.083
"828",-8.2025
"829",-10.154
"830",-9.2654
"831",-2.7061
"832",-6.4698
"833",-6.4806
"834",-8.3769
"835",-11.095
"836",-8.8619
"837",-5.3266
"838",-6.3702
"839",-6.4611
"840",-8.6772
"841",-7.8427
"842",-8.1525
"843",-7.0772
"844",-9.6375
"845",-5.7059
"846",-7.6366
"847",-9.8091
"848",-10.174
"849",-8.7279
"850",-7.3594
"851",-8.467
"852",-7.9783
"853",-8.6462
"854",-9.9507
"855",-8.9048
"856",-6.4671
"857",-8.2149
"858",-6.9095
"859",-5.2324
"860",-10.957
"861",-10.18
"862",-11.182
"863",-11.494
"864",-5.8197
"865",-5.8884
"866",-7.2843
"867",-6.3721
"868",-10.664
"869",-6.4671
"870",-6.7389
"871",-8.3395
"872",-9.5341
"873",-11.301
"874",-7.3289
"875",-10.426
"876",-11.129
"877",-9.4957
"878",-10.929
"879",-11.648
"880",-12.987
"881",-9.366
"882",-8.3432
"883",-5.6775
"884",-7.0414
"885",-7.2033
"886",-8.1654
"887",-7.7857
"888",-8.6628
"889",-6.0372
"890",-7.7977
"891",-13.903
"892",-10.572
"893",-11.842
"894",-14.255
"895",-10.481
"896",-10.191
"897",-9.8647
"898",-11.777
"899",-13.458
"900",-12.592
"901",-8.4168
"902",-10.176
"903",-9.324
"904",-11.567
"905",-9.2284
"906",-11.509
"907",-14.018
"908",-12.86
"909",-8.7141
"910",-7.4739
"911",-7.9505
"912",-8.1905
"913",-9.1061
"914",-11.805
"915",-8.1765
"916",-7.8951
"917",-9.3527
"918",-6.118
"919",-8.1046
"920",-6.4301
"921",-5.2668
"922",-9.1941
"923",-10.407
"924",-6.8071
"925",-10.81
"926",-11.062
"927",-9.1586
"928",-12.407
"929",-8.3102
"930",-10.188
"931",-10.609
"932",-9.8658
"933",-6.7396
"934",-9.3853
"935",-10.316
"936",-10.614
"937",-11.227
"938",-11.046
"939",-12.545
"940",-11.864
"941",-9.4343
"942",-9.5005
"943",-11.861
"944",-12.042
"945",-8.3363
"946",-9.3921
"947",-11.283
"948",-11.128
"949",-10.856
"950",-12.061
"951",-11.694
"952",-11.109
"953",-9.4583
"954",-11.653
"955",-9.8066
"956",-10.779
"957",-9.8499
"958",-11.563
"959",-7.8412
"960",-9.0094
"961",-10.328
"962",-12.46
"963",-8.2736
"964",-8.9327
"965",-10.417
"966",-9.6282
"967",-11.698
"968",-8.6425
"969",-12
"970",-10.476
"971",-10.115
"972",-8.579
"973",-9.0681
"974",-9.5397
"975",-9.4353
"976",-8.4888
"977",-8.7565
"978",-10.049
"979",-8.2158
"980",-9.4016
"981",-9.9839
"982",-7.3899
"983",-7.9119
"984",-9.0982
"985",-6.6652
"986",-8.4226
"987",-9.4049
"988",-11.279
"989",-7.5143
"990",-8.756
"991",-11.918
"992",-10.195
"993",-7.5241
"994",-10.195
"995",-7.5748
"996",-7.9185
"997",-9.9505
"998",-7.88
"999",-7.3439
"1000",-4.3438
"1001",-8.0481
"1002",-7.4612
"1003",-6.983
"1004",-9.3837
"1005",-10.287
"1006",-10.745
"1007",-11.644
"1008",-9.9423
"1009",-9.6213
"1010",-11.178
"1011",-11.408
"1012",-10.458
"1013",-8.4559
"1014",-8.5433
"1015",-6.5238
"1016",-6.2517
"1017",-5.1108
"1018",-6.9685
"1019",-6.526
"1020",-3.173
"1021",-8.1457
"1022",-8.4415
"1023",-6.7875
"1024",-11.057
