,survived,pclass,sex,age,sibsp,parch,fare,embarked,class,who,adult_male,deck,embark_town,alive,alone
101,0,3,male,,0,0,7.8958,S,Third,man,TRUE,,Southampton,no,TRUE
102,0,1,male,21,0,1,77.2875,S,First,man,TRUE,D,Southampton,no,FALSE
103,0,3,male,33,0,0,8.6542,S,Third,man,TRUE,,Southampton,no,TRUE
104,0,3,male,37,2,0,7.925,S,Third,man,TRUE,,Southampton,no,FALSE
105,0,3,male,28,0,0,7.8958,S,Third,man,TRUE,,Southampton,no,TRUE
106,1,3,female,21,0,0,7.65,S,Third,woman,FALSE,,Southampton,yes,TRUE
107,1,3,male,,0,0,7.775,S,Third,man,TRUE,,Southampton,yes,TRUE
108,0,3,male,38,0,0,7.8958,S,Third,man,TRUE,,Southampton,no,TRUE
109,1,3,female,,1,0,24.15,Q,Third,woman,FALSE,,Queenstown,yes,FALSE
110,0,1,male,47,0,0,52,S,First,man,TRUE,C,Southampton,no,TRUE
111,0,3,female,14.5,1,0,14.4542,C,Third,child,FALSE,,Cherbourg,no,FALSE
112,0,3,male,22,0,0,8.05,S,Third,man,TRUE,,Southampton,no,TRUE
113,0,3,female,20,1,0,9.825,S,Third,woman,FALSE,,Southampton,no,FALSE
114,0,3,female,17,0,0,14.4583,C,Third,woman,FALSE,,Cherbourg,no,TRUE
115,0,3,male,21,0,0,7.925,S,Third,man,TRUE,,Southampton,no,TRUE
116,0,3,male,70.5,0,0,7.75,Q,Third,man,TRUE,,Queenstown,no,TRUE
117,0,2,male,29,1,0,21,S,Second,man,TRUE,,Southampton,no,FALSE
118,0,1,male,24,0,1,247.5208,C,First,man,TRUE,B,Cherbourg,no,FALSE
119,0,3,female,2,4,2,31.275,S,Third,child,FALSE,,Southampton,no,FALSE
120,0,2,male,21,2,0,73.5,S,Second,man,TRUE,,Southampton,no,FALSE
121,0,3,male,,0,0,8.05,S,Third,man,TRUE,,Southampton,no,TRUE
122,0,2,male,32.5,1,0,30.0708,C,Second,man,TRUE,,Cherbourg,no,FALSE
123,1,2,female,32.5,0,0,13,S,Second,woman,FALSE,E,Southampton,yes,TRUE
124,0,1,male,54,0,1,77.2875,S,First,man,TRUE,D,Southampton,no,FALSE
125,1,3,male,12,1,0,11.2417,C,Third,child,FALSE,,Cherbourg,yes,FALSE
126,0,3,male,,0,0,7.75,Q,Third,man,TRUE,,Queenstown,no,TRUE
127,1,3,male,24,0,0,7.1417,S,Third,man,TRUE,,Southampton,yes,TRUE
128,1,3,female,,1,1,22.3583,C,Third,woman,FALSE,F,Cherbourg,yes,FALSE
129,0,3,male,45,0,0,6.975,S,Third,man,TRUE,,Southampton,no,TRUE
130,0,3,male,33,0,0,7.8958,C,Third,man,TRUE,,Cherbourg,no,TRUE
131,0,3,male,20,0,0,7.05,S,Third,man,TRUE,,Southampton,no,TRUE
132,0,3,female,47,1,0,14.5,S,Third,woman,FALSE,,Southampton,no,FALSE
133,1,2,female,29,1,0,26,S,Second,woman,FALSE,,Southampton,yes,FALSE
134,0,2,male,25,0,0,13,S,Second,man,TRUE,,Southampton,no,TRUE
135,0,2,male,23,0,0,15.0458,C,Second,man,TRUE,,Cherbourg,no,TRUE
136,1,1,female,19,0,2,26.2833,S,First,woman,FALSE,D,Southampton,yes,FALSE
137,0,1,male,37,1,0,53.1,S,First,man,TRUE,C,Southampton,no,FALSE
138,0,3,male,16,0,0,9.2167,S,Third,man,TRUE,,Southampton,no,TRUE
139,0,1,male,24,0,0,79.2,C,First,man,TRUE,B,Cherbourg,no,TRUE
140,0,3,female,,0,2,15.2458,C,Third,woman,FALSE,,Cherbourg,no,FALSE
141,1,3,female,22,0,0,7.75,S,Third,woman,FALSE,,Southampton,yes,TRUE
142,1,3,female,24,1,0,15.85,S,Third,woman,FALSE,,Southampton,yes,FALSE
143,0,3,male,19,0,0,6.75,Q,Third,man,TRUE,,Queenstown,no,TRUE
144,0,2,male,18,0,0,11.5,S,Second,man,TRUE,,Southampton,no,TRUE
145,0,2,male,19,1,1,36.75,S,Second,man,TRUE,,Southampton,no,FALSE
146,1,3,male,27,0,0,7.7958,S,Third,man,TRUE,,Southampton,yes,TRUE
147,0,3,female,9,2,2,34.375,S,Third,child,FALSE,,Southampton,no,FALSE
148,0,2,male,36.5,0,2,26,S,Second,man,TRUE,F,Southampton,no,FALSE
149,0,2,male,42,0,0,13,S,Second,man,TRUE,,Southampton,no,TRUE
150,0,2,male,51,0,0,12.525,S,Second,man,TRUE,,Southampton,no,TRUE
151,1,1,female,22,1,0,66.6,S,First,woman,FALSE,C,Southampton,yes,FALSE
152,0,3,male,55.5,0,0,8.05,S,Third,man,TRUE,,Southampton,no,TRUE
153,0,3,male,40.5,0,2,14.5,S,Third,man,TRUE,,Southampton,no,FALSE
154,0,3,male,,0,0,7.3125,S,Third,man,TRUE,,Southampton,no,TRUE
155,0,1,male,51,0,1,61.3792,C,First,man,TRUE,,Cherbourg,no,FALSE
156,1,3,female,16,0,0,7.7333,Q,Third,woman,FALSE,,Queenstown,yes,TRUE
157,0,3,male,30,0,0,8.05,S,Third,man,TRUE,,Southampton,no,TRUE
158,0,3,male,,0,0,8.6625,S,Third,man,TRUE,,Southampton,no,TRUE
159,0,3,male,,8,2,69.55,S,Third,man,TRUE,,Southampton,no,FALSE
160,0,3,male,44,0,1,16.1,S,Third,man,TRUE,,Southampton,no,FALSE
161,1,2,female,40,0,0,15.75,S,Second,woman,FALSE,,Southampton,yes,TRUE
162,0,3,male,26,0,0,7.775,S,Third,man,TRUE,,Southampton,no,TRUE
163,0,3,male,17,0,0,8.6625,S,Third,man,TRUE,,Southampton,no,TRUE
164,0,3,male,1,4,1,39.6875,S,Third,child,FALSE,,Southampton,no,FALSE
165,1,3,male,9,0,2,20.525,S,Third,child,FALSE,,Southampton,yes,FALSE
166,1,1,female,,0,1,55,S,First,woman,FALSE,E,Southampton,yes,FALSE
167,0,3,female,45,1,4,27.9,S,Third,woman,FALSE,,Southampton,no,FALSE
168,0,1,male,,0,0,25.925,S,First,man,TRUE,,Southampton,no,TRUE
169,0,3,male,28,0,0,56.4958,S,Third,man,TRUE,,Southampton,no,TRUE
170,0,1,male,61,0,0,33.5,S,First,man,TRUE,B,Southampton,no,TRUE
171,0,3,male,4,4,1,29.125,Q,Third,child,FALSE,,Queenstown,no,FALSE
172,1,3,female,1,1,1,11.1333,S,Third,child,FALSE,,Southampton,yes,FALSE
173,0,3,male,21,0,0,7.925,S,Third,man,TRUE,,Southampton,no,TRUE
174,0,1,male,56,0,0,30.6958,C,First,man,TRUE,A,Cherbourg,no,TRUE
175,0,3,male,18,1,1,7.8542,S,Third,man,TRUE,,Southampton,no,FALSE
176,0,3,male,,3,1,25.4667,S,Third,man,TRUE,,Southampton,no,FALSE
177,0,1,female,50,0,0,28.7125,C,First,woman,FALSE,C,Cherbourg,no,TRUE
178,0,2,male,30,0,0,13,S,Second,man,TRUE,,Southampton,no,TRUE
179,0,3,male,36,0,0,0,S,Third,man,TRUE,,Southampton,no,TRUE
180,0,3,female,,8,2,69.55,S,Third,woman,FALSE,,Southampton,no,FALSE
181,0,2,male,,0,0,15.05,C,Second,man,TRUE,,Cherbourg,no,TRUE
182,0,3,male,9,4,2,31.3875,S,Third,child,FALSE,,Southampton,no,FALSE
183,1,2,male,1,2,1,39,S,Second,child,FALSE,F,Southampton,yes,FALSE
184,1,3,female,4,0,2,22.025,S,Third,child,FALSE,,Southampton,yes,FALSE
185,0,1,male,,0,0,50,S,First,man,TRUE,A,Southampton,no,TRUE
186,1,3,female,,1,0,15.5,Q,Third,woman,FALSE,,Queenstown,yes,FALSE
187,1,1,male,45,0,0,26.55,S,First,man,TRUE,,Southampton,yes,TRUE
188,0,3,male,40,1,1,15.5,Q,Third,man,TRUE,,Queenstown,no,FALSE
189,0,3,male,36,0,0,7.8958,S,Third,man,TRUE,,Southampton,no,TRUE
190,1,2,female,32,0,0,13,S,Second,woman,FALSE,,Southampton,yes,TRUE
191,0,2,male,19,0,0,13,S,Second,man,TRUE,,Southampton,no,TRUE
192,1,3,female,19,1,0,7.8542,S,Third,woman,FALSE,,Southampton,yes,FALSE
193,1,2,male,3,1,1,26,S,Second,child,FALSE,F,Southampton,yes,FALSE
194,1,1,female,44,0,0,27.7208,C,First,woman,FALSE,B,Cherbourg,yes,TRUE
195,1,1,female,58,0,0,146.5208,C,First,woman,FALSE,B,Cherbourg,yes,TRUE
196,0,3,male,,0,0,7.75,Q,Third,man,TRUE,,Queenstown,no,TRUE
197,0,3,male,42,0,1,8.4042,S,Third,man,TRUE,,Southampton,no,FALSE
198,1,3,female,,0,0,7.75,Q,Third,woman,FALSE,,Queenstown,yes,TRUE
199,0,2,female,24,0,0,13,S,Second,woman,FALSE,,Southampton,no,TRUE
200,0,3,male,28,0,0,9.5,S,Third,man,TRUE,,Southampton,no,TRUE
201,0,3,male,,8,2,69.55,S,Third,man,TRUE,,Southampton,no,FALSE
202,0,3,male,34,0,0,6.4958,S,Third,man,TRUE,,Southampton,no,TRUE
203,0,3,male,45.5,0,0,7.225,C,Third,man,TRUE,,Cherbourg,no,TRUE
204,1,3,male,18,0,0,8.05,S,Third,man,TRUE,,Southampton,yes,TRUE
205,0,3,female,2,0,1,10.4625,S,Third,child,FALSE,G,Southampton,no,FALSE
206,0,3,male,32,1,0,15.85,S,Third,man,TRUE,,Southampton,no,FALSE
207,1,3,male,26,0,0,18.7875,C,Third,man,TRUE,,Cherbourg,yes,TRUE
208,1,3,female,16,0,0,7.75,Q,Third,woman,FALSE,,Queenstown,yes,TRUE
209,1,1,male,40,0,0,31,C,First,man,TRUE,A,Cherbourg,yes,TRUE
210,0,3,male,24,0,0,7.05,S,Third,man,TRUE,,Southampton,no,TRUE
211,1,2,female,35,0,0,21,S,Second,woman,FALSE,,Southampton,yes,TRUE
212,0,3,male,22,0,0,7.25,S,Third,man,TRUE,,Southampton,no,TRUE
213,0,2,male,30,0,0,13,S,Second,man,TRUE,,Southampton,no,TRUE
214,0,3,male,,1,0,7.75,Q,Third,man,TRUE,,Queenstown,no,FALSE
215,1,1,female,31,1,0,113.275,C,First,woman,FALSE,D,Cherbourg,yes,FALSE
216,1,3,female,27,0,0,7.925,S,Third,woman,FALSE,,Southampton,yes,TRUE
217,0,2,male,42,1,0,27,S,Second,man,TRUE,,Southampton,no,FALSE
218,1,1,female,32,0,0,76.2917,C,First,woman,FALSE,D,Cherbourg,yes,TRUE
219,0,2,male,30,0,0,10.5,S,Second,man,TRUE,,Southampton,no,TRUE
220,1,3,male,16,0,0,8.05,S,Third,man,TRUE,,Southampton,yes,TRUE
221,0,2,male,27,0,0,13,S,Second,man,TRUE,,Southampton,no,TRUE
222,0,3,male,51,0,0,8.05,S,Third,man,TRUE,,Southampton,no,TRUE
223,0,3,male,,0,0,7.8958,S,Third,man,TRUE,,Southampton,no,TRUE
224,1,1,male,38,1,0,90,S,First,man,TRUE,C,Southampton,yes,FALSE
225,0,3,male,22,0,0,9.35,S,Third,man,TRUE,,Southampton,no,TRUE
226,1,2,male,19,0,0,10.5,S,Second,man,TRUE,,Southampton,yes,TRUE
227,0,3,male,20.5,0,0,7.25,S,Third,man,TRUE,,Southampton,no,TRUE
228,0,2,male,18,0,0,13,S,Second,man,TRUE,,Southampton,no,TRUE
229,0,3,female,,3,1,25.4667,S,Third,woman,FALSE,,Southampton,no,FALSE
230,1,1,female,35,1,0,83.475,S,First,woman,FALSE,C,Southampton,yes,FALSE
231,0,3,male,29,0,0,7.775,S,Third,man,TRUE,,Southampton,no,TRUE
232,0,2,male,59,0,0,13.5,S,Second,man,TRUE,,Southampton,no,TRUE
233,1,3,female,5,4,2,31.3875,S,Third,child,FALSE,,Southampton,yes,FALSE
234,0,2,male,24,0,0,10.5,S,Second,man,TRUE,,Southampton,no,TRUE
235,0,3,female,,0,0,7.55,S,Third,woman,FALSE,,Southampton,no,TRUE
236,0,2,male,44,1,0,26,S,Second,man,TRUE,,Southampton,no,FALSE
237,1,2,female,8,0,2,26.25,S,Second,child,FALSE,,Southampton,yes,FALSE
238,0,2,male,19,0,0,10.5,S,Second,man,TRUE,,Southampton,no,TRUE
239,0,2,male,33,0,0,12.275,S,Second,man,TRUE,,Southampton,no,TRUE
240,0,3,female,,1,0,14.4542,C,Third,woman,FALSE,,Cherbourg,no,FALSE
241,1,3,female,,1,0,15.5,Q,Third,woman,FALSE,,Queenstown,yes,FALSE
242,0,2,male,29,0,0,10.5,S,Second,man,TRUE,,Southampton,no,TRUE
243,0,3,male,22,0,0,7.125,S,Third,man,TRUE,,Southampton,no,TRUE
244,0,3,male,30,0,0,7.225,C,Third,man,TRUE,,Cherbourg,no,TRUE
245,0,1,male,44,2,0,90,Q,First,man,TRUE,C,Queenstown,no,FALSE
246,0,3,female,25,0,0,7.775,S,Third,woman,FALSE,,Southampton,no,TRUE
247,1,2,female,24,0,2,14.5,S,Second,woman,FALSE,,Southampton,yes,FALSE
248,1,1,male,37,1,1,52.5542,S,First,man,TRUE,D,Southampton,yes,FALSE
249,0,2,male,54,1,0,26,S,Second,man,TRUE,,Southampton,no,FALSE
250,0,3,male,,0,0,7.25,S,Third,man,TRUE,,Southampton,no,TRUE
251,0,3,female,29,1,1,10.4625,S,Third,woman,FALSE,G,Southampton,no,FALSE
252,0,1,male,62,0,0,26.55,S,First,man,TRUE,C,Southampton,no,TRUE
253,0,3,male,30,1,0,16.1,S,Third,man,TRUE,,Southampton,no,FALSE
254,0,3,female,41,0,2,20.2125,S,Third,woman,FALSE,,Southampton,no,FALSE
255,1,3,female,29,0,2,15.2458,C,Third,woman,FALSE,,Cherbourg,yes,FALSE
256,1,1,female,,0,0,79.2,C,First,woman,FALSE,,Cherbourg,yes,TRUE
257,1,1,female,30,0,0,86.5,S,First,woman,FALSE,B,Southampton,yes,TRUE
258,1,1,female,35,0,0,512.3292,C,First,woman,FALSE,,Cherbourg,yes,TRUE
259,1,2,female,50,0,1,26,S,Second,woman,FALSE,,Southampton,yes,FALSE
260,0,3,male,,0,0,7.75,Q,Third,man,TRUE,,Queenstown,no,TRUE
261,1,3,male,3,4,2,31.3875,S,Third,child,FALSE,,Southampton,yes,FALSE
262,0,1,male,52,1,1,79.65,S,First,man,TRUE,E,Southampton,no,FALSE
263,0,1,male,40,0,0,0,S,First,man,TRUE,B,Southampton,no,TRUE
264,0,3,female,,0,0,7.75,Q,Third,woman,FALSE,,Queenstown,no,TRUE
265,0,2,male,36,0,0,10.5,S,Second,man,TRUE,,Southampton,no,TRUE
266,0,3,male,16,4,1,39.6875,S,Third,man,TRUE,,Southampton,no,FALSE
267,1,3,male,25,1,0,7.775,S,Third,man,TRUE,,Southampton,yes,FALSE
268,1,1,female,58,0,1,153.4625,S,First,woman,FALSE,C,Southampton,yes,FALSE
269,1,1,female,35,0,0,135.6333,S,First,woman,FALSE,C,Southampton,yes,TRUE
270,0,1,male,,0,0,31,S,First,man,TRUE,,Southampton,no,TRUE
271,1,3,male,25,0,0,0,S,Third,man,TRUE,,Southampton,yes,TRUE
272,1,2,female,41,0,1,19.5,S,Second,woman,FALSE,,Southampton,yes,FALSE
273,0,1,male,37,0,1,29.7,C,First,man,TRUE,C,Cherbourg,no,FALSE
274,1,3,female,,0,0,7.75,Q,Third,woman,FALSE,,Queenstown,yes,TRUE
275,1,1,female,63,1,0,77.9583,S,First,woman,FALSE,D,Southampton,yes,FALSE
276,0,3,female,45,0,0,7.75,S,Third,woman,FALSE,,Southampton,no,TRUE
277,0,2,male,,0,0,0,S,Second,man,TRUE,,Southampton,no,TRUE
278,0,3,male,7,4,1,29.125,Q,Third,child,FALSE,,Queenstown,no,FALSE
279,1,3,female,35,1,1,20.25,S,Third,woman,FALSE,,Southampton,yes,FALSE
280,0,3,male,65,0,0,7.75,Q,Third,man,TRUE,,Queenstown,no,TRUE
281,0,3,male,28,0,0,7.8542,S,Third,man,TRUE,,Southampton,no,TRUE
282,0,3,male,16,0,0,9.5,S,Third,man,TRUE,,Southampton,no,TRUE
283,1,3,male,19,0,0,8.05,S,Third,man,TRUE,,Southampton,yes,TRUE
284,0,1,male,,0,0,26,S,First,man,TRUE,A,Southampton,no,TRUE
285,0,3,male,33,0,0,8.6625,C,Third,man,TRUE,,Cherbourg,no,TRUE
286,1,3,male,30,0,0,9.5,S,Third,man,TRUE,,Southampton,yes,TRUE
287,0,3,male,22,0,0,7.8958,S,Third,man,TRUE,,Southampton,no,TRUE
288,1,2,male,42,0,0,13,S,Second,man,TRUE,,Southampton,yes,TRUE
289,1,3,female,22,0,0,7.75,Q,Third,woman,FALSE,,Queenstown,yes,TRUE
290,1,1,female,26,0,0,78.85,S,First,woman,FALSE,,Southampton,yes,TRUE
291,1,1,female,19,1,0,91.0792,C,First,woman,FALSE,B,Cherbourg,yes,FALSE
292,0,2,male,36,0,0,12.875,C,Second,man,TRUE,D,Cherbourg,no,TRUE
293,0,3,female,24,0,0,8.85,S,Third,woman,FALSE,,Southampton,no,TRUE
294,0,3,male,24,0,0,7.8958,S,Third,man,TRUE,,Southampton,no,TRUE
295,0,1,male,,0,0,27.7208,C,First,man,TRUE,,Cherbourg,no,TRUE
296,0,3,male,23.5,0,0,7.2292,C,Third,man,TRUE,,Cherbourg,no,TRUE
297,0,1,female,2,1,2,151.55,S,First,child,FALSE,C,Southampton,no,FALSE
298,1,1,male,,0,0,30.5,S,First,man,TRUE,C,Southampton,yes,TRUE
299,1,1,female,50,0,1,247.5208,C,First,woman,FALSE,B,Cherbourg,yes,FALSE
300,1,3,female,,0,0,7.75,Q,Third,woman,FALSE,,Queenstown,yes,TRUE
301,1,3,male,,2,0,23.25,Q,Third,man,TRUE,,Queenstown,yes,FALSE
302,0,3,male,19,0,0,0,S,Third,man,TRUE,,Southampton,no,TRUE
303,1,2,female,,0,0,12.35,Q,Second,woman,FALSE,E,Queenstown,yes,TRUE
304,0,3,male,,0,0,8.05,S,Third,man,TRUE,,Southampton,no,TRUE
305,1,1,male,0.92,1,2,151.55,S,First,child,FALSE,C,Southampton,yes,FALSE
306,1,1,female,,0,0,110.8833,C,First,woman,FALSE,,Cherbourg,yes,TRUE
307,1,1,female,17,1,0,108.9,C,First,woman,FALSE,C,Cherbourg,yes,FALSE
308,0,2,male,30,1,0,24,C,Second,man,TRUE,,Cherbourg,no,FALSE
309,1,1,female,30,0,0,56.9292,C,First,woman,FALSE,E,Cherbourg,yes,TRUE
310,1,1,female,24,0,0,83.1583,C,First,woman,FALSE,C,Cherbourg,yes,TRUE
311,1,1,female,18,2,2,262.375,C,First,woman,FALSE,B,Cherbourg,yes,FALSE
312,0,2,female,26,1,1,26,S,Second,woman,FALSE,,Southampton,no,FALSE
313,0,3,male,28,0,0,7.8958,S,Third,man,TRUE,,Southampton,no,TRUE
