id,type of flower,Days to grow,Work force,Cost to grow,Cost of force,Field m/s,Location,Phone of location
126,Boraginaceae,27,2,4.99,1.95,24,Clyde Gallagher,704-452-2110
127,Ophioglossaceae,32,4,4.53,1.37,27,Esker,113-615-8765
128,Rhamnaceae,37,5,4.31,1.41,30,Wayridge,500-993-7257
129,Brassicaceae,37,2,4.90,1.21,21,Almo,592-364-9727
130,Liliaceae,34,2,5.00,1.18,21,Mcbride,913-522-0897
131,Asteraceae,32,4,4.12,1.01,23,Shasta,644-613-7945
132,Collemataceae,42,6,4.47,1.28,26,Eliot,644-887-2712
133,Primulaceae,33,3,4.68,1.63,24,Hazelcrest,974-681-1620
134,Fabaceae,41,4,4.07,1.87,38,Victoria,365-297-1932
135,Primulaceae,37,5,4.65,1.14,40,Northport,634-536-7331
136,Brassicaceae,39,7,4.05,1.47,25,Annamark,826-374-1807
137,Rosaceae,28,2,4.85,1.87,25,Dawn,218-431-4293
138,Apiaceae,45,6,4.96,1.30,26,Shopko,695-693-8796
139,Asterothyriaceae,35,6,4.03,1.78,40,Union,248-223-0619
140,Rosaceae,38,5,4.84,1.33,23,Twin Pines,472-445-4911
141,Vitaceae,27,6,4.98,1.08,31,Jana,415-615-9010
142,Dennstaedtiaceae,40,6,4.41,1.03,36,Dakota,778-428-8487
143,Fabaceae,45,2,4.12,1.90,37,Coolidge,993-677-5095
144,Plumbaginaceae,30,4,4.66,1.40,40,Acker,249-195-3538
145,Solanaceae,42,5,4.90,1.21,33,Mallory,515-790-6234
146,Rhamnaceae,33,2,4.50,1.60,38,Vera,654-180-4341
147,Liliaceae,29,7,4.94,1.62,25,Sauthoff,309-327-0001
148,Hydrophyllaceae,29,7,4.25,1.21,36,Milwaukee,398-877-6100
149,Malvaceae,28,5,4.84,1.67,28,Ridge Oak,877-484-4256
150,Papaveraceae,42,5,4.42,1.94,24,Westport,705-165-7815
151,Scrophulariaceae,36,4,4.44,1.70,34,Dennis,619-208-4579
152,Cyperaceae,36,2,4.58,1.84,39,Derek,775-383-1574
153,Porpidiaceae,39,3,4.65,1.18,31,Onsgard,822-225-4130
154,Polygonaceae,38,6,4.10,1.37,23,Vidon,686-684-3901
155,Asteraceae,33,2,4.01,1.14,40,Comanche,458-430-6717
156,Liliaceae,32,5,4.39,1.92,33,Northview,821-891-3413
157,Apiaceae,39,6,4.66,1.51,30,Bunting,964-630-2603
158,Poaceae,36,6,4.47,1.35,38,Browning,740-152-9269
159,Asteraceae,31,2,4.89,1.60,26,Ilene,254-462-7373
160,Oleaceae,45,4,4.34,1.36,34,Meadow Vale,231-292-4263
161,Asteraceae,42,2,4.54,1.41,40,Monument,434-489-0369
162,Asteraceae,31,7,4.74,1.72,22,Debs,141-875-2828
163,Agavaceae,35,4,4.68,1.63,25,Susan,734-823-3513
164,Ranunculaceae,35,4,4.06,1.74,39,Ruskin,814-758-5264
165,Asteraceae,32,4,4.55,1.21,37,Clarendon,833-584-5566
166,Rubiaceae,25,7,4.27,1.56,22,Leroy,777-618-2030
167,Asteraceae,37,2,4.32,1.14,27,Melrose,297-633-0941
168,Polemoniaceae,34,7,4.30,1.18,35,Crest Line,929-131-6683
169,Fabaceae,25,2,4.66,1.14,20,Oak,213-152-4423
170,Dennstaedtiaceae,28,7,4.03,1.33,34,Surrey,322-274-2787
171,Asteraceae,34,5,4.18,1.21,36,Atwood,824-399-7432
172,Asteraceae,26,6,4.68,1.30,28,Scofield,812-196-5889
173,Cyperaceae,38,2,4.81,1.26,26,Sloan,917-438-4549
174,Pyrenulaceae,29,5,4.33,1.41,27,Erie,798-486-4467
175,Orchidaceae,30,5,4.57,1.39,36,Clemons,573-549-2569
176,Scrophulariaceae,25,2,4.19,1.75,26,Arapahoe,869-283-7043
177,Fabaceae,39,5,4.30,1.86,29,Longview,285-509-4193
178,Fabaceae,44,7,4.99,1.00,33,Superior,937-269-7087
179,Melastomataceae,37,2,4.25,1.63,26,Pennsylvania,615-971-9170
180,Asteraceae,33,3,4.15,1.83,26,Ohio,312-943-8142
181,Chenopodiaceae,30,4,4.52,1.05,36,Ryan,537-314-5677
182,Boraginaceae,43,2,4.64,1.18,39,Center,863-625-7097
183,Monoblastiaceae,35,6,4.97,1.08,37,Nobel,721-910-1951
184,Saxifragaceae,39,2,4.13,1.02,22,Randy,681-469-7882
185,Rutaceae,39,5,4.57,1.69,24,Longview,907-536-6520
186,Malvaceae,45,6,4.62,1.14,38,Hooker,747-355-9442
187,Hydrophyllaceae,32,6,4.99,1.85,28,Westport,743-206-3995
188,Asteraceae,39,7,4.45,1.42,33,Clarendon,875-650-7290
189,Asteraceae,26,7,4.77,1.41,31,Boyd,628-442-6199
190,Scrophulariaceae,28,2,4.46,1.05,33,Moose,754-865-7264
191,Fabaceae,39,2,4.80,1.11,25,Tony,247-319-2875
192,Solanaceae,40,3,4.08,1.85,32,Hovde,825-774-9214
193,Betulaceae,37,6,4.61,1.57,32,Crest Line,171-680-3908
194,Monotropaceae,25,2,4.75,1.71,38,Birchwood,888-442-1010
195,Lichinaceae,30,4,4.37,1.91,23,Green Ridge,206-772-7734
196,Poaceae,38,7,4.68,1.94,32,International,706-353-3759
197,Asteraceae,29,7,4.08,1.43,39,Kipling,941-581-0671
198,Pteridaceae,40,3,4.49,1.08,37,Chive,720-222-8988
199,Poaceae,27,3,4.96,1.88,39,Ridgeway,966-876-0571
200,Asteraceae,32,6,4.59,1.33,35,Thompson,152-987-0544
201,Euphorbiaceae,30,2,4.25,1.97,39,Mayfield,438-392-0166
202,Asteraceae,30,2,4.32,1.13,36,Mitchell,587-173-4139
203,Caryophyllaceae,42,6,4.97,1.45,29,Kingsford,923-692-6125
204,Asteraceae,37,3,4.77,1.25,24,Karstens,232-365-8939
205,Salicaceae,26,5,4.64,1.66,26,New Castle,755-419-7102
206,Agavaceae,32,4,4.66,1.83,23,Vera,136-527-3359
207,Asteraceae,26,6,4.11,1.71,27,Graedel,806-421-2457
208,Polemoniaceae,38,3,4.48,1.84,32,Walton,707-878-0583
209,Fabaceae,32,4,4.05,1.04,32,Laurel,358-187-3314
210,Chenopodiaceae,40,2,4.34,1.10,24,Beilfuss,592-986-6855
211,Scrophulariaceae,28,2,4.21,1.60,29,Spenser,677-706-0361
212,Solanaceae,43,6,4.85,1.23,22,Riverside,765-332-7967
213,Asteraceae,45,7,4.70,1.48,23,Briar Crest,418-210-7439
214,Physciaceae,31,3,4.13,1.78,38,Reindahl,801-364-1202
215,Apocynaceae,34,4,4.38,1.87,35,Eliot,992-593-1153
216,Agavaceae,32,4,4.68,1.02,29,Hanover,803-955-2208
217,Parmeliaceae,43,2,4.80,1.44,26,Pierstorff,377-226-1409
218,Malvaceae,39,3,4.78,1.32,24,Warrior,456-913-3803
219,Fabaceae,34,4,4.23,1.85,33,Moose,200-889-3354
220,Fabaceae,39,4,4.12,1.29,25,Elmside,479-532-2829
221,Aspleniaceae,30,5,4.97,1.26,31,Thompson,198-463-7279
222,Ephedraceae,32,2,4.39,1.61,23,Corben,935-545-0148
223,Solanaceae,29,5,4.70,1.84,38,Hermina,194-646-7905
224,Rosaceae,29,2,4.94,1.96,29,Dixon,877-704-5752
225,Ericaceae,31,7,4.53,1.86,27,Fair Oaks,918-649-9373
226,Aristolochiaceae,44,6,4.86,1.94,33,Parkside,506-260-8980
227,Onagraceae,39,2,4.52,1.74,28,Bluestem,691-935-6204
228,Pannariaceae,29,2,4.55,1.12,21,Valley Edge,892-982-9428
229,Cactaceae,28,7,4.98,1.37,33,Lindbergh,260-153-7712
230,Lecideaceae,33,2,4.78,1.18,26,Green,581-723-0925
231,Balsaminaceae,25,2,4.20,1.94,22,Burning Wood,470-438-4737
232,Malvaceae,32,5,4.27,1.14,28,Carberry,845-362-8634
233,Burmanniaceae,45,7,4.06,1.68,36,Prairie Rose,811-378-0977
234,Euphorbiaceae,32,4,4.57,1.70,36,Fallview,648-394-8720
235,Polygonaceae,26,3,4.06,1.05,21,Glacier Hill,101-493-6021
236,Papaveraceae,27,7,4.22,1.10,24,Monterey,744-788-2936
237,Asteraceae,32,6,4.84,1.88,31,Esker,351-547-4243
238,Cyperaceae,43,7,4.79,1.81,33,Oak,136-880-7186
239,Cyperaceae,31,5,4.91,1.59,27,Namekagon,337-363-9194
240,Betulaceae,26,5,4.79,1.62,30,Cody,787-400-3540
241,Fabaceae,32,5,4.93,1.58,35,Harper,462-733-0187
242,Polemoniaceae,44,2,4.48,1.13,33,Fulton,119-830-9833
243,Onagraceae,32,4,4.42,1.94,38,Cherokee,997-327-6089
244,Asteraceae,32,7,4.33,1.20,40,Forster,709-818-2492
245,Myrtaceae,43,2,4.31,1.26,29,Namekagon,769-557-9902
246,Brassicaceae,43,7,4.89,1.32,29,Graedel,454-713-5955
247,Poaceae,26,7,4.99,1.55,32,Chinook,577-396-1497
248,Poaceae,25,3,4.63,1.36,39,Pankratz,575-402-6351
249,Caryophyllaceae,29,5,4.08,1.51,25,Charing Cross,361-851-4591
250,Polemoniaceae,33,7,4.22,1.63,27,Evergreen,891-915-9138
251,Fagaceae,29,7,4.60,1.66,36,Amoth,177-718-0571
252,Asteraceae,29,3,4.90,1.05,21,Knutson,734-916-9154
253,Brassicaceae,31,6,4.51,1.78,40,Hoard,825-701-8183
254,Caryophyllaceae,35,7,4.32,1.23,25,Banding,628-262-6331
255,Thelotremataceae,44,2,4.38,1.70,21,Melrose,580-454-0480
256,Melastomataceae,33,5,4.44,1.37,36,Sunnyside,278-190-1511
257,Collemataceae,32,7,4.04,1.53,26,Haas,876-563-4807
258,Poaceae,44,2,4.26,1.53,31,Carey,794-329-4482
259,Sterculiaceae,36,5,4.24,1.68,31,Armistice,164-494-8623
260,Rosaceae,31,7,4.76,1.31,37,Mcguire,191-515-5909
261,Liliaceae,30,5,4.79,1.67,31,Morrow,301-750-3622
262,Liliaceae,31,5,4.42,1.75,27,Merry,422-513-2513
263,Poaceae,39,3,4.66,1.59,25,Nelson,597-859-6308
264,Fabaceae,35,6,4.83,1.86,35,Sugar,987-884-8713
265,Vitaceae,42,3,4.53,1.59,30,Moose,392-301-8730
266,Aceraceae,32,3,4.28,1.02,38,Farmco,340-552-9626
267,Asteraceae,34,2,4.14,1.48,23,Bunting,116-114-5983
268,Rosaceae,26,3,4.66,2.00,21,Pearson,101-994-3135
269,Gentianaceae,30,4,4.58,1.15,37,Heffernan,760-200-9148
270,Cuscutaceae,25,2,4.84,1.49,34,New Castle,903-972-6625
271,Cactaceae,37,3,4.26,1.66,25,Bowman,324-334-4342
272,Collemataceae,25,3,4.14,1.95,38,Pawling,846-433-1333
273,Brassicaceae,44,4,4.49,1.23,25,Karstens,365-628-2897
274,Rosaceae,38,7,4.30,1.88,24,Granby,605-188-7810
275,Lecanoraceae,44,5,4.44,1.70,35,Helena,642-769-6376
276,Fabaceae,43,5,4.83,1.61,36,Schurz,897-988-8943
277,Asteraceae,41,7,4.50,1.83,22,Haas,387-539-5488
278,Betulaceae,32,4,4.05,1.33,25,Service,360-873-5275
279,Acanthaceae,44,3,4.23,1.88,24,Melby,554-135-9274
280,Brassicaceae,27,5,4.38,1.34,28,Independence,683-471-6912
281,Euphorbiaceae,30,7,4.74,1.72,27,Burrows,978-768-6351
282,Cladoniaceae,29,6,4.94,1.84,36,Troy,328-224-4813
283,Solanaceae,29,6,4.13,1.94,22,Macpherson,303-691-9925
284,Fabaceae,45,4,4.85,1.65,21,Holmberg,962-850-0162
285,Crassulaceae,26,5,4.97,1.64,32,Lyons,644-256-8434
286,Polygonaceae,41,2,4.41,1.84,30,Muir,608-959-0126
287,Santalaceae,30,4,4.78,1.08,24,Morningstar,539-981-5753
288,Caprifoliaceae,26,5,4.71,1.24,40,Jay,849-486-3371
289,Salicaceae,25,7,4.91,1.34,40,Vera,255-140-6721
290,Scrophulariaceae,43,6,4.20,1.16,21,Nancy,429-394-6751
291,Asteraceae,25,7,4.23,1.80,34,Service,263-999-9227
292,Asclepiadaceae,36,3,4.54,1.71,40,Bonner,463-860-2982
293,Moraceae,25,5,4.47,1.62,29,Sachtjen,886-751-1530
294,Lecideaceae,28,7,4.11,1.92,39,Norway Maple,898-762-0759
295,Asteraceae,25,3,4.71,1.81,23,Kedzie,390-876-1392
296,Poaceae,33,2,4.92,1.03,28,Harbort,194-765-6876
297,Saxifragaceae,27,2,4.36,1.47,38,Rutledge,487-594-7287
298,Apiaceae,38,7,4.09,1.38,37,Algoma,142-493-9083
299,Fabaceae,36,5,4.38,1.59,30,Swallow,225-670-3162
300,Berberidaceae,35,5,4.64,1.56,31,North,960-564-0654
301,Fabaceae,44,6,4.25,1.09,36,Carioca,112-315-5331
302,Blechnaceae,27,2,4.91,1.75,20,Spenser,685-167-9438
303,Ranunculaceae,31,2,4.16,1.20,31,Crest Line,506-995-3373
304,Fabaceae,25,6,4.04,1.08,20,Sullivan,631-155-4963
305,Lecanoraceae,38,5,4.88,1.70,38,Talmadge,757-251-3851
306,Saxifragaceae,41,5,4.30,1.33,27,Independence,209-135-7128
307,Pteridaceae,42,6,4.37,1.91,35,Derek,712-808-9675
308,Brassicaceae,40,4,4.48,1.10,33,New Castle,861-425-1213
309,Asteraceae,31,6,4.62,1.35,36,Tomscot,924-751-4617
310,Hydrophyllaceae,34,3,4.96,1.88,34,Bonner,662-128-7988
311,Gesneriaceae,33,7,4.49,1.72,34,Evergreen,215-714-6094
312,Parmeliaceae,26,3,4.91,1.89,33,Northwestern,680-373-1368
313,Lecanoraceae,25,7,4.95,1.70,37,Lawn,208-608-4116
314,Asteraceae,29,6,4.16,1.16,28,Stephen,848-588-8323
315,Poaceae,39,7,4.11,1.95,33,American Ash,366-731-4223
316,Juglandaceae,30,6,4.39,1.44,23,Ohio,648-181-4988
317,Boraginaceae,26,3,4.87,1.25,30,Fulton,864-844-2572
318,Geraniaceae,41,5,4.78,1.49,24,American,537-292-5876
319,Fabaceae,25,4,4.91,1.32,20,Mesta,197-438-5986
320,Saxifragaceae,34,6,4.49,1.41,20,Park Meadow,688-674-5449
321,Brassicaceae,37,2,4.08,1.87,27,Maple,707-563-7427
322,Thymelaeaceae,30,2,4.33,1.04,21,Nova,389-463-9307
323,Brassicaceae,33,7,4.49,1.35,23,Meadow Ridge,807-419-6735
324,Crassulaceae,41,7,4.85,1.74,39,Shoshone,807-544-5083
325,Physciaceae,36,3,4.20,1.91,20,Kensington,164-469-1807
326,Caryophyllaceae,45,6,4.51,1.80,21,Golf,477-131-8734
327,Cladoniaceae,28,2,4.05,1.61,34,Main,717-161-6072
328,Fabaceae,38,6,4.50,1.05,23,1st,399-112-8662
329,Hydrophyllaceae,35,7,4.75,1.83,34,Haas,250-682-0471
330,Asteraceae,26,3,4.40,1.37,32,Talisman,421-918-4033
331,Asteraceae,42,7,4.68,1.98,33,Manitowish,428-530-7712
332,Grossulariaceae,29,7,4.07,1.17,22,Ludington,546-850-6463
333,Polygonaceae,40,7,4.86,1.29,33,Forest Dale,861-880-7951
334,Blechnaceae,44,4,4.99,1.01,24,Dahle,523-666-4174
335,Ranunculaceae,36,6,4.47,1.63,21,Rigney,879-377-1860
336,Apiaceae,39,5,4.63,1.35,29,Meadow Vale,792-350-2264
337,Geraniaceae,26,5,4.28,1.30,23,Bayside,132-112-2228
338,Pottiaceae,28,2,4.90,1.14,33,John Wall,918-304-3828
339,Onagraceae,25,3,4.37,1.77,38,Division,601-581-9357
340,Apiaceae,25,5,4.28,1.63,34,Karstens,318-918-7796
341,Valerianaceae,45,5,4.14,1.62,23,West,516-398-2058
342,Fabaceae,25,5,4.55,1.45,38,Blue Bill Park,982-605-8513
343,Asteraceae,42,6,4.63,1.38,22,Bartillon,468-522-8612
344,Chenopodiaceae,43,4,4.69,1.30,39,Prairieview,763-112-5009
345,Juncaceae,42,7,4.69,1.15,21,Maple,930-824-8255
346,Geraniaceae,25,6,4.22,1.53,40,Lukken,834-972-5075
347,Polypodiaceae,39,2,4.06,1.94,36,Aberg,614-486-8110
348,Asteraceae,30,6,4.60,1.14,31,Eastwood,446-726-0821
349,Tiliaceae,32,4,4.17,1.95,31,Comanche,107-133-7179
350,Poaceae,31,6,4.83,1.31,20,Cordelia,446-701-4047
351,Hydrocharitaceae,38,7,4.35,1.93,24,Service,679-123-3338
352,Asteraceae,31,3,4.08,1.68,27,Ramsey,568-876-6043
353,Asteraceae,42,7,4.23,1.97,21,Sullivan,521-388-2097
354,Asteraceae,39,5,4.52,1.97,23,Luster,276-658-0482
355,Rhizocarpaceae,31,4,4.34,1.97,35,Ilene,613-941-5669
356,Cactaceae,31,6,4.98,1.48,39,Bowman,200-254-2408
357,Cyperaceae,28,2,4.63,1.10,21,Bultman,749-720-6019
358,Fabaceae,38,3,4.51,1.38,34,Sugar,970-917-1275
359,Physciaceae,38,5,4.97,1.61,31,Main,803-455-3962
360,Gesneriaceae,45,6,4.86,1.88,35,Kings,185-647-1647
361,Fabaceae,29,6,4.13,1.95,34,Banding,995-960-1175
362,Brassicaceae,41,4,4.53,1.38,27,Boyd,995-599-5875
363,Betulaceae,31,5,4.45,2.00,33,Buena Vista,370-173-5615
364,Caryophyllaceae,29,4,4.27,1.55,28,Moulton,505-710-8009
365,Cladoniaceae,37,2,4.69,1.90,30,Comanche,956-288-7528
366,Polemoniaceae,40,3,4.56,1.43,23,Debs,115-702-9195
367,Asteraceae,35,4,4.14,1.05,31,Bashford,461-354-0314
368,Viscaceae,26,4,4.55,1.31,30,Stephen,346-786-9376
369,Parmeliaceae,27,2,4.28,1.69,35,Lien,771-148-8845
370,Polemoniaceae,39,3,4.79,1.74,27,Lakewood,985-125-0564
371,Asteraceae,37,7,4.64,1.33,38,Buena Vista,381-525-6307
372,Polemoniaceae,29,5,4.52,1.97,39,Ludington,385-235-0131
373,Brassicaceae,35,6,4.31,1.62,32,School,919-660-3831
374,Hydrophyllaceae,28,4,4.31,1.94,38,Forest Dale,685-111-5789
375,Poaceae,34,3,4.64,1.02,25,Bashford,501-854-2806
376,Asteraceae,40,6,4.90,1.86,25,Badeau,603-951-5961
377,Poaceae,30,2,4.77,1.80,28,Vera,688-765-7405
378,Buxaceae,32,7,4.45,1.36,37,Lunder,353-288-3570
379,Cucurbitaceae,25,4,4.92,1.79,38,Tennyson,471-592-4297
380,Asteraceae,26,4,4.02,1.44,26,Morningstar,703-386-3748
381,Graphidaceae,36,7,4.11,1.40,30,Montana,709-536-0933
382,Polygonaceae,30,5,4.79,1.35,26,Paget,804-219-9719
383,Asteraceae,40,3,4.78,1.05,37,5th,822-137-7995
384,Ectolechiaceae,45,5,4.58,1.35,24,Boyd,367-272-2890
385,Apiaceae,36,6,4.04,1.87,21,Bobwhite,583-401-7294
