BreedName,AltBreedName,LapCat,Fur,MaleWtKg,Temperment,AvgKittenPrice,MalaysiaPopularity,PopularityUS2017,,,,
Domestic Medium Hair,,Generic,Medium,6,"Active, Curious, Easygoing, Playful, Calm",100,,,,,,
Domestic Short Hair,,Generic,Short,6,"Active, Curious, Easygoing, Playful, Calm",100,,,,,,
Egyptian Mau,,Lap,Medium,5,"Agile, Dependent, Gentle, Intelligent, Lively, Loyal, Playful",800,,20,,,,
Exotic Shorthair,,Lap,Short,5,"Affectionate, Sweet, Loyal, Quiet, Peaceful",1750,2,1,,,,
Extra-Toes Cat (Hemingway Polydactyl),,Lap,Medium,5,Six-Toed,2000,,,,,,
Havana,,Lap,Medium,4,"Affectionate, Curious, Demanding, Friendly, Intelligent, Playful",900,,35,,,,
Himalayan,,Lap,Long,6,"Dependent, Gentle, Intelligent, Quiet, Social",800,,,,,,
Japanese Bobtail,,Lap,Long,4,"Active, Agile, Clever, Easygoing, Intelligent, Lively, Loyal, Playful, Social",800,,24,,,,
Javanese,,Non Lap,Medium,4,"Active, Devoted, Intelligent, Playful",1200,,,,,,
Korat,,Lap,Long,4,"Affectionate, Friendly, Gentle, Intelligent, Playful, Quiet",600,,40,,,,
LaPerm,,Lap,Long,4,"Intelligent, Clever, Active, Genlte",500,,39,,,,
Maine Coon,,Lap,Long,7,"Adaptable, Intelligent, Loving, Gentle, Independent",1600,1,3,,,,
Manx,,Lap,Short,5,"Easygoing, Intelligent, Loyal, Playful, Social",500,,23,,,,
Munchkin,,Lap,Medium,3,"Agile, Easygoing, Intelligent, Playful",1500,,,,,,
Nebelung,,Lap,Long,4,"Gentle, Quiet, Shy, Playful",500,,,,,,
Norwegian Forest Cat,,Non Lap,Long,6,"Sweet, Active, Intelligent, Social, Playful, Lively, Curious",1000,9,14,,,,
Ocicat,,Non Lap,Short,6,"Active, Agile, Curious, Demanding, Friendly, Gentle, Lively, Playful, Social",850,,21,,,,
Oriental Long Hair,,Lap,Long,4,"Energetic, Affectionate, Intelligent, Social, Playful, Curious",1150,,13,,,,
Oriental Short Hair,,Lap,Short,4,"Energetic, Affectionate, Intelligent, Social, Playful, Curious",1150,,13,,,,
Oriental Tabby,,Lap,Medium,4,"Energetic, Affectionate, Intelligent, Social, Playful, Curious",1150,,13,,,,
Persian,,Lap,Long,6,"Affectionate, Loyal, Sedate, Quiet",1250,3,2,,,,
Pixie-Bob,,Lap,Medium,6,"Affectionate, Social, Intelligent, Loyal",700,,,,,,
Ragamuffin,,Lap,Medium,7,"Affectionate, Friendly, Gentle, Calm",1000,,32,,,,
Ragdoll,,Lap,Long,7,"Affectioante, Friendly, Gentle, Quiet, Easygoing",1000,7,4,,,,
Russian Blue,,Lap,Short,4,"Active, Dependent, Easygoing, Gentle, Intelligent, Loyal, Playful, Quiet",700,,19,,,,
Scottish Fold,,Non Lap,Short,4,"Affectionate, Intelligent, Loyal, Playful, Social, Sweet, Loving",1250,10,10,,,,
Selkirk Rex,,Lap,Long,6,"Active, Affectionate, Dependent, Gentle, Patient, Playful, Quiet, Social",1150,,25,,,,
Siamese,,Lap,Short,6,"Active, Agile, Clever, Sociable, Loving, Energetic",500,,9,,,,
Siberian,,Non Lap,Long,6,"Intelligent, Loyal, Quiet, Active",1000,,,,,,
Silver,,Generic,Short,6,"Active, Curious, Easygoing, Playful, Calm",100,,,,,,
Singapura,,Lap,Short,3,"Affectionate, Curious, Easygoing, Intelligent, Interactive, Lively, Loyal",1150,,22,,,,
Snowshoe,,Lap,Short,5,"Affectionate, Social, Intelligent, Sweet-tempered",800,,,,,,
Somali,,Non Lap,Long,5,"Mischevious, Tenacious, Intelligent, Affectionate, Gentle, Interactive, Loyal",1250,,28,,,,
Sphynx (hairless cat),Sphynx,Lap,Bald,5,"Loyal, Inquisitive, Friendly, Quiet, Gentle",1450,,8,,,,
Tabby,,Generic,Short,6,"Active, Curious, Easygoing, Playful, Calm",100,,,,,,
Tiger,,Lap,Short,6,"Playful, Social, Intelligent",900,,,,,,
Tonkinese,,Lap,Medium,5,"Curious, Intelligent, Social, Lively, Outgoing, Playful, Affectionate",800,,18,,,,
Torbie,,Generic,Short,6,"Active, Curious, Easygoing, Playful, Calm",100,,,,,,
Tortoiseshell,,Generic,Short,6,"Active, Curious, Easygoing, Playful, Calm",100,,,,,,
Turkish Angora,,Non Lap,Long,4,"Affectionate, Agile, Clever, Gentle, Intelligent, Playful, Social",700,,29,,,,
Turkish Van,,Non Lap,Long,6,"Agile, Intelligent, Loyal, Playful, Energetic",500,,37,,,,
Tuxedo,,Generic,Short,6,"Active, Curious, Easygoing, Playful, Calm",100,,,,,,
Mixed Breed,,,,,,,,,,,,
