DATA_YEAR,ORI,PUB_AGENCY_NAME,PUB_AGENCY_UNIT,AGENCY_TYPE_NAME,STATE_ABBR,STATE_NAME,DIVISION_NAME,COUNTY_NAME,REGION_NAME,POPULATION_GROUP_CODE,POPULATION_GROUP_DESC,OFFENSE_SUBCAT_ID,OFFENSE_NAME,OFFENSE_SUBCAT_NAME,ACTUAL_COUNT,UNFOUNDED_COUNT,CLEARED_COUNT,JUVENILE_CLEARED_COUNT
2014,AZ0072900,Tempe,,City,AZ,Arizona,Mountain,MARICOPA,West,2,"Cities from 100,000 thru 249,999",HTCSA,Human Trafficking,Commercial Sex Acts,192,0,192,0
2014,AZ0100300,Tucson,,City,AZ,Arizona,Mountain,PIMA,West,1B,"Cities from 500,000 thru 999,999",HTCSA,Human Trafficking,Commercial Sex Acts,64,0,0,0
2014,CO0010100,Aurora,,City,CO,Colorado,Mountain,"ADAMS, ARAPAHOE, DOUGLAS",West,1C,"Cities from 250,000 thru 499,999",HTCSA,Human Trafficking,Commercial Sex Acts,192,0,192,0
2014,CO0030000,Arapahoe,,County,CO,Colorado,Mountain,ARAPAHOE,West,9B,"MSA counties from 25,000 thru 99,999",HTCSA,Human Trafficking,Commercial Sex Acts,128,0,128,0
2014,CO0030000,Arapahoe,,County,CO,Colorado,Mountain,ARAPAHOE,West,9B,"MSA counties from 25,000 thru 99,999",HTIS,Human Trafficking,Involuntary Servitude,128,0,0,0
2014,CO0300000,Jefferson,,County,CO,Colorado,Mountain,JEFFERSON,West,9A,"MSA counties 100,000 or over",HTCSA,Human Trafficking,Commercial Sex Acts,64,0,0,0
2014,CO0300400,Lakewood,,City,CO,Colorado,Mountain,JEFFERSON,West,2,"Cities from 100,000 thru 249,999",HTCSA,Human Trafficking,Commercial Sex Acts,54,0,0,0
2014,CO0620200,Greeley,,City,CO,Colorado,Mountain,WELD,West,3,"Cities from 50,000 thru 99,999",HTCSA,Human Trafficking,Commercial Sex Acts,256,0,256,0
2014,FL0051200,Palm Bay,,City,FL,Florida,South Atlantic,BREVARD,South,2,"Cities from 100,000 thru 249,999",HTCSA,Human Trafficking,Commercial Sex Acts,64,128,64,0
2014,FL0110000,Collier,,County,FL,Florida,South Atlantic,COLLIER,South,9A,"MSA counties 100,000 or over",HTCSA,Human Trafficking,Commercial Sex Acts,768,0,256,0
2014,FL0110000,Collier,,County,FL,Florida,South Atlantic,COLLIER,South,9A,"MSA counties 100,000 or over",HTIS,Human Trafficking,Involuntary Servitude,0,128,0,0
2014,FL0290000,Hillsborough,,County,FL,Florida,South Atlantic,HILLSBOROUGH,South,9A,"MSA counties 100,000 or over",HTCSA,Human Trafficking,Commercial Sex Acts,256,128,0,0
2014,FL0290000,Hillsborough,,County,FL,Florida,South Atlantic,HILLSBOROUGH,South,9A,"MSA counties 100,000 or over",HTIS,Human Trafficking,Involuntary Servitude,0,64,0,0
2014,FL0310000,Indian River,,County,FL,Florida,South Atlantic,INDIAN RIVER,South,9B,"MSA counties from 25,000 thru 99,999",HTIS,Human Trafficking,Involuntary Servitude,192,0,192,0
2014,FL0360000,Lee,,County,FL,Florida,South Atlantic,LEE,South,9A,"MSA counties 100,000 or over",HTCSA,Human Trafficking,Commercial Sex Acts,64,0,0,0
2014,FL0370300,Tallahassee,,City,FL,Florida,South Atlantic,LEON,South,2,"Cities from 100,000 thru 249,999",HTCSA,Human Trafficking,Commercial Sex Acts,64,0,64,0
2014,FL0410000,Manatee,,County,FL,Florida,South Atlantic,MANATEE,South,9A,"MSA counties 100,000 or over",HTCSA,Human Trafficking,Commercial Sex Acts,64,0,64,0
2014,FL0410000,Manatee,,County,FL,Florida,South Atlantic,MANATEE,South,9A,"MSA counties 100,000 or over",HTIS,Human Trafficking,Involuntary Servitude,0,64,0,0
2014,FL0480000,Orange,,County,FL,Florida,South Atlantic,ORANGE,South,9A,"MSA counties 100,000 or over",HTCSA,Human Trafficking,Commercial Sex Acts,320,0,320,0
2014,FL0480400,Orlando,,City,FL,Florida,South Atlantic,ORANGE,South,1C,"Cities from 250,000 thru 499,999",HTCSA,Human Trafficking,Commercial Sex Acts,64,128,64,0
2014,FL0490000,Osceola,,County,FL,Florida,South Atlantic,OSCEOLA,South,9A,"MSA counties 100,000 or over",HTCSA,Human Trafficking,Commercial Sex Acts,256,0,256,0
2014,FL0520300,Clearwater,,City,FL,Florida,South Atlantic,PINELLAS,South,2,"Cities from 100,000 thru 249,999",HTCSA,Human Trafficking,Commercial Sex Acts,1600,512,1600,0
2014,FL0520300,Clearwater,,City,FL,Florida,South Atlantic,PINELLAS,South,2,"Cities from 100,000 thru 249,999",HTIS,Human Trafficking,Involuntary Servitude,0,64,0,0
2014,FL0521400,St. Petersburg,,City,FL,Florida,South Atlantic,PINELLAS,South,1C,"Cities from 250,000 thru 499,999",HTCSA,Human Trafficking,Commercial Sex Acts,64,0,64,0
2014,FL0580100,Sarasota,,City,FL,Florida,South Atlantic,SARASOTA,South,3,"Cities from 50,000 thru 99,999",HTCSA,Human Trafficking,Commercial Sex Acts,64,0,64,0
2014,HI0020000,Honolulu,,City,HI,Hawaii,Pacific,HONOLULU,West,1B,"Cities from 500,000 thru 999,999",HTCSA,Human Trafficking,Commercial Sex Acts,64,0,0,0
2014,IL0090200,Beardstown,,City,IL,Illinois,East North Central,CASS,Midwest,6,"Cities from 2,500 thru 9,999",HTCSA,Human Trafficking,Commercial Sex Acts,192,0,0,0
2014,IL0160100,Alsip,,City,IL,Illinois,East North Central,COOK,Midwest,5,"Cities from 10,000 thru 24,999",HTCSA,Human Trafficking,Commercial Sex Acts,64,0,0,0
2014,IL0162900,East Hazel Crest,,City,IL,Illinois,East North Central,COOK,Midwest,7,"Cities under 2,500",HTCSA,Human Trafficking,Commercial Sex Acts,52,0,0,0
2014,IL0163400,Flossmoor,,City,IL,Illinois,East North Central,COOK,Midwest,6,"Cities from 2,500 thru 9,999",HTCSA,Human Trafficking,Commercial Sex Acts,576,0,0,0
2014,IL0163400,Flossmoor,,City,IL,Illinois,East North Central,COOK,Midwest,6,"Cities from 2,500 thru 9,999",HTIS,Human Trafficking,Involuntary Servitude,576,0,0,0
2014,IL0165N00,Union Pacific Railroad:,Cook County,Other,IL,Illinois,East North Central,COOK,Midwest,9D,"MSA counties under 10,000",HTIS,Human Trafficking,Involuntary Servitude,14,0,0,0
2014,IL0220600,Downers Grove,,City,IL,Illinois,East North Central,DUPAGE,Midwest,4,"Cities from 25,000 thru 49,999",HTCSA,Human Trafficking,Commercial Sex Acts,320,0,0,0
2014,IL0222700,Darien,,City,IL,Illinois,East North Central,DUPAGE,Midwest,5,"Cities from 10,000 thru 24,999",HTIS,Human Trafficking,Involuntary Servitude,104,0,0,0
2014,IL0480400,Galesburg,,City,IL,Illinois,East North Central,KNOX,Midwest,4,"Cities from 25,000 thru 49,999",HTCSA,Human Trafficking,Commercial Sex Acts,64,0,0,0
2014,IL0561200,McHenry,,City,IL,Illinois,East North Central,MCHENRY,Midwest,4,"Cities from 25,000 thru 49,999",HTCSA,Human Trafficking,Commercial Sex Acts,128,0,0,0
2014,IL0561200,McHenry,,City,IL,Illinois,East North Central,MCHENRY,Midwest,4,"Cities from 25,000 thru 49,999",HTIS,Human Trafficking,Involuntary Servitude,128,0,0,0
2014,IL0600000,Madison,,County,IL,Illinois,East North Central,MADISON,Midwest,9B,"MSA counties from 25,000 thru 99,999",HTCSA,Human Trafficking,Commercial Sex Acts,128,0,0,0
2014,IL0601200,Maryville,,City,IL,Illinois,East North Central,MADISON,Midwest,6,"Cities from 2,500 thru 9,999",HTCSA,Human Trafficking,Commercial Sex Acts,52,0,0,0
2014,IL0790000,Randolph,,County,IL,Illinois,East North Central,RANDOLPH,Midwest,8C,"Non-MSA counties from 10,000 thru 24,999",HTCSA,Human Trafficking,Commercial Sex Acts,64,0,0,0
2014,IL0790000,Randolph,,County,IL,Illinois,East North Central,RANDOLPH,Midwest,8C,"Non-MSA counties from 10,000 thru 24,999",HTIS,Human Trafficking,Involuntary Servitude,64,0,0,0
2014,IL0810600,Moline,,City,IL,Illinois,East North Central,ROCK ISLAND,Midwest,4,"Cities from 25,000 thru 49,999",HTIS,Human Trafficking,Involuntary Servitude,64,0,0,0
2014,IL0821600,O'Fallon,,City,IL,Illinois,East North Central,ST CLAIR,Midwest,4,"Cities from 25,000 thru 49,999",HTCSA,Human Trafficking,Commercial Sex Acts,192,0,0,0
2014,IL0822400,Fairview Heights,,City,IL,Illinois,East North Central,ST CLAIR,Midwest,5,"Cities from 10,000 thru 24,999",HTCSA,Human Trafficking,Commercial Sex Acts,53,0,0,0
2014,IL0822400,Fairview Heights,,City,IL,Illinois,East North Central,ST CLAIR,Midwest,5,"Cities from 10,000 thru 24,999",HTIS,Human Trafficking,Involuntary Servitude,53,0,0,0
2014,IL0849700,Illinois State Police,,State Police,IL,Illinois,East North Central,SANGAMON,Midwest,9D,"MSA counties under 10,000",HTCSA,Human Trafficking,Commercial Sex Acts,416,0,0,0
2014,IL1000500,Cambria,,City,IL,Illinois,East North Central,WILLIAMSON,Midwest,7,"Cities under 2,500",HTCSA,Human Trafficking,Commercial Sex Acts,14,0,0,0
2014,ILCPD0000,Chicago,,City,IL,Illinois,East North Central,COOK,Midwest,1A,"Cities 1,000,000 or over",HTCSA,Human Trafficking,Commercial Sex Acts,896,0,0,0
2014,ILCPD0000,Chicago,,City,IL,Illinois,East North Central,COOK,Midwest,1A,"Cities 1,000,000 or over",HTIS,Human Trafficking,Involuntary Servitude,128,0,0,0
2014,MI3949900,Kalamazoo,,City,MI,Michigan,East North Central,KALAMAZOO,Midwest,3,"Cities from 50,000 thru 99,999",HTIS,Human Trafficking,Involuntary Servitude,64,0,0,0
2014,MN0140400,Moorhead,,City,MN,Minnesota,West North Central,CLAY,Midwest,4,"Cities from 25,000 thru 49,999",HTCSA,Human Trafficking,Commercial Sex Acts,192,0,128,0
2014,MN0170200,Windom,,City,MN,Minnesota,West North Central,COTTONWOOD,Midwest,6,"Cities from 2,500 thru 9,999",HTCSA,Human Trafficking,Commercial Sex Acts,64,0,64,0
2014,MN0191100,Lakeville,,City,MN,Minnesota,West North Central,DAKOTA,Midwest,3,"Cities from 50,000 thru 99,999",HTCSA,Human Trafficking,Commercial Sex Acts,53,0,0,0
2014,MN0191100,Lakeville,,City,MN,Minnesota,West North Central,DAKOTA,Midwest,3,"Cities from 50,000 thru 99,999",HTIS,Human Trafficking,Involuntary Servitude,53,0,0,0
2014,MN0271100,Minneapolis,,City,MN,Minnesota,West North Central,HENNEPIN,Midwest,1C,"Cities from 250,000 thru 499,999",HTCSA,Human Trafficking,Commercial Sex Acts,576,64,320,0
2014,MN0271200,Minnetonka,,City,MN,Minnesota,West North Central,HENNEPIN,Midwest,3,"Cities from 50,000 thru 99,999",HTCSA,Human Trafficking,Commercial Sex Acts,64,0,0,0
2014,MN0600000,Polk,,County,MN,Minnesota,West North Central,POLK,Midwest,9C,"MSA counties from 10,000 thru 24,999",HTCSA,Human Trafficking,Commercial Sex Acts,64,0,0,0
2014,MN0620900,St. Paul,,City,MN,Minnesota,West North Central,RAMSEY,Midwest,1C,"Cities from 250,000 thru 499,999",HTCSA,Human Trafficking,Commercial Sex Acts,1088,0,256,0
2014,MN0710200,Elk River,,City,MN,Minnesota,West North Central,SHERBURNE,Midwest,5,"Cities from 10,000 thru 24,999",HTCSA,Human Trafficking,Commercial Sex Acts,49,0,0,0
2014,MN0730600,Waite Park,,City,MN,Minnesota,West North Central,STEARNS,Midwest,6,"Cities from 2,500 thru 9,999",HTCSA,Human Trafficking,Commercial Sex Acts,106,0,53,0
2014,MN0730600,Waite Park,,City,MN,Minnesota,West North Central,STEARNS,Midwest,6,"Cities from 2,500 thru 9,999",HTIS,Human Trafficking,Involuntary Servitude,53,0,53,0
2014,MO0100000,Boone,,County,MO,Missouri,West North Central,BOONE,Midwest,9B,"MSA counties from 25,000 thru 99,999",HTCSA,Human Trafficking,Commercial Sex Acts,64,0,64,64
2014,MO0950000,St. Louis County Police Department,,County,MO,Missouri,West North Central,ST LOUIS,Midwest,9A,"MSA counties 100,000 or over",HTCSA,Human Trafficking,Commercial Sex Acts,64,0,0,0
2014,MO0950000,St. Louis County Police Department,,County,MO,Missouri,West North Central,ST LOUIS,Midwest,9A,"MSA counties 100,000 or over",HTIS,Human Trafficking,Involuntary Servitude,64,0,0,0
2014,MO0951000,Bridgeton,,City,MO,Missouri,West North Central,ST LOUIS,Midwest,5,"Cities from 10,000 thru 24,999",HTCSA,Human Trafficking,Commercial Sex Acts,64,0,64,0
2014,MOSPD0000,St. Louis,,City,MO,Missouri,West North Central,ST LOUIS CITY,Midwest,1C,"Cities from 250,000 thru 499,999",HTCSA,Human Trafficking,Commercial Sex Acts,64,0,0,0
2014,MT0250100,Helena,,City,MT,Montana,Mountain,LEWIS AND CLARK,West,4,"Cities from 25,000 thru 49,999",HTIS,Human Trafficking,Involuntary Servitude,64,0,64,0
2014,OK0550600,Oklahoma City,,City,OK,Oklahoma,West South Central,"CANADIAN, CLEVELAND, OKLAHOMA",South,1B,"Cities from 500,000 thru 999,999",HTCSA,Human Trafficking,Commercial Sex Acts,512,0,320,0
2014,OK0720500,Tulsa,,City,OK,Oklahoma,West South Central,"OSAGE, TULSA, WAGONER",South,1C,"Cities from 250,000 thru 499,999",HTCSA,Human Trafficking,Commercial Sex Acts,128,0,128,0
2014,TN0070300,Caryville,,City,TN,Tennessee,East South Central,CAMPBELL,South,7,"Cities under 2,500",HTCSA,Human Trafficking,Commercial Sex Acts,47,0,0,0
2014,TN0190100,Metropolitan Nashville Police Department,,City,TN,Tennessee,East South Central,DAVIDSON,South,1B,"Cities from 500,000 thru 999,999",HTCSA,Human Trafficking,Commercial Sex Acts,192,0,128,0
2014,TN0330100,Chattanooga,,City,TN,Tennessee,East South Central,HAMILTON,South,2,"Cities from 100,000 thru 249,999",HTCSA,Human Trafficking,Commercial Sex Acts,192,0,192,0
2014,TN0460000,Johnson,,County,TN,Tennessee,East South Central,JOHNSON,South,8C,"Non-MSA counties from 10,000 thru 24,999",HTCSA,Human Trafficking,Commercial Sex Acts,64,0,0,0
2014,TNMPD0000,Memphis,,City,TN,Tennessee,East South Central,SHELBY,South,1B,"Cities from 500,000 thru 999,999",HTCSA,Human Trafficking,Commercial Sex Acts,1536,0,512,0
2014,TNMPD0000,Memphis,,City,TN,Tennessee,East South Central,SHELBY,South,1B,"Cities from 500,000 thru 999,999",HTIS,Human Trafficking,Involuntary Servitude,64,0,0,0
2014,TNTHP0100,Department of Safety,,State Police,TN,Tennessee,East South Central,NOT SPECIFIED,South,9D,"MSA counties under 10,000",HTCSA,Human Trafficking,Commercial Sex Acts,27,0,27,0
2014,TX0070400,Jourdanton,,City,TX,Texas,West South Central,ATASCOSA,South,6,"Cities from 2,500 thru 9,999",HTIS,Human Trafficking,Involuntary Servitude,38,0,38,0
2014,TX0140400,Killeen,,City,TX,Texas,West South Central,BELL,South,2,"Cities from 100,000 thru 249,999",HTCSA,Human Trafficking,Commercial Sex Acts,192,0,64,0
2014,TX0150000,Bexar,,County,TX,Texas,West South Central,BEXAR,South,9A,"MSA counties 100,000 or over",HTIS,Human Trafficking,Involuntary Servitude,192,0,64,0
2014,TX0310100,Brownsville,,City,TX,Texas,West South Central,CAMERON,South,2,"Cities from 100,000 thru 249,999",HTIS,Human Trafficking,Involuntary Servitude,64,0,0,0
2014,TX0360000,Chambers,,County,TX,Texas,West South Central,CHAMBERS,South,9B,"MSA counties from 25,000 thru 99,999",HTCSA,Human Trafficking,Commercial Sex Acts,128,0,128,0
2014,TX0610600,Lewisville,,City,TX,Texas,West South Central,"DALLAS, DENTON",South,2,"Cities from 100,000 thru 249,999",HTCSA,Human Trafficking,Commercial Sex Acts,64,0,0,0
2014,TX0660300,Freer,,City,TX,Texas,West South Central,DUVAL,South,6,"Cities from 2,500 thru 9,999",HTIS,Human Trafficking,Involuntary Servitude,62,0,62,0
2014,TX0680200,Odessa,,City,TX,Texas,West South Central,"ECTOR, MIDLAND",South,2,"Cities from 100,000 thru 249,999",HTCSA,Human Trafficking,Commercial Sex Acts,64,0,0,0
2014,TX0700100,Ennis,,City,TX,Texas,West South Central,ELLIS,South,5,"Cities from 10,000 thru 24,999",HTIS,Human Trafficking,Involuntary Servitude,64,0,64,0
2014,TX0710200,El Paso,,City,TX,Texas,West South Central,EL PASO,South,1B,"Cities from 500,000 thru 999,999",HTIS,Human Trafficking,Involuntary Servitude,64,0,0,0
2014,TX0820300,Dilley,,City,TX,Texas,West South Central,FRIO,South,6,"Cities from 2,500 thru 9,999",HTIS,Human Trafficking,Involuntary Servitude,42,0,42,0
2014,TX1010000,Harris,,County,TX,Texas,West South Central,HARRIS,South,9A,"MSA counties 100,000 or over",HTCSA,Human Trafficking,Commercial Sex Acts,320,0,128,0
2014,TX1010000,Harris,,County,TX,Texas,West South Central,HARRIS,South,9A,"MSA counties 100,000 or over",HTIS,Human Trafficking,Involuntary Servitude,192,0,0,0
2014,TX1011500,Pasadena,,City,TX,Texas,West South Central,HARRIS,South,2,"Cities from 100,000 thru 249,999",HTCSA,Human Trafficking,Commercial Sex Acts,0,64,0,0
2014,TX1080500,Elsa,,City,TX,Texas,West South Central,HIDALGO,South,6,"Cities from 2,500 thru 9,999",HTIS,Human Trafficking,Involuntary Servitude,128,0,128,0
2014,TX1082300,Alton,,City,TX,Texas,West South Central,HIDALGO,South,5,"Cities from 10,000 thru 24,999",HTIS,Human Trafficking,Involuntary Servitude,182,0,0,0
2014,TX1240000,Jim Hogg,,County,TX,Texas,West South Central,JIM HOGG,South,8D,"Non-MSA counties under 10,000",HTIS,Human Trafficking,Involuntary Servitude,64,0,64,0
2014,TX1250000,Jim Wells,,County,TX,Texas,West South Central,JIM WELLS,South,8C,"Non-MSA counties from 10,000 thru 24,999",HTIS,Human Trafficking,Involuntary Servitude,192,0,192,0
2014,TX1260200,Burleson,,City,TX,Texas,West South Central,"JOHNSON, TARRANT",South,4,"Cities from 25,000 thru 49,999",HTCSA,Human Trafficking,Commercial Sex Acts,53,0,53,53
2014,TX1420000,La Salle,,County,TX,Texas,West South Central,LA SALLE,South,8D,"Non-MSA counties under 10,000",HTIS,Human Trafficking,Involuntary Servitude,64,0,64,0
2014,TX1650100,Midland,,City,TX,Texas,West South Central,MIDLAND,South,2,"Cities from 100,000 thru 249,999",HTCSA,Human Trafficking,Commercial Sex Acts,64,0,0,0
2014,TX1740200,Nacogdoches,,City,TX,Texas,West South Central,NACOGDOCHES,South,4,"Cities from 25,000 thru 49,999",HTCSA,Human Trafficking,Commercial Sex Acts,64,0,0,0
2014,TX1780200,Corpus Christi,,City,TX,Texas,West South Central,NUECES,South,1C,"Cities from 250,000 thru 499,999",HTCSA,Human Trafficking,Commercial Sex Acts,192,0,64,0
2014,TX1780200,Corpus Christi,,City,TX,Texas,West South Central,NUECES,South,1C,"Cities from 250,000 thru 499,999",HTIS,Human Trafficking,Involuntary Servitude,128,0,0,0
2014,TX1960100,Refugio,,City,TX,Texas,West South Central,REFUGIO,South,6,"Cities from 2,500 thru 9,999",HTIS,Human Trafficking,Involuntary Servitude,192,0,0,0
2014,TX2120000,Smith,,County,TX,Texas,West South Central,SMITH,South,9B,"MSA counties from 25,000 thru 99,999",HTIS,Human Trafficking,Involuntary Servitude,64,0,64,64
2014,TX2200100,Arlington,,City,TX,Texas,West South Central,TARRANT,South,1C,"Cities from 250,000 thru 499,999",HTCSA,Human Trafficking,Commercial Sex Acts,256,0,192,64
2014,TX2201200,Fort Worth,,City,TX,Texas,West South Central,"DENTON, PARKER, TARRANT",South,1B,"Cities from 500,000 thru 999,999",HTCSA,Human Trafficking,Commercial Sex Acts,128,0,128,0
2014,TX2270100,Austin,,City,TX,Texas,West South Central,"HAYS, TRAVIS, WILLIAMSON",South,1B,"Cities from 500,000 thru 999,999",HTCSA,Human Trafficking,Commercial Sex Acts,640,0,0,0
2014,TX2270100,Austin,,City,TX,Texas,West South Central,"HAYS, TRAVIS, WILLIAMSON",South,1B,"Cities from 500,000 thru 999,999",HTIS,Human Trafficking,Involuntary Servitude,3968,0,0,0
2014,TX2450000,Willacy,,County,TX,Texas,West South Central,WILLACY,South,8D,"Non-MSA counties under 10,000",HTIS,Human Trafficking,Involuntary Servitude,320,0,0,0
2014,TXDPD0000,Dallas,,City,TX,Texas,West South Central,"COLLIN, DALLAS, DENTON",South,1A,"Cities 1,000,000 or over",HTCSA,Human Trafficking,Commercial Sex Acts,1792,0,384,128
2014,TXDPD0000,Dallas,,City,TX,Texas,West South Central,"COLLIN, DALLAS, DENTON",South,1A,"Cities 1,000,000 or over",HTIS,Human Trafficking,Involuntary Servitude,384,0,128,128
2014,TXHPD0000,Houston,,City,TX,Texas,West South Central,"FORT BEND, HARRIS, MONTGOMERY",South,1A,"Cities 1,000,000 or over",HTCSA,Human Trafficking,Commercial Sex Acts,128,0,0,0
2014,TXHPD0000,Houston,,City,TX,Texas,West South Central,"FORT BEND, HARRIS, MONTGOMERY",South,1A,"Cities 1,000,000 or over",HTIS,Human Trafficking,Involuntary Servitude,384,0,128,0
2014,TXSPD0000,San Antonio,,City,TX,Texas,West South Central,"BEXAR, MEDINA",South,1A,"Cities 1,000,000 or over",HTCSA,Human Trafficking,Commercial Sex Acts,1024,256,384,64
2014,TXSPD0000,San Antonio,,City,TX,Texas,West South Central,"BEXAR, MEDINA",South,1A,"Cities 1,000,000 or over",HTIS,Human Trafficking,Involuntary Servitude,128,0,0,0
2014,WA0173600,Federal Way,,City,WA,Washington,Pacific,KING,West,3,"Cities from 50,000 thru 99,999",HTCSA,Human Trafficking,Commercial Sex Acts,64,0,64,0
2014,WIMPD0000,Milwaukee,,City,WI,Wisconsin,East North Central,MILWAUKEE,Midwest,1B,"Cities from 500,000 thru 999,999",HTCSA,Human Trafficking,Commercial Sex Acts,384,0,256,0
2014,WIMPD0000,Milwaukee,,City,WI,Wisconsin,East North Central,MILWAUKEE,Midwest,1B,"Cities from 500,000 thru 999,999",HTIS,Human Trafficking,Involuntary Servitude,64,0,64,0
2014,WY0230100,Newcastle,,City,WY,Wyoming,Mountain,WESTON,West,6,"Cities from 2,500 thru 9,999",HTIS,Human Trafficking,Involuntary Servitude,64,0,0,0
2015,AR0600300,North Little Rock,,City,AR,Arkansas,West South Central,PULASKI,South,3,"Cities from 50,000 thru 99,999",HTCSA,Human Trafficking,Commercial Sex Acts,64,0,64,0
2015,AR0720100,Fayetteville,,City,AR,Arkansas,West South Central,WASHINGTON,South,3,"Cities from 50,000 thru 99,999",HTCSA,Human Trafficking,Commercial Sex Acts,192,0,64,0
2015,CO0010100,Aurora,,City,CO,Colorado,Mountain,"ADAMS, ARAPAHOE, DOUGLAS",West,1C,"Cities from 250,000 thru 499,999",HTCSA,Human Trafficking,Commercial Sex Acts,512,0,256,0
2015,CO0030000,Arapahoe,,County,CO,Colorado,Mountain,ARAPAHOE,West,9B,"MSA counties from 25,000 thru 99,999",HTCSA,Human Trafficking,Commercial Sex Acts,64,0,0,0
2015,CO0030000,Arapahoe,,County,CO,Colorado,Mountain,ARAPAHOE,West,9B,"MSA counties from 25,000 thru 99,999",HTIS,Human Trafficking,Involuntary Servitude,256,0,0,0
2015,CO0031100,Centennial,,City,CO,Colorado,Mountain,ARAPAHOE,West,2,"Cities from 100,000 thru 249,999",HTIS,Human Trafficking,Involuntary Servitude,22,0,0,0
2015,CO0300400,Lakewood,,City,CO,Colorado,Mountain,JEFFERSON,West,2,"Cities from 100,000 thru 249,999",HTCSA,Human Trafficking,Commercial Sex Acts,54,0,0,0
2015,CO0390100,Grand Junction,,City,CO,Colorado,Mountain,MESA,West,3,"Cities from 50,000 thru 99,999",HTCSA,Human Trafficking,Commercial Sex Acts,64,0,64,0
2015,CO0640100,Broomfield,,City,CO,Colorado,Mountain,BROOMFIELD,West,3,"Cities from 50,000 thru 99,999",HTIS,Human Trafficking,Involuntary Servitude,22,0,0,0
2015,HI0020000,Honolulu,,City,HI,Hawaii,Pacific,HONOLULU,West,1B,"Cities from 500,000 thru 999,999",HTCSA,Human Trafficking,Commercial Sex Acts,128,0,0,0
2015,ILCPD0000,Chicago,,City,IL,Illinois,East North Central,COOK,Midwest,1A,"Cities 1,000,000 or over",HTCSA,Human Trafficking,Commercial Sex Acts,1152,0,0,0
2015,ILCPD0000,Chicago,,City,IL,Illinois,East North Central,COOK,Midwest,1A,"Cities 1,000,000 or over",HTIS,Human Trafficking,Involuntary Servitude,64,0,0,0
2015,MA0091100,Cambridge,,City,MA,Massachusetts,New England,MIDDLESEX,Northeast,2,"Cities from 100,000 thru 249,999",HTIS,Human Trafficking,Involuntary Servitude,64,0,64,0
